Site003,Azorella_aretioides,sample,cushion.open,Azorella_pedunculata,Baccharis_caespitosa,Bartsia_stricta,Bromus_lanatus,Carex_tristicha,Castilleja_nubigena,Cerastium_floccosum,Cerastium_imbricatum,Cerastium_trianae,Chuquiraga_jussieui,Draba_aretioides,Ephedra_americana,Erigeron_ecuadoriensis,Floscaldasia_hypsophila,Gentiana_sedifolia,Gentianella_rupicola,Geranium_ecuadoriensis,Geranium_multipartitum,Halenia_weddeliana,Hypochaeris_sessiliflora,Lachemilla_hispidulata,Lachemilla_orbiculata,Lasiocephalus_ovatus,Lucilia_kunthiana,Lupinus_microphyllus,Luzula_racemosa,Lysipomia_acaulis,Myrosmodes_sp,Nototriche_hartwegii,Oreomyrrhis_andicola,Oritrophium_peruvianium,Ourisia_muscoides,Pernettya_prostrata,Plantago_nubigena,Plantago_rigida,Ranunculus_guzmanii,Ranunculus_peruvianus,Senecio_canescens,Senecio_nivalis,PoaUnk_sp,Valeriana_alypifolia,Valeriana_aretioides,Valeriana_rigida,Viola_bangii,Werneria_nubigena,Werneria_pumila,Werneria_pygmaea
,,1,cushion,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,20,,,,,,,30,,,,,,,
,,2,cushion,,3,,,9,,,,,,,,,,,,,20,,,,,,5,,,,,,,,,,,,,,,,129,,,,,38,,
,,3,cushion,,,2,,,,,,,,,,1,,4,,,14,,2,,,,3,,,,,1,,,,,,1,,,,,40,,,1,,15,,
,,4,cushion,,,7,1,0,,,,,,,,1,,,,,14,,3,,,,,,,,,,,,,,,,,,,,31,,,,,7,,
,,5,cushion,,,2,2,,,,,,,,,,,2,,,15,,5,,,,,,,,,,,,,,,,,,,,36,,,,,,,
,,6,cushion,,,,1,1,4,,,,,,,,,1,,,26,,7,,,,,1,,,,,,,,,1,1,,,,,30,,,,,7,,
,,7,cushion,,,,,,,,1,,,,,,,,,,9,,3,,,,1,,,,,,,,,,,,,,,,15,,,,,1,,
,,8,cushion,,,7,2,5,,,1,,,,,,,,,,7,,9,,,,4,,,,,,,,,,,3,,,,,47,,,,1,2,,
,,9,cushion,,8,,,3,5,,1,,,,,5,,3,,,16,,4,,1,,2,1,,,,,,,,,1,,,,,,43,,,,4,1,,
,,10,cushion,,4,3,,,,,,,,,,1,,,,,6,,,,,,9,2,,,,,,,,,,,1,,,,32,,,1,2,4,,
,,11,cushion,3,8,,,3,,,,,,,,1,,,,,5,,3,,,,,,,,,,,,,,1,,,,,,47,,,,1,6,,
,,12,cushion,,2,,,,,,,7,,,,5,,,,,11,,,,,,,,,,,,1,,,,,,1,,,,61,,,,10,10,,
,,13,cushion,,1,,,,,,,,,,,2,,,,,13,4,12,,,,1,1,,,,,,,,,,,,,,,48,,,,,16,,
,,14,cushion,,3,1,4,,,,,,,,,,,,,,9,,9,,,,,,1,,,,,,,,,,,,,,30,,,,,,,
,,15,cushion,,,,,5,,,,5,,,,1,,,,,19,1,12,,,,10,4,,,,,,,1,,,,1,,,,88,,,,,2,,
,,16,cushion,,1,,1,,,,,1,,,,1,,,,,22,,3,,,,5,3,2,,,2,3,,,,,,,,,,57,,,,1,3,,
,,17,cushion,,,,,,,,,2,,,,1,,1,,,8,,12,,,,5,1,,,,,,,,,,,1,,,,45,,,,,1,,
,,18,cushion,,,,,,,,,2,,,,,,1,,,15,,15,,,,5,2,,,,,,,,,,,,,,,30,,,,,12,,
,,19,cushion,,,,1,,,,,3,,,,,,,,,12,,17,,,,2,,,,,,,,,,,,,2,,,55,,,,,24,,
,,20,cushion,,,1,1,,,,,5,,,,,,,,,11,,12,3,,,5,1,2,,1,,,,,,2,,,4,,,80,,,,2,,,
,,21,cushion,,,,1,,,,1,,,,,,,,,,17,,1,3,,,,2,,,,,,,,,,,,,,,20,,,1,6,1,,
,,22,cushion,,,,,,,,,,12,,,2,,,,,20,,5,,,,8,,,,,3,,,,,2,,,,,,36,,,1,3,1,,
,,23,cushion,,,,2,,,,,1,,,,,,,,,20,,6,,,,1,,,,,,4,,,,,1,,,,,13,,,3,1,11,,
,,24,cushion,,,,,,,,,6,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,13,,,1,2,3,,
,,25,cushion,,7,,,1,,,,7,,,,1,,,,,20,,16,,,,4,1,,,,,,,,,,,,,,,47,,,,,5,,
