Site005,Picnophyllum_bryoides,sample,cushion.open,Azorella_trifurcata,Calamagrostis_curvula,Calamagrostis_sp,Festuca_sp,Moschopsis_monocephala,Nototriche_aruicoma,Parastrephia_lepidophylla,Perezia_atacamensis,Senecio_puchii,Werneria_glaberrima
,,1,cushion,,,,2,,,,,,
,,2,cushion,,,,,,,,,1,
,,3,cushion,,,,1,,,,,,
,,4,cushion,,,,,,,,,,
,,5,cushion,,,,1,,,,,,
,,6,cushion,,,,,,,1,,,
,,7,cushion,,,,,,,1,,,1
,,8,cushion,,,,4,,,,,,
,,9,cushion,,,,,,,,,1,
,,10,cushion,,,,,,1,,,,
,,11,cushion,,,1,,,1,1,,,
,,12,cushion,1,,,,,,1,,,
,,13,cushion,,,,,,,,,,
,,14,cushion,,,,1,,,,,,
,,15,cushion,,,,2,,,,,,
,,16,cushion,,2,,,,,,,,
,,17,cushion,,,1,,,,,,,
,,18,cushion,,,,,,,1,,,
,,19,cushion,1,,,,,,,,,
,,20,cushion,,,,1,,,,,,
,,21,cushion,,,2,,,1,1,,,1
,,22,cushion,,,,1,,,,,,
,,23,cushion,,,,3,,1,,,,
,,24,cushion,,1,,,,,,,,
,,25,cushion,,,,1,,,,,,
,,26,cushion,,,,,,,,,,
,,27,cushion,,,,3,,,,,,
,,28,cushion,1,,,,,,,,,
,,29,cushion,,1,,,,,,,,
,,30,cushion,,,,1,,,,,,
,,31,cushion,,,,,,,,,1,
,,32,cushion,1,,,,,,,,,
,,33,cushion,,,,,1,,,,,
,,34,cushion,,,3,1,,,,,,1
,,35,cushion,,,,,,1,,,,
,,36,cushion,,,1,,,,,,,
,,37,cushion,,,,,,1,,,,
,,38,cushion,,1,,,,,,,,
,,39,cushion,,1,2,,,,1,,,
,,40,cushion,,,,,,,1,,,
,,41,cushion,,,,,,,,,1,
,,42,cushion,,,1,,,2,,,,
,,43,cushion,,,,,,,,,,1
,,44,cushion,,,,,,,,,1,
,,45,cushion,,,1,,,1,,,,
,,46,cushion,,1,,1,,,,,,
,,47,cushion,,1,,,,,,,,
,,48,cushion,,,,4,,,,,,
,,49,cushion,1,,2,,,,,,,
,,50,cushion,,,,,1,,,,,
,,51,cushion,,,,2,,,,,,
,,52,cushion,,,,,,,,,1,1
,,53,cushion,,,,1,,,,,,
,,54,cushion,,,,,,,,,,
,,55,cushion,,,,1,,,,,,
,,56,cushion,,,,,,,1,,,
,,57,cushion,,,,,,,1,,,
,,58,cushion,,,,4,,,,,,
,,59,cushion,,,,,,,,,1,
,,60,cushion,,,,,,1,,,,
,,61,cushion,,,1,,,1,1,,,
,,62,cushion,1,,,,,,1,,,
,,63,cushion,,,,,,,,,,
,,64,cushion,,,,1,,,,,,
,,65,cushion,,,,2,,,,,,
,,66,cushion,,2,,,,,,,,
,,67,cushion,,,1,,,,,,,
,,68,cushion,,,,,,,1,,,
,,69,cushion,1,,,,1,,,,,
,,70,cushion,,,,1,,,,,,
,,71,cushion,,,2,,,1,1,,,
,,72,cushion,,,,1,,,,,,
,,73,cushion,,,,3,,1,,,,
,,74,cushion,,1,,,,,,,,
,,75,cushion,,,,1,,,,,,
,,76,cushion,,,,,,,,,,
,,77,cushion,,,,3,,,,,,
,,78,cushion,1,,,,,,,,,
,,79,cushion,,1,,,,,,,,
,,80,cushion,,,,1,,,,,,
,,81,cushion,,,,,1,,,,,
,,82,cushion,1,,,,,,,,,
,,83,cushion,,,,,1,,,,,
,,84,cushion,,,3,1,,,,,1,
,,85,cushion,,,,,,1,,,,
,,86,cushion,,,1,,,,,,,
,,87,cushion,,,,,,1,,,,
,,88,cushion,,1,,,,,,,,
,,89,cushion,,1,2,,,,1,,,
,,90,cushion,,,,,,,1,,,
,,91,cushion,,,,,,,,,1,1
,,92,cushion,,,1,,,2,,,,1
,,93,cushion,,,,,,,,,,1
,,94,cushion,,,,,,,,,1,
,,95,cushion,,,1,,,1,,,1,
,,96,cushion,,1,,1,,,,,,
,,97,cushion,,1,,,,,,,,
,,98,cushion,,,,4,,,,,,
,,99,cushion,1,,2,,,,,,,1
,,100,cushion,,,,,,,,,,1
,,1,open,,,,,,,,1,,
,,2,open,,,,2,,,,,,
,,3,open,,,,,,,,,,
,,4,open,1,,,,,,,,,
,,5,open,,,,2,,,,,,
,,6,open,,,,2,,,,,,
,,7,open,,,,1,,,,,1,
,,8,open,,,,,,,,,,
,,9,open,,,,2,,,,,,
,,10,open,,,,3,,,,,,
,,11,open,1,1,,,,,,,,
,,12,open,,,,1,,,,,,
,,13,open,,,,,1,,,,,
,,14,open,,,,1,,,,,,
,,15,open,1,,,,,,,,,
,,16,open,,1,,,,,,,,
,,17,open,,,,1,,,,,,
,,18,open,,,,,,,,1,,
,,19,open,,,,3,,,,,,
,,20,open,1,,,,,,,,,
,,21,open,,,,4,,,,1,,
,,22,open,,,,,,,,,1,
,,23,open,,,,1,,,,,,
,,24,open,,,,1,,,,,,
,,25,open,,,,,,,,,,
,,26,open,,,,,,,,1,,
,,27,open,,,,2,,,,,,
,,28,open,,,,4,,,,,,
,,29,open,,,,1,,,,,,
,,30,open,,,,,,,,,,
,,31,open,,,,,1,,,,,
,,32,open,1,,,,,,,,,
,,33,open,,,,,,,,,,
,,34,open,,,,1,,,,,,
,,35,open,,2,,,,,,,,
,,36,open,,,,1,,,,,,
,,37,open,,,,,,,,,,
,,38,open,,,,,,,,,,
,,39,open,,,,,,,,1,,
,,40,open,1,,2,4,,,,,,
,,41,open,,,,,,,,,,
,,42,open,1,,2,,,,,,,
,,43,open,,,,,,,,,,
,,44,open,,,,2,,,,,,
,,45,open,1,,,,,,,1,,
,,46,open,,,,2,,,,,,
,,47,open,1,,,,,,,,,
,,48,open,,,,1,,,,,,
,,49,open,1,,,1,,,,,,
,,50,open,,,,,,,,,,
,,51,open,,,,,,,,1,,
,,52,open,,,,2,,,,,,
,,53,open,,,,,,,,,,
,,54,open,1,,,,,,,,,
,,55,open,,,,2,,,,,,
,,56,open,,,,2,,,,,,
,,57,open,,,,1,,,,,1,
,,58,open,,,,,,,,,,
,,59,open,,,,2,,,,,,
,,60,open,,,,3,,,,,,
,,61,open,1,1,,,,,,,,
,,62,open,,,,1,,,,,,
,,63,open,,,,,1,,,,,
,,64,open,,,,1,,,,,,
,,65,open,1,,,,,,,,,
,,66,open,,1,,,,,,,,
,,67,open,,,,1,,,,,,
,,68,open,,,,,,,,1,,
,,69,open,,,,3,,,,,,
,,70,open,1,,,,,,,,,
,,71,open,,,,4,,,,1,,
,,72,open,,,,,,,,,1,
,,73,open,,,,1,,,,,,
,,74,open,,,,1,,,,,,
,,75,open,,,,,,,,,,
,,76,open,,,,,,,,1,,
,,77,open,,,,2,,,,,,
,,78,open,,,,4,,,,,,
,,79,open,,,,1,,,,,,
,,80,open,,,,,,,,,,
,,81,open,,,,,1,,,,,
,,82,open,1,,,,,,,,,
,,83,open,,,,,,,,,,
,,84,open,,,,1,,,,,,
,,85,open,,2,,,,,,,,
,,86,open,,,,1,,,,,,
,,87,open,,,,,,,,,,
,,88,open,,,,,,,,,,
,,89,open,,,,,,,,1,,
,,90,open,1,,2,4,,,,,,
,,91,open,,,,,,,,,,
,,92,open,1,,2,,,,,,,
,,93,open,,,,,,,,,,
,,94,open,,,,2,,,,,,
,,95,open,1,,,,,,,1,,
,,96,open,,,,2,,,,,,
,,97,open,1,,,,,,,,,
,,98,open,,,,1,,,,,,
,,99,open,1,,,1,,,,,,
,,100,open,,,,,,,,,,
