Site009,Adesmia_subterranea,sample,cushion.open,Adesmia_echinus,Adesmia_sp,Azorella_madreporica,Calandrinia_sp,Chaetanthera_pentacaenoides,BrasUnk_sp,Gayophytum_micranthum,Hordeum_comosum,Nassauvia_cumingii,Poa_holciformis,Trisetum_oreophilum,Viola_philippii
,,1,cushion ,,,,,,,,1,,4,,
,,2,cushion ,,1,,,,,,,,,,
,,3,cushion ,,,,,2,,,,1,,,
,,4,cushion ,,,,3,,,,,,,,
,,5,cushion ,,,,,1,,,,1,2,,
,,6,cushion ,,,,,,,,2,,,,
,,7,cushion ,,,1,,,1,,2,,7,,
,,8,cushion ,1,,,,,2,,,,2,,
,,9,cushion ,,,,1,,1,,,1,1,,
,,10,cushion ,,,,,,1,,,,1,,
,,11,cushion ,,,,1,,,,,,,,
,,12,cushion ,,,,,,1,1,,,,,
,,13,cushion ,,,,,,,,,,1,,
,,14,cushion ,,,,,2,,,,3,1,,
,,15,cushion ,,,,,,,,,,2,,
,,16,cushion ,,,,,1,,,1,,3,,
,,17,cushion ,,,,,,2,,,,4,,
,,18,cushion ,,,,,,2,,,,1,,
,,19,cushion ,,,,,2,,,1,,1,,
,,20,cushion ,,,,,,1,,,,5,,
,,21,cushion ,,,,,,2,,,,5,,
,,22,cushion ,,,,,,2,,1,,3,,
,,23,cushion ,,,,,,,,,,,,
,,24,cushion ,1,,,,2,16,,,,6,,
,,25,cushion ,,1,,,,,,,,,,
,,26,cushion ,,,,,,2,,,,2,,
,,27,cushion ,,,,,,,,,,1,,
,,28,cushion ,,,,,,,,,,,,
,,29,cushion ,,,,,3,5,,,,2,,
,,30,cushion ,,,,,,1,,,,1,,
,,31,cushion ,,,,,1,7,,,,10,,
,,32,cushion ,,,,2,,,,,,2,,
,,33,cushion ,,,,,,,,,,1,,
,,34,cushion ,,,,,,,,,,,,
,,35,cushion ,,,,,,2,,,,1,,
,,36,cushion ,,,,,,,,,,2,,
,,37,cushion ,,,,,,,,,,,,
,,38,cushion ,,,,,,5,,,,3,,
,,39,cushion ,,,,,,2,,,,2,,
,,40,cushion ,,,,,,,,,,2,,
,,41,cushion ,,,,,,1,,,,,,
,,42,cushion ,,,,,,,,,,5,,
,,43,cushion ,,,,,2,,,1,,2,,
,,44,cushion ,,,,,,,,1,,,,
,,45,cushion ,,,,,,7,1,,,,,
,,46,cushion ,,,,,,1,,,,,,
,,47,cushion ,,,,,,,,,,1,,
,,48,cushion ,,,,,,1,,,,1,,
,,49,cushion ,,,,,,,,,,1,,
,,50,cushion ,,,,,,1,,,,,,
,,51,cushion ,,,,,3,,,,,,,
,,52,cushion ,,,,,,1,,,,,,
,,53,cushion ,1,,,,,,,,,,,
,,54,cushion ,,,,,,6,1,,,5,,
,,55,cushion ,,,,,,,,,,1,,
,,56,cushion ,,,,,,,,,,1,,
,,57,cushion ,,,,,,,,,,2,,
,,58,cushion ,,,,,,,,,,,,
,,59,cushion ,,,,,,,,,,1,,
,,60,cushion ,,,,,,2,,,,1,,
,,61,cushion ,,,,,1,,,,1,2,,
,,62,cushion ,,,,,,,,2,,,,
,,63,cushion ,,,1,,,1,,2,,7,,
,,64,cushion ,,,,,,2,,,,2,,
,,65,cushion ,,,,1,,1,,,1,1,,
,,66,cushion ,,,,,,1,,,,1,,
,,67,cushion ,,,,1,,,,,,,,
,,68,cushion ,,,,,,1,1,,,,,
,,69,cushion ,,,,,,,,,,1,,
,,70,cushion ,,,,,2,,,,3,1,,
,,71,cushion ,,,,,,,,,,2,,
,,72,cushion ,,,,,1,,,1,,3,,
,,73,cushion ,,,,,,2,,,,4,,
