Site100,Minuartia_sedoides,sample,cushion.open,Androsace_chamaejasme,Arenaria_ciliata,Artemisia_eriantha,Astragalus_frigidus,Bartsia_alpina,Campanula_alpina,Campanula_cochleariifolia,Campanula_tatrae,Carex_atrata,Carex_capillaris,Carex_firma,Carex_fuliginosa,Carex_sempervirens,Cerastium_lanatum,Chamorchis_alpina,Comastoma_tenellum,Crepis_jacquinii,Delphinium_oxysepalum,Doronicum_clusii,Draba_aizoides,Draba_tomentosa,Dryas_octopetala,Erigeron_alpinus,Erigeron_uniflorus,Euphrasia_salisburgensis,Euphrasia_tatrae,Festuca_versicolor,Galium_anisophyllon,Gentianella_lutescens,Hedysarum_hedysaroides,Helianthemum_alpestre,Helianthemum_grandiflorum,Ligusticum_mutellinoides,Lloydia_serotina,Luzula_spicata,Minuartia_gerardii,Myosotis_alpestris,Oxytropis_campestris,Oxytropis_carpatica,Oxytropis_halleri,Parnassia_palustris,Pedicularis_oederi,Pedicularis_verticillata,Persicaria_bistorta,Persicaria_vivipara,Phyteuma_orbiculare,Poa_alpina,Pseudorchis_albida,Ranunculus_alpestris,Ranunculus_breyninus,Ranunculus_pseudomontanus,Rhodiola_rosea,Salix_alpina,Salix_herbacea,Salix_reticulata,Salix_retusa,Saussurea_alpina,Saxifraga_aizoides,Saxifraga_paniculata,Scabiosa_lucida,Sedum_atratum,Sesleria_tatrae,Silene_acaulis,Thymus_alpestris,Trisetum_alpestre,Trisetum_flavescens
,,1,cushion,3,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,5,,,4,,,,,2,,,,,,,,,2,,,,,,,
,,2,cushion,4,11,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,2,,,,,11,,2,,,,,4,,,,,,,,,,,8,,,
,,3,cushion,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,
,,4,cushion,21,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,3,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,5,cushion,2,,,,,,,,,,,,,,,,1,,,,,,,,,,12,,,,,,,,,,,,3,,,,,,7,,1,,,1,,,,,,,,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,7,,
,,7,cushion,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,8,cushion,12,,,,,,,,,,4,,3,,,,,,,,,,,,,,10,,,,,,,3,,,,,5,,,,,,17,,,,,,,,,,,,,20,,,,,,2,,
,,9,cushion,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,11,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,4,,,
,,10,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,11,cushion,14,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,8,,,,,1,,,,,,,,,3,,,,,2,,
,,12,cushion,16,,,,,,,,,,,,,,1,,,,,,,,,1,1,,12,,,,,,,,,,,,1,,1,,3,,12,,,,,1,,,,,,,,,,,,1,,10,,
,,13,cushion,4,3,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,1,,5,,,,,,,1,,,,,,,9,,,,,5,,
,,14,cushion,7,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,4,,11,,,,,,,,,,,,,,5,,,,,,,
,,15,cushion,15,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,9,,,,,1,,,,3,,5,,,,,,,,,,,,,,,,,,,,,
,,16,cushion,12,,,,,,,,,,,,,,,,1,,,,,,,,1,,12,,,,,,,,,,,,,,,,2,,3,,,,,,,1,,,,,,,,,,2,,,,
,,17,cushion,13,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,1,,,,7,,15,,,,,4,,3,,,,,,,,,,,,10,,
,,18,cushion,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,8,,,,,,,,2,,,,,,,,,,,,,
,,19,cushion,19,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,20,cushion,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,11,,,,,2,,,,,,,,,,,,,,,,
,,21,cushion,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,22,cushion,6,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,11,,,,,,,,,,,37,,,,,3,,,,,,,,,,,,,,,,
,,23,cushion,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,12,,,,,,,,,,,,,,,,,,,,,
