Site101,Eriogonum_gracilipes,sample,cushion.open,AstUnk1_sp,Carex_sp15,CaryUnk5_sp,Draba_sp5,Draba_sp6,Festuca_sp9,Koeleria_macrantha,Penstemon_heterodoxus,Phlox_sp2,Plantago_sp2,Trifolium_andersonii
,,1,cushion,,,,1,,,17,,,1,
,,2,cushion,1,,,,,,12,,,,
,,3,cushion,,,,,,1,3,,,,4
,,4,cushion,,,,,,4,,,,,2
,,5,cushion,1,2,,,,4,2,,,,2
,,6,cushion,21,,,,,1,4,,,,4
,,7,cushion,,,,,,1,,,,,4
,,8,cushion,,,,,,,2,,,,4
,,9,cushion,,,,,,5,2,,,,8
,,10,cushion,,3,,,,4,4,,,,4
,,11,cushion,,3,,1,,5,1,,,1,3
,,12,cushion,,,,,,,,,,1,4
,,13,cushion,,,,,,1,3,,1,,8
,,14,cushion,,,,,,5,,,,,3
,,15,cushion,,,,,,3,,,,4,4
,,16,cushion,1,,,1,,7,,4,,,5
,,17,cushion,1,,,,,2,8,,,,7
,,18,cushion,,3,,,,8,,,,2,9
,,19,cushion,,,,,,3,5,,,,5
,,20,cushion,,,,,,,5,,,,4
,,21,cushion,,,,,,2,14,,,2,2
,,22,cushion,,,,,,,7,,,1,12
,,23,cushion,1,,,,,,12,,2,,2
,,24,cushion,,,,,,,3,,1,3,3
,,25,cushion,1,1,,1,,,9,,,4,2
,,26,cushion,1,3,,1,,,8,,,,
,,27,cushion,3,,,1,,,14,,,1,
,,28,cushion,3,,,,,,13,,,4,5
,,29,cushion,,,,,,,10,,,5,5
,,30,cushion,,5,,1,,,7,,2,6,6
,,31,cushion,,,,,1,3,9,1,,3,
,,32,cushion,,,,,,,10,,,5,8
,,33,cushion,2,,,,,1,20,1,,1,5
,,34,cushion,,,,,1,4,,,,,1
,,35,cushion,,,,1,,1,1,,,,1
,,36,cushion,6,,,,,3,12,,,1,5
,,37,cushion,,,,,,5,2,,,,2
,,38,cushion,6,,,,,,5,,,,2
,,39,cushion,5,,,1,,8,,,,,4
,,40,cushion,,,,,,6,1,,,1,1
,,41,cushion,3,3,,,,8,,,,1,3
,,42,cushion,1,,10,,,2,4,,,,
,,43,cushion,2,6,,,,2,,,,,2
,,44,cushion,,1,,,,4,,,,,
,,45,cushion,1,,,,,1,7,,,1,
,,46,cushion,5,1,,2,,10,7,,,2,4
,,47,cushion,,,,,,,6,,,6,3
,,48,cushion,1,,,,,1,5,1,1,,3
,,49,cushion,,,,,,1,,,,1,5
,,50,cushion,,,,,,,12,,6,,4
,,51,cushion,,,,,,,8,,,1,4
,,52,cushion,,,,1,,7,1,,,,8
,,53,cushion,1,,,,,,4,,,1,6
,,54,cushion,,,,,,,10,,,5,8
,,55,cushion,,,,,,,6,4,,1,3
,,56,cushion,2,,,,,2,1,2,,2,5
,,57,cushion,,,,,,,6,,,,6
,,58,cushion,,,,,,,11,,,3,4
,,59,cushion,,,,,,,8,,,,3
,,60,cushion,,,,1,,,8,,,4,7
,,61,cushion,1,,,,,14,1,,,,5
,,62,cushion,,,,,,,7,,,1,3
,,63,cushion,,,,,,6,,,,4,1
,,64,cushion,,,,,,,,,,3,5
,,65,cushion,5,,,,,2,1,,,,6
,,66,cushion,,,,,,,,,,1,1
,,67,cushion,,1,,,,,6,,,6,5
,,68,cushion,,1,,,,6,,,,,5
,,69,cushion,,,,1,,3,,,1,,4
,,70,cushion,1,16,,3,,,2,,,,4
,,71,cushion,,,,,,2,,,,,3
,,72,cushion,,1,,,,5,,,,3,8
,,73,cushion,1,5,,,,2,,,2,1,2
,,74,cushion,,,,,,,,,,,3
,,75,cushion,,4,,,,2,4,,,4,4
,,76,cushion,3,2,,,,6,,,,3,
,,77,cushion,,,,1,,,,,,2,2
,,78,cushion,,,,,,,8,,,2,7
,,79,cushion,,,,,,,3,,,1,3
,,80,cushion,,,,,,3,2,,,3,2
,,1,open,1,,,,,,30,,,,4
,,2,open,,,,1,,,15,,,,2
,,3,open,,,,1,,2,3,2,,,4
,,4,open,,,,,,1,,,,,3
,,5,open,1,8,,,,,1,,,,1
,,6,open,1,2,,,,2,4,,,,4
,,7,open,,,,,,,,,,,4
,,8,open,,4,,,,,,,,,5
,,9,open,,2,,,,,1,,2,,2
,,10,open,,,,,,,,,,3,6
,,11,open,1,,,,,1,,,,,6
,,12,open,,,,,,,,,,,3
,,13,open,,,,,,,1,,,,5
,,14,open,1,,,,,1,,,,,4
,,15,open,1,,,,,,,,,4,5
,,16,open,2,,,,,2,1,1,,,3
,,17,open,,,,,,,,,,1,6
,,18,open,,5,1,1,,,2,,,,9
,,19,open,,,,1,,,4,,,,3
,,20,open,,1,,,,,4,,,,5
,,21,open,3,,,,,,15,,,,6
,,22,open,,,,,,,6,,,,11
,,23,open,1,,,,,,,,,2,6
,,24,open,,,,,,,4,,2,,9
,,25,open,,,,,,,,,,,4
,,26,open,3,,,,,,8,,,1,
,,27,open,2,,,,,,22,,,2,3
,,28,open,,,,,,1,10,,,1,8
,,29,open,,4,,,,,6,,,1,6
,,30,open,,,,,,,7,,,10,10
,,31,open,4,,,6,,3,,,,,12
,,32,open,3,,,,,,3,,,,5
,,33,open,3,,,,1,,2,3,,,3
,,34,open,,,,,,1,,,,,3
,,35,open,,,,,,1,,6,,,
,,36,open,1,,,,,1,5,,,2,5
,,37,open,,,,,,,12,,,,
,,38,open,5,,2,,,1,1,,,3,1
,,39,open,,,1,1,,,1,,,,5
,,40,open,,,,1,,,5,,,,
,,41,open,1,,5,,,5,1,,,,6
,,42,open,,6,,,,,5,,,,
,,43,open,,5,,,,1,,,,,4
,,44,open,2,6,,,,1,1,,,,
,,45,open,,2,2,,,,,,,,
