Site011,Azorella_madreporica,sample,cushion.open,Adesmia_sp1,Adesmia_sp,Barneoudia_major,Bromus_setifolius,Calandrinia_affinis,Cerastium_arvense,Chaetanthera_euphrasioides,Chaetanthera_lycopodioides,Erigeron_andicola,Galium_gilliesii,Hordeum_comosum,Junellia_uniflora,Montiopsis_potentilloides,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oxalis_compacta,Perezia_carthamoides,Phacelia_secunda,Pozoa_coriacea,Rytidosperma_pictum,Senecio_looseri,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Viola_atropurpurea,Viola_philippii
,,1,cushion,,,,,,,,,,,1,,1,,,3,,,,,,,,1,,,,
,,2,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,cushion,,,,,,,1,,,,2,,,,,,,,,,,,,,4,,,
,,5,cushion,,,,,,,1,,,,,,,,,,,,,,,,,,2,7,,
,,6,cushion,,,,,,,3,,,,,,,,,1,,,,,,,,2,3,18,,
,,7,cushion,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,8,cushion,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,10,cushion,,,,,,,,,6,,5,,,,,1,,,,,,,,1,1,3,,
,,11,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,cushion,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,
,,13,cushion,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,
,,14,cushion,1,,,,,,12,,,1,,,,,,,,,,,,,,,3,,,
,,15,cushion,,,,,,,1,,,,1,,,,,,,,,,,,,1,9,,,
,,16,cushion,,,,,,,5,,,,1,,,,,1,,,,,,,,,6,7,,
,,17,cushion,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,18,cushion,1,,,1,,9,1,,,,,,,,,,,,,,,,,1,4,1,,
,,19,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
,,20,cushion,,,,,,11,,,,,1,,,,,,,,,,,2,,,2,7,,
,,21,cushion,,,,,2,61,,,,,,,,,,2,,,,,,2,,,2,4,,
,,22,cushion,,,,,,17,,,,,,,,,,1,,,,,,,,,3,7,,
,,23,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
,,24,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
,,25,cushion,,,,,,72,,,,,3,,,,,,,,,,,,,,,1,,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,cushion,,,,,,14,,,,,2,,,,,1,,,,1,,,,1,2,,,
,,28,cushion,,,,,,31,1,,,,,,,,,,,,,,,,,,1,1,,
,,29,cushion,,,,,,49,,,,,,,,,,3,,,,,,,,,3,6,,
,,30,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,cushion,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,
,,33,cushion,,,,1,,22,,,,,,,,,,,,,,,,,,,,,,
,,34,cushion,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
,,35,cushion,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,36,cushion,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,
,,37,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,cushion,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,
,,39,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,cushion,,,,1,,6,2,,,1,3,,,,,,,,,,,,,2,2,,,
,,42,cushion,,,,2,3,7,1,,,,1,,,,,18,,,,,,3,,2,4,23,,
,,43,cushion,1,,,,,43,,,,,,,,,,1,,,,,,,,,2,,,
