Site012,Azorella_madreporica,sample,cushion/open,Adesmia_sp1,Adesmia_sp,Barneoudia_major,Bromus_setifolius,Carex_sp,Chaetanthera_euphrasioides,Chaetanthera_pusilla,Erigeron_andicola,Hordeum_comosum,Montiopsis_andicola,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Oxalis_compacta,Pozoa_coriacea,Rytidosperma_pictum,Senecio_looseri,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei
,,1,cushion,,,1,,,,,2,2,3,1,,,,,,1,1,10,
,,2,cushion,,,,,,,,2,1,,,,,,,,,,3,
,,3,cushion,,,,,1,,,,3,3,,,1,,,,,1,4,2
,,4,cushion,,,,1,,,,,2,,,,,,,,,1,1,
,,5,cushion,,,,,,,,,2,,,,,,,,,,,
,,6,cushion,,,,,,,,,,1,,,,,,,,,1,
,,7,cushion,,,,,,,,1,2,1,,,,,,,,,7,
,,8,cushion,,,,,,,,,,,,,,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,,,,1,4,1,,,,,,,,,1,
,,11,cushion,,,1,,,,,,5,,,,1,,,,,,1,2
,,12,cushion,,,,,,,,,8,1,,,,,,,,,1,
,,13,cushion,,,,,,,,,4,,,,,,,1,,,2,
,,14,cushion,,,,,,,,,3,2,,,,,,1,,,1,
,,15,cushion,,,,,1,,,1,4,,,,,,,,,,,
,,16,cushion,,,,,,,,3,3,1,,,,,,,,,2,
,,17,cushion,,,1,,,,,,,,,,,,,,,,1,
,,18,cushion,,,,,,,,1,7,2,,,,,,,,1,6,
,,19,cushion,,,,,,,,,4,4,,,1,,,,,1,3,4
,,20,cushion,,,,,1,,,,6,7,,,,,,,,2,3,
,,21,cushion,,,,,,,,,,2,,,,,,,,,1,
,,22,cushion,,,,1,,,,4,10,2,,,1,,,,1,1,6,8
,,23,cushion,,,1,,,,,,1,,,,,,,,,,,
,,24,cushion,,,,,1,,,3,7,,,,,,,1,,,2,
,,25,cushion,,,,,,,,1,2,,,,,,,,,1,1,
,,26,cushion,,,,,,,,,1,1,,,,,,,,,,
,,27,cushion,,,,,,,,,,,,,,,,,,,,
,,28,cushion,,,,,,,,,,,,,,,,,,,1,
,,29,cushion,,,,,,,,1,3,4,,,,,,,,,6,
,,30,cushion,,,,,,,,1,6,3,,,,,,,,2,8,
,,31,cushion,,,,,,,,,6,4,,,,,,,,,2,
,,32,cushion,,,,,,,,1,,,,,,,,,,,2,
,,33,cushion,,,,,,,,1,10,15,,,1,,,2,,1,17,3
,,34,cushion,,,,,,,,,,,,,,,,,,,2,
,,35,cushion,,,,,,,,,,,,,,,,,,,,
,,36,cushion,,,,1,,,,,6,4,,,,,,1,,2,1,
,,37,cushion,,1,,,1,,,,3,,,,,,,,,,2,
,,38,cushion,,,,,,,,,2,,,,,,,,1,,3,
,,39,cushion,,2,,,1,,,,7,,,,,,,,,1,,
,,40,cushion,,,,,,,,,2,,,,,,,,,,1,
,,41,cushion,,,,,,,,,5,3,,,,1,,1,,,,
,,42,cushion,,,1,,,,,,,,,,,,,,,,,
,,43,cushion,,,,,,,,,,,,,,,,,,,,
,,44,cushion,,,,,,,,,1,,,,,,,,,,,
,,45,cushion,,,,,,,,,,1,,,,,,,,1,2,
,,46,cushion,,,,,,,,1,,,,,,,,1,,,4,
,,47,cushion,,,,,,,,,3,1,,,1,,,,,,5,1
,,48,cushion,,,,,,,,,,,,,1,,,,,,,
,,49,cushion,,,,,,,,,4,1,,,,,,,,,3,
,,50,cushion,,,,,,,,1,6,1,,,,,,,,,4,
,,51,cushion,,,,,,,,1,5,5,,,,,,,,,4,
,,52,cushion,,,,1,,,,5,18,5,,,1,,,,,,6,5
,,53,cushion,,,,,2,,,1,2,1,,,,,,,,,,
,,54,cushion,,,,,5,,,,7,6,,,1,,,,,1,,
,,55,cushion,,,,,,,,,2,,,,,,,,,,,
,,56,cushion,,,,,,,,,,2,,,1,,,,,,,
,,57,cushion,,,,,,,,,8,1,,,,,,,,,2,1
,,58,cushion,,,,,,,,2,2,1,,,1,,,,,,,3
,,59,cushion,,,,,1,,,,9,1,,,,,,,,2,,2
,,60,cushion,,,,,,,,2,2,2,,,,,,,,,,
,,61,cushion,,,,,,,,,3,5,,,,,,,,,,
,,62,cushion,,,,,,,,,1,,,,,,,,,,,
,,63,cushion,,,,,,,,,2,,,,1,,,,,,,
,,64,cushion,,,,,,,,,3,,,,2,,,,,,1,
,,65,cushion,,,,,4,,,2,12,6,,,3,,,,,,1,2
,,66,cushion,,,,,,,,,3,,,,,,,,,,,
,,67,cushion,,,,,,,,,,,,,,,,,,,,
,,68,cushion,,,,,,,,1,1,,,,1,,,,,,,
,,69,cushion,,,,,,,,,,,,,1,,,,,,,
,,70,cushion,,,,,,,,,,,,,,,,,,,,
,,71,cushion,,,,,,,,4,11,2,,,1,,,,,,1,
,,72,cushion,,,,,,,,3,9,,,,,,,1,,,,
,,73,cushion,,,,,,,,1,11,2,2,,1,,,,,,7,
,,74,cushion,,,1,,1,,,2,,4,,,,,,,,2,12,4
,,75,cushion,,,,,,,,1,8,2,,,3,,,,,,6,
,,76,cushion,,,,,,,,,1,,,,1,,,,,,,
,,77,cushion,,,,,,,,,2,,,,,,,,,,,3
,,78,cushion,,,,,,,,,1,,1,,,,,,,,1,6
,,79,cushion,,,,,,,,,2,,,,1,,,,,,2,7
,,80,cushion,,,,,,,,,2,,,,,,,,,,,1
,,81,cushion,,,,,4,,,3,7,1,,,,,,,,1,3,
,,82,cushion,,,,,,,,,,,,,,,,,,,,
,,83,cushion,,,,,,,,2,,,2,,,,,,,,,4
,,84,cushion,,,,,,,,1,,,,,,,,,,,,1
,,85,cushion,,,,,,,,1,2,2,,,,,,,,1,,4
,,86,cushion,,,,,,,,1,3,,,,,,,,,,,
,,87,cushion,,,,,,,,,,,,,,,,,,,,
,,88,cushion,,,,,,,,3,4,,,,,,,,,1,3,
,,89,cushion,,,,,,,,,1,,,,,,,,,,,
,,90,cushion,,,,,,,,4,,,,,,,,,,,,2
,,91,cushion,,,,,,,,1,1,,1,,,,,,,,,
,,92,cushion,,,1,,,,,,,,,,,,,,,,,
,,93,cushion,,,,,1,,,,1,,,,,,,,,,4,
,,94,cushion,,,,,2,,,,1,,,,,,,,,,,
,,95,cushion,,,,,,,,,,,,,,,,,,,,
,,96,cushion,,,,,,,,,2,1,,,,,,,,,,
,,97,cushion,,,,,,,,,2,,,,,,,,,,1,
,,98,cushion,,,,,,,,,2,1,,,,,,,,,,
,,99,cushion,,,,,,,,,1,,,,,,,,,,,1
,,100,cushion,,,,,,,,1,4,2,,,,,,,,2,3,2
,,1,open,,,,,,,,,1,,1,,,,,,,,,
,,2,open,,,1,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,3,1,,,,,
,,4,open,,,,,,,4,,3,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,1,,,,,,
,,7,open,,,,,,1,,,,,,,,1,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,4,,,,,,,,,,,
,,12,open,,,,,,,,,3,,,,,2,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,2,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,1,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,2,,1,,,,,2,,,,,,
,,19,open,,,,,,,,,1,,,,,1,,,,1,,
,,20,open,,,,,,5,,,,,,,,1,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,4,4,,2,,,,1,,1,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,3,,,,,,,1,,,,1,,
,,25,open,,,,,,8,,,1,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,1,1,,,,,,,,
,,30,open,,,,,,,,,,,,,,1,,1,,,,
,,31,open,,,,,,,,,,,2,,,,,,,,,
,,32,open,,,,,,,,,,1,,,,,,,,,,
,,33,open,,,,,,14,,,1,,,,,2,,1,,,,
,,34,open,,,,,,,5,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,,,,
,,36,open,,,,,,,2,,2,,,,,2,,,,,,
,,37,open,,1,,,,,,,2,,,,,,,,,,,
,,38,open,,1,,,,,,,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,1,,,,,,
,,40,open,,2,,,,,,,,,,,,,,,,,,
,,41,open,,1,,,,,,,,,,,,,,,,,,
,,42,open,,,,,,,11,,,,,,,,,,,,,
,,43,open,,,,,,,,,,,1,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,,,,
,,45,open,,,,,1,,,,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,,1,,1,,,,
,,47,open,,,,1,,,,,,,,,,,,,,,,
,,48,open,,,,,,,,,,,,,,,,,,,,
,,49,open,,,,,,,,,,,1,,,,,,,,,
,,50,open,,,,,1,,,,2,,,,,,,,,,,
,,51,open,,,,,,,,,,,1,,,,,,,,,
,,52,open,,,,,1,,,,3,,,,,2,,,,,,
,,53,open,,,,,,,,,1,,2,,,,,,,,,
,,54,open,,,,,,,,,4,,,1,,,,,,,,
,,55,open,,,,,,,,,3,,,,,,,,,,,
,,56,open,,,,,,,,,1,,,,,,,,,,,
,,57,open,,,,,,,,,1,,,,,,,,,,,
,,58,open,,,,,,,,,5,,2,,,1,,,,,,
,,59,open,,,,,,,,,6,,1,,,3,,,,1,,
,,60,open,,,,,,,,,,,,,,,,,,,,
,,61,open,,,,,,,,,2,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,1,,,,,,
,,64,open,,,,,,,,,1,1,,,,1,,,,,,
,,65,open,1,,,,,,,,,,,,,1,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,
,,68,open,,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,
,,71,open,1,,,,,,,,1,,1,,,,,,,,,
,,72,open,,,,,,,,,,,,,,,,,,,,
,,73,open,,,1,,,,,,,,,,,,,,,,,
,,74,open,,,,1,,,,,6,,1,,,2,,,,,,
,,75,open,,,,,,,,,,,,,,,,,,,,
,,76,open,,1,,,,,,,1,,,,,,,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,,
,,79,open,,,2,,,,,,,,1,,,,,,,,,
,,80,open,,,,,,,,,,,,,,,,,,,,
,,81,open,,,,,,,,,4,,1,,,,,,,,,
,,82,open,,,,,,,,,,,,,,,,,,,,
,,83,open,,,,,,,,,1,,1,,,,,,,,,
,,84,open,,,,,,,,,,,,,,,,,,,,
,,85,open,,,,,,,,,2,,,,,1,,,,,,
,,86,open,,,,,,,,,,,,,,,,,,,,
,,87,open,,,,,,,,,,,,,,,,,,,,
,,88,open,,,,,,,,,,,,,,,,,,,,
,,89,open,,,,,,,,,,,,,,,,,,,,
,,90,open,,,,1,,,,,,,,,,,,,,,,
,,91,open,,,,,,,,,,,,,,,,,,,,
,,92,open,,,,,,,,,,,,,,,,,,,,
,,93,open,,,,,,,,,1,,,,,,,,,,,
,,94,open,,,,,,,,,,,,,,,,,,,,
,,95,open,,,,,,,,,1,,,,,,,,,,,
,,96,open,,,,,,,,,,,,,,,,,,,,
,,97,open,,,,,,,,,1,,,,,,,,,,,
,,98,open,2,,,,,,,,,,,,,,,,,,,
,,99,open,,,,,,,,,1,,,,,,,,,,,
,,100,open,,,,,,,2,,1,,1,,,2,,,,,,
