Site014,Laretia_acaulis,sample,cushion.open,Acaena_leptacantha,Adesmia_sp3,Barneoudia_major,Bromus_setifolius,Carex_sp1,Chaetanthera_apiculata,Chaetanthera_euphrasioides,Chaetanthera_planiseta,Chaetanthera_pusilla,Cuscuta_chilensis,Erigeron_andicola,Haplopappus_scrobiculatus,Hordeum_comosum,Hypochaeris_tenuifolia,Loasa_sigmoidea,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Oxalis_compacta,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Poa_pratensis,Pozoa_coriacea,Quinchamalium_chilense,Rhodophiala_uniflora,Rytidosperma_violaceum,Senecio_bustillosianus,Senecio_looseri,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Tropaeolum_polyphyllum,Viola_philippii
,,1,cushion,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
,,2,cushion,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,
,,3,cushion,,,,5,5,,,,,,5,,4,,,,,,,,,,4,2,,2,,2,,,3,1,1,,,
,,4,cushion,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,
,,5,cushion,,,1,1,1,,,,,,,,,,,,,,,,,,2,2,,1,,2,,,2,2,1,,,
,,6,cushion,,,,1,2,,,,,,5,,2,,,,,1,,,,,,3,,,,,,,1,,,2,,
,,7,cushion,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,,8,cushion,,,1,3,1,,,,,,3,,4,,,,1,2,,,,,5,4,,3,,3,,,,2,6,3,,1
,,9,cushion,,,,,,,,,,,1,,1,,,,,,,,,,3,1,,,,1,,,,,,,,
,,10,cushion,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,
,,11,cushion,,,,1,,,,,,,,,,,,,,2,,,,,2,1,,,,,,,1,,,1,,
,,12,cushion,,,,1,,,,,,,4,,,,,,,1,,,,,2,3,,1,,,,,1,,,,,
,,13,cushion,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,14,cushion,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,
,,15,cushion,,,,,,,,,,,5,,1,,,,,,,,,,2,,,1,,2,2,,,1,,,,
,,16,cushion,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,,2,,,,,1,,
,,17,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,
,,18,cushion,,,,1,,,,,,,,,,,,,2,,,,,,3,,,,,2,,,,,,,,
,,19,cushion,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
,,20,cushion,2,,1,1,,,,,,,2,,4,,,,,2,,,,,6,6,,,3,3,,,3,1,2,,,
,,21,cushion,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,1,,,2,,
