Site016,Azorella_trifurcata,sample,cushion.open,Acaena_pinnatifida,Agrostis_serranoi,Arenaria_serpens,Berberis_empetrifolia,Chaetanthera_lycopodioides,Cyperus_reflexus,Epilobium_nivale,Erigeron_andicola,Gaultheria_pumila,Geranium_sessiliflorum,Haplopappus_diplopappus,Heliotropium_geissei,Hypochaeris_clarionoides,Hypochaeris_radicata,Juncus_bufonius,Juncus_imbricatus,Juncus_stipulatus,Plagiobothrys_myosotoides,Plantago_lanceolata,Poa_sp1,Poa_sp2,Rumex_acetosella,Spergularia_rubra,Taraxacum_officinale,Trifolium_dubium,Trifolium_repens,Viola_subandina
,,1,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,2,cushion,,,,,,,,,,,,,5,,,,,,,,,,,,,,
,,3,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,cushion,,,1,,,,,,,,2,,,,,,,,,,,,,,,,
,,7,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,11,cushion,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,12,cushion,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
,,13,cushion,,5,,,,,,,,,,,4,,,,,,,8,,,,,,,
,,14,cushion,,,,,,,,,,,4,,,,,,,,,,,,,2,,,
,,15,cushion,,,,,,,3,,,,,,,,,,,2,,,,,,1,,,
,,16,cushion,,,,,,,3,,1,,,,,,,,,,,7,,,,4,,,
,,17,cushion,,,,,,,,,,,,,11,,,,,,,1,,,,,,,
,,18,cushion,1,,,,,,,,,,,,,,,,,7,,,,,,,,,
,,19,cushion,,,1,,,,,,,,,,,,,,,7,,2,,,,,1,,
,,20,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,cushion,,,2,,,,,,,,,,,,,,,,,,,1,,2,,,
,,22,cushion,,,,,,,5,,3,,,,,,,,,,,,,,,2,,,
,,23,cushion,,3,5,,,,2,,,,,,,,,,,,,5,,,,,1,,
,,24,cushion,,2,3,,,,3,,,,,,,,,,,,,,,,,3,,,
,,25,cushion,,,,,,,,1,,,4,,,,1,,,,,,,1,,3,,,
,,26,cushion,,,,3,,,,,1,,,,,,,,,,,10,,,,2,,4,
,,27,cushion,,,1,,,,2,,2,,,,,,,,,,,4,,,,1,,,
,,28,cushion,1,,,,,,,,,,2,,,,,,,5,,1,,,,7,49,,
,,29,cushion,,,,,,,4,,4,,6,,,,,,,,,,,,,1,,,
,,30,cushion,,,,,,,,5,,,2,,,,,,,,,,,,,,10,,
,,31,cushion,,,,,,,,,,,,,,,,,,,,3,,,,1,,,
,,32,cushion,,,1,,,,,,,,,,,,,,,8,,,,1,,,4,,
,,33,cushion,,2,4,,,,16,,,,,,1,,,1,,,,,,,,4,,,
,,34,cushion,,5,,,,,,,,,,,,,,,,,,,,2,,1,,,
,,35,cushion,,,6,,,,,,,,22,,,,,,,,,6,,2,,2,,13,
,,36,cushion,2,,,,,,,2,,1,3,,,,,,,1,,11,,,,5,3,,
,,37,cushion,1,,,,,,,,,,2,,,,,,,7,,14,,,36,,4,,
,,38,cushion,,,6,,,,,,2,,12,,,,,,,3,,9,,,,,6,,
,,39,cushion,,,,,,,,,,,,,,,,,,,,13,,,4,5,62,,
,,40,cushion,,,,,,,7,,4,,,,,,,,,4,,2,,,,3,8,,
,,41,cushion,,,,,,,,,,,,,8,,,,,6,,4,,,,1,3,,
,,42,cushion,,,,,,,,,,,11,,,1,,,,2,,10,,,,3,5,,
,,43,cushion,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,
,,44,cushion,7,,,,,,,,,,,,,,,,,,,4,,1,,10,,,
,,45,cushion,1,,2,,,,,,,,,,10,,,,,,,4,,1,,5,,20,
,,46,cushion,,,3,,,,8,,,,,,,,,1,3,,4,,,,,18,4,,
,,47,cushion,1,,,,,,,,,,,,,2,1,,,,,,,4,,9,,28,
,,48,cushion,,,,,,,,,,,1,,,,,,8,,,12,,3,,,15,,
,,49,cushion,,,1,,,,,4,,4,,,57,,5,,,,,7,,,,6,,20,
,,50,cushion,,60,28,,,,,6,,1,,,,,,,1,,4,24,,,,3,,,
,,51,cushion,,,6,,,,,,8,,,,,,,4,,,,52,,,,,1,,
,,52,cushion,,46,,1,,,,,,,,1,,,,,,,,,,,,,,,
,,1,open,,,,,,,,,,2,,,,,,1,,,,6,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,1,,,,,7,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,23,open,,,5,,,,,,,,,,,,,1,,,,,,6,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,5,,,,,,,,,,,,,,,,1,,
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,6,,,,,
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
,,34,open,,,,3,,,,,,,,,,,,6,,,,,,1,,1,,,
,,35,open,,,,,,,,,,,,,,,,,,,,,,2,,,,,
,,36,open,,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,37,open,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,38,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,39,open,,,12,,,,,,10,,,,,,,,,11,,4,,,,,,,
,,40,open,,,1,,,,,,,,,,,,3,,,,,1,,,,3,1,,
,,41,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,42,open,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,43,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,44,open,3,,,,1,,,,,,,,,,,,,,1,,,11,,13,,,
,,45,open,,,,,,,,,,,,,,,,,,,,,,9,,,,,
,,46,open,,1,,,,,,,,,,,,,,8,,,,,,,,3,,1,
,,47,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,open,,,23,,,,,1,,,37,,,,,,,,,,,,,,,,
,,49,open,,,55,,,,,,,,,,85,,,11,,1,,,,2,,1,,,
,,50,open,,,20,,,,,,,,,,,,30,15,,,,,,,1,,,,
,,51,open,,,27,,,1,,,,,,,,,,,4,,,,,1,,,1,,
,,52,open,,,24,,,,,,,,,,,,,,,,,,,,,,,,
