Site017,Mulinum_leptacanthum,sample,cushion.open,Acaena_macrocephala,Acaena_pinnatifida,Anemone_multifida,Armeria_maritima,Azorella_monantha,Berberis_empetrifolia,Calandrinia_gayana,Carex_aphylla,Carex_caduca,Cerastium_arvense,Chuquiraga_avellanae,Discaria_nana,Draba_gilliesii,Erigeron_sp,Gamocarpa_selliana,Gaultheria_pumila,Geranium_sessiliflorum,Hordeum_comosum,Hypochaeris_tenuifolia,Leucheria_millefolium,Luzula_chilensis,Montiopsis_gayana,Nastanthus_caespitosum,Oreopolus_glacialis,Plantago_barbata,Polygala_salasiana,Senecio_pachyphyllos,Senecio_portalesianus,Sisyrinchium_patagonicum,Trisetum_barbinode,Tristagma_nivale,Viola_cotyledon
,,1,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,2,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
,,3,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,cushion,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,
,,5,cushion,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
,,11,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,12,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,cushion,,,,9,,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,3
,,14,cushion,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,16,cushion,,,,19,,,,,,,,,,,,,,1,,,,,,1,,,,4,,,,
,,17,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,18,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,19,cushion,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
,,20,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1
,,21,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,
,,22,cushion,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,,23,cushion,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,cushion,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,cushion,,,,,,,,,,,,,,,,,,,,,2,,,,,,9,,1,,,
,,28,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,3
,,29,cushion,,,,1,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,1
,,30,cushion,1,,,2,,,,,,,,,,,,,,,,,,,,3,,5,4,,,,,
,,31,cushion,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,8,,,,
,,32,cushion,1,,1,,,,,,,11,,,,,,,,,,,,,2,,,25,,6,2,,,
,,33,cushion,,,,,,,,,,2,,,,,,,,1,,,,,,,,,3,,,,,1
,,34,cushion,,,1,,,,,,,,,,1,,,,,3,,,,,,,,6,,,,,,1
,,35,cushion,1,,10,10,,,,,,,,,,,,,,3,,,,,,2,2,,,4,,,,5
,,36,cushion,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,12,,,,
,,37,cushion,2,,,,,,,,,11,,,,,,,,1,,,,,,,,,,6,,,,
,,38,cushion,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,1
,,39,cushion,,,,3,,1,,,,,,,3,,,,,3,,,,,,,9,1,,5,,,,
,,40,cushion,15,,1,4,,,,,,,,,3,3,,,,3,,,,4,,2,1,34,6,25,,,8,
,,41,cushion,4,,4,,,,,,,,,,4,,,,,,,,,,2,,2,10,,8,,,,
,,42,cushion,,,3,7,,,,,,,,,,,,,,2,,,1,9,,3,,,6,3,,,,15
,,43,cushion,6,,3,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,3
,,44,cushion,,,4,,,,,,,,,,,,,,,1,,,2,,,,,,,8,,,,3
,,45,cushion,,,2,14,,,,,,,,,,,,,,1,,,4,,,,,,,5,,1,,
,,46,cushion,,,5,,,,,,,,,,,5,,,,4,,,,,,,,,,32,,,,
,,47,cushion,1,,6,13,,,,,,,,,7,1,,5,,9,,,,,,,6,,,18,,2,,4
,,48,cushion,,,2,36,,,,,,,,,,,,,,,,,2,,,2,,7,,9,,,,
,,49,cushion,2,,23,27,,1,,,,,,,1,,,,,,,,,,,1,,22,15,6,,,,5
,,50,cushion,2,,14,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,,
,,51,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,52,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
,,53,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,cushion,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,
,,55,cushion,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
,,56,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,cushion,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
,,61,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,62,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,63,cushion,,,,9,,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,3
,,64,cushion,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,66,cushion,,,,19,,,,,,,,,,,,,,1,,,,,,1,,,,4,,,,
,,67,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,68,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,69,cushion,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
,,70,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1
,,71,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,
,,72,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,73,cushion,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,cushion,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,,75,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,76,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,,,
,,78,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3
,,79,cushion,,,,1,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,1
,,80,cushion,1,,,2,,,,,,,,,,,,,,,,,,,,3,,5,4,,,,,
,,81,cushion,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,8,,,,
,,82,cushion,1,,1,,,,,,,11,,,,,,,,,,,,,2,,,25,,6,2,,,
,,83,cushion,,,,,,,,,,2,,,,,,,,1,,,2,,,,,,3,,,,,1
,,84,cushion,,,1,,,,,,,,,,1,,,,,3,,,,,,,,6,,,,,,1
,,85,cushion,1,,10,10,,,,,,,,,,,,,,3,,,,,,2,2,,,4,,,,5
,,86,cushion,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,12,,,,
,,87,cushion,2,,,,,,,,,11,,,,,,,,1,,,,,,,,,,6,,,,
,,88,cushion,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,1
,,89,cushion,,,,3,,,,,,,,,3,,,,,3,,,,,,,9,1,,5,,,,
,,90,cushion,15,,1,4,,,,,,,,,3,3,,,,3,,,,4,,2,1,34,6,25,,,8,
,,91,cushion,4,,4,,,,,,,,,,4,,,,,,,,,,2,,2,10,,8,,,,
,,92,cushion,,,3,7,,1,,,,,,,,,,,,2,,,,9,,3,,,6,3,,,,15
,,93,cushion,6,,3,,,,,,,,,,2,,,,,,,,2,,,,2,,,4,,,,3
,,94,cushion,,,4,,,,,,,,,,,,,,,1,,,2,,,,,,,8,,,,3
,,95,cushion,,,2,14,,,,,,,,,,,,,,1,,,4,,,,,,,5,,1,,
,,96,cushion,,,5,,,,,,,,,,,5,,,,4,,,,,,,1,,,32,,,,
,,97,cushion,1,,6,13,,1,,,,,,,7,1,,5,,9,,,,,,,6,,,18,,2,,4
,,98,cushion,,,2,36,,,,,,,,,,,,,,,,,,,,2,,7,,9,,,,
,,99,cushion,2,,23,27,,,,,,,,,1,,,,,,,,2,,,1,,22,15,6,,,,5
,,100,cushion,2,,14,,,1,,,,,,,,,,,,,,,4,,,,3,,5,15,,,,
,,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,29,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,34,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,35,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,36,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,39,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,40,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,42,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,2
,,45,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,46,open,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,2
,,47,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,49,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2
,,50,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,9
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,59,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,65,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
