Site033,Antennaria_umbrinella,sample,cushion.open,Achillea_millefolium,Arabis_lemonii,Arenaria_congesta,Besseya_wyomingensis,Campanula_rotundifolia,Carex_rupestris,Cerastium_arvense,Cymopterus_glaucus,Douglasia_montana,Draba_paysonii,Erigeron_compositus,Erigeron_sp1,Eriogonum_ovalifolium,Eritrichium_nanum,Festuca_idahoensis,Gailardia_aristata,Galium_boreale,Geum_triflorum,Heuchera_cylindrica,Lesquerella_humilis,Myosotis_sylvatica,Oxytropis_sericea,Penstemon_rydbergii,Poa_secunda,Potentilla_arguta,Potentilla_diversifolia,Sedum_lanceolatum,Taraxacum_officinale
,,1,cushion,,,,,,,,,4,,,,,2,7,,,,1,,,,,,,,2,
,,2,cushion,,,,,,,,,3,,,,,,,1,,1,,,1,,,,,,4,
,,3,cushion,,,,,,,,,3,,1,,,2,,,,,,,,1,,,,1,5,
,,4,cushion,3,,,,,,,,2,,,1,,,7,,,,,,,,,,,,4,
,,5,cushion,,,,1,,,,,3,,,,,2,4,,,,,,,,,,,,3,
,,6,cushion,,,,,,,,4,,,1,3,,,2,,,,,,,,,,,,4,
,,7,cushion,,,,1,,,,,1,,,,,,8,,,,,,,,4,,,,4,
,,8,cushion,,,,1,,,,,1,,,,3,,,,,,,2,,1,,,,,3,
,,9,cushion,6,1,,1,,,2,,1,,1,1,6,,13,,,,,,,,,,,,,
,,10,cushion,,,,,,,2,,1,,,,,,3,,,,,,,,,,,,2,
,,11,cushion,,,,,,,,1,2,,,4,,4,4,,,,,,,3,,4,,,4,
,,12,cushion,,,,1,,,,1,3,,,,,1,,,,8,,,,1,5,,,,4,
,,13,cushion,,,6,1,,,,1,1,,3,2,,,5,,,,,,,1,,1,,,,
,,14,cushion,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,9,
,,15,cushion,,,,1,,,,,3,,,,,3,3,,,,,,,,,4,,1,4,
,,16,cushion,,,,,,,,1,,,1,,,,,,,,,,,,,,,,7,
,,17,cushion,,,,1,,,,,,1,,,1,1,2,,,,,,,,,,,1,3,
,,18,cushion,,1,3,,,,5,,,,,,,,3,,,1,,,,,,,,,4,
,,19,cushion,,,1,,,,5,,2,,1,,1,,8,,,7,,,,,,,,,2,
,,20,cushion,,,8,,,,,1,,,1,,,,11,,,,,,,,,,,,7,
,,21,cushion,,,,1,,,7,4,,,,,,,20,,,,,,,,,,,,3,
,,22,cushion,,,,,,7,,,,,,,,,5,,,,,,,,,,,,3,
,,23,cushion,,,,3,,,,,,,,,,,7,,,,,,,,,,,,2,
,,24,cushion,1,,5,4,,,5,1,2,,,,,,7,,,2,,,,,,,,,,
,,25,cushion,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,
,,26,cushion,,,,1,,,,1,1,,,,,,2,,,,,,,,,2,,,4,1
,,27,cushion,,,,2,,,,,,,1,,,,4,,,,,,,,,2,,1,2,
,,28,cushion,1,,,3,,2,,,1,,,,,,4,,3,,,,,,,,,,1,
,,29,cushion,,,,,,,,,1,,,,,,1,,,,,,,,,,,,4,
,,30,cushion,3,,,,3,,1,,,,1,,,,1,,,,,,,,,1,,,1,
,,1,open,,,,,,,,,2,,1,,,1,3,,,,,,,,,,,,,
,,2,open,2,,,,,,,,1,,2,,,,,,,,,,,,,,,,1,
,,3,open,,,,1,,,,1,1,1,2,,1,,,,,,,,,1,,,,1,2,
,,4,open,1,,,,,,1,,,,,,1,,2,,,,,,,,,,,,2,
,,5,open,1,,,,,,,1,1,,,,,1,3,,,,,,,,,,,,2,
,,6,open,,,,,,,,1,2,,2,1,,2,,,,,,,,,,,,,1,
,,7,open,,,,,,,,,,,8,,,,3,1,,,,,,,,1,,,1,
,,8,open,2,,,,,,,,1,1,,,1,,1,,,,,,,1,,,,,1,1
,,9,open,4,,,,,,1,,,,3,,2,,6,,,,,,,,,,,,,
,,10,open,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
,,11,open,,,,,,,,1,1,,,2,,2,2,,,,,,,2,,2,,,2,
,,12,open,,,,,,,,1,1,,,,,,,,,3,,,,1,3,,,,2,
,,13,open,,,4,,,,,1,,,,1,,,3,,,,,,,,,3,,,,
,,14,open,,,,,,,,,,1,,,,1,,,,,,,,,,,,,6,
,,15,open,,,,,,,,,1,,,,,2,2,,,,,,,,,2,,,3,
,,16,open,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,
,,17,open,,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,2,
,,18,open,,,2,,,,4,,,,,,,,,,,,,,,,,,,,3,
,,19,open,,,,,,,4,,1,,,,,,4,,,5,,,,,,,,,,
,,20,open,,,2,,,,,1,2,,,,,,6,,,,,,,,,,,,3,
,,21,open,,,,1,,,3,1,2,,3,,,,11,,,,,,,,,,,,,
,,22,open,,,,,,2,,,,,,,,,2,,,,,,,,,,,,2,
,,23,open,,,,2,,,,,2,,,,,,4,,,,,,,,,,,,,
,,24,open,1,,1,1,,,2,1,1,,3,,,,4,,,3,,,,,,,,,,
,,25,open,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,
,,26,open,,,,,,,,,1,,3,,,,2,,,,,,,,,1,,,1,
,,27,open,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,3,
,,28,open,1,,,1,,,,,1,,,,,,1,,,,,,,1,,2,,,1,
,,29,open,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
,,30,open,1,,,,1,,1,,,,2,,,,,,,,,,,1,,1,,,,
