Site036,Eriogonum_ovalifolium ,sample,cushion.open,Achillea_millefolium,Agropyron_spicatum,Antennaria_dimorpha,Arenaria_capillaris,Bromus_commutatus,Bromus_tectorum,Erigeron_caespitosum,Erigeron_compositus,Plantago_patagonica,Poa_sandbergii,Potentilla_arguta,Senecio_canus,Sisymbrium_altissimum,Veronica_verna
,,1,cushion,,4,,,1,,,,,1,,,,
,,2,cushion,,1,,,7,,,,,5,,,,
,,3,cushion,,,,,2,,,,,3,,,,
,,4,cushion,,3,3,,4,,,,,,,,,2
,,5,cushion,,2,,1,4,,,,1,1,,,,
,,6,cushion,,3,,,6,,,,,5,,,,
,,7,cushion,,6,,1,9,,,,,4,,,,
,,8,cushion,,5,,,7,,,,,1,,,,
,,9,cushion,,,,3,11,,,,,2,,,,5
,,10,cushion,,,,,25,,,,,2,,,,
,,11,cushion,,,,1,14,,,,,3,,,,2
,,12,cushion,,,,,7,,,1,,5,,,,
,,13,cushion,,3,,1,7,,,,,,,,,
,,14,cushion,,,,,10,,,,,3,,,,3
,,15,cushion,,2,,,6,,1,,,3,,3,,
,,16,cushion,,,,,8,,,1,,,,,,5
,,17,cushion,,,,,10,3,,,,,,,,4
,,18,cushion,,3,,,11,,,,,4,,,,3
,,19,cushion,,2,,,17,3,,,,3,,,,
,,20,cushion,,7,,,7,1,,,,1,,,,3
,,21,cushion,,6,,,11,,,,,,,,,3
,,22,cushion,,18,,,10,2,,,,4,,,,
,,23,cushion,,10,,,3,,,,,9,,,,
,,24,cushion,,4,,,3,,,,,8,,,,
,,25,cushion,,4,,,5,,,,2,3,,,,
,,26,cushion,,20,,,3,2,,,2,4,,,,
,,27,cushion,,4,,,4,1,,,2,3,,,,
,,28,cushion,,2,,,3,,,,4,9,,,,3
,,29,cushion,,1,,,4,,,,1,11,,,,2
,,30,cushion,,,,,10,,,,,9,,,,
,,1,open,,,,,3,,,,1,1,,,2,7
,,2,open,2,1,,2,4,,,,,,,,,3
,,3,open,,,,,6,,,,2,,,,,4
,,4,open,,,,,7,,,,1,1,,,,
,,5,open,,,,1,4,2,,1,,1,,,,
,,6,open,,1,,,,,,1,,2,1,,,2
,,7,open,,,,1,8,,,1,,,,,,7
,,8,open,,,,,7,,,,2,1,,,,3
,,9,open,,,,,7,,,,,1,,,,5
,,10,open,,,,,15,,,,,6,,,,
,,11,open,,,,,10,,,,,2,,,,
,,12,open,,,,,7,,,,,,,,,2
,,13,open,,,,,10,,,,,,,,,
,,14,open,,,,,10,,,,,1,,,,
,,15,open,,,,,7,,,,,3,,,,
,,16,open,,,,,8,,,,,2,,,,
,,17,open,,,,,7,,,1,,1,,,,4
,,18,open,,,,,8,,,,,,,,,2
,,19,open,,,,,5,,,,,2,,,,
,,20,open,,,,,3,1,,,,1,,,,
,,21,open,,3,,,8,,,,,,,,,2
,,22,open,,,,,8,,,,,3,,,,3
,,23,open,,,,,5,2,,1,1,4,,,,
,,24,open,,,,,8,,,,,4,,,,
,,25,open,,,,,3,,,,1,,,,,1
,,26,open,,10,,,5,,,,2,3,,,,
,,27,open,,,,,,,,,2,1,,,,2
,,28,open,,,,,5,3,,,2,,,,,
,,29,open,,,,,7,,,,2,3,,,,2
,,30,open,,,,,10,,,,,4,,,,
