Site037,Eriogonum_umbellatum,sample,cushion.open,Agoseris_aurantiaca,Agoseris_glauca,Antennaria_lanata,Arenaria_congesta,Arnica_diversifolia,Carex_bigelowii,Castilleja_miniata,Cirsium_etonii,Draba_cana,Erigeron_simplex,Erigeron_tomentosa,Festuca_arizonica,Ivesia_gordoni,Minuartia_macrantha,Poa_alpina,Potentilla_gracilis,Sedum_debile,Senecio_amplectum,Silene_acaulis,Smelowskia_calycina,Solidago_multiradiata,Thalictrum_fendleri,Thlaspi_montanum,Trisetum_spicatum
,,1,cushion,1,,1,,,,,,,,,,4,,,,,,,, ,,,5
,,2,cushion,,,,,,,,,,,,,2,,1,,,,,2,,,3,
,,3,cushion,,,,8,,,,,,,,,3,,,,,,,,1,,1,5
,,4,cushion,,,,,,,,,,,,,2,,3,,,,,,1,,9,1
,,5,cushion,,,,,,,,,,,,,1,,,,,,,4,4,,2,
,,6,cushion,,,,,,,,,,,,,5,,,,,,,,,,,
,,7,cushion,,,,,,,,,,,,,1,,1,,,,,,,,,
,,8,cushion,,,2,,,1,,,,,,,2,,4,,,,,,1,,2,2
,,9,cushion,,,1,,,,,,,,,,,,1,,,,,,,,,1
,,10,cushion,,,,,,,,,,,,,1,,9,,,,,,,,,4
,,11,cushion,,,,,,,,,,,,,2,,,,,,,,,,,
,,12,cushion,,,2,,,,,,,,,,,,2,,1,,1,,3,,,2
,,13,cushion,,,,,,,,,,,,,6,,1,,,,,,1,,1,
,,14,cushion,,,,,,,,,,,,,,,1,,,,,,1,,1,5
,,15,cushion,,,,2,,,,,,,,,,,,,,,,,,,3,1
,,16,cushion,1,,,,,,,,,,,,1,,4,,,,,,7,1,,10
,,17,cushion,,,,,1,,,,,,,,,,2,,,,,,1,,2,2
,,18,cushion,,,,,,,,,,,,,1,,2,,,,,,,,,
,,19,cushion,,,,,3,,,,,,,,,,10,,,,,,,,3,
,,20,cushion,1,,,,,,,,,,,,3,,,,,,,,,,1,
,,21,cushion,,,1,4,,5,,,,,11,,,2,1,1,,,,,4,,,1
,,22,cushion,,,2,,4,,,,,,,,,,2,,,,,,5,,,4
,,23,cushion,,,,,,,,,,1,,,,,,,,,,,,,,2
,,24,cushion,,,,,,,,,,1,,,9,,9,1,,,,1,,,3,3
,,25,cushion,2,,,,3,,,2,,,,3,5,,,,,,,,,,,2
,,26,cushion,,,,,1,,,,,,,2,4,,,,,,,,,,,
,,27,cushion,,,,,,,,,,,,1,1,,,,,,,,,,,1
,,28,cushion,,,,,,,,,,3,,7,,,5,,,,,,,,2,1
,,29,cushion,,,,,9,,,,,,,3,,,5,,,,,,1,,,
,,30,cushion,1,,,,,,,,,,,4,4,,1,,,,,,,,1,2
,,31,cushion,,,,,,,,1,,,,4,,,2,,,,,,,,,
,,32,cushion,,,,,,,,,,,,,,,1,,,,,,,,,
,,33,cushion,,,,,,,,,,,,,,,1,,,,,,,,,
,,34,cushion,,,,,,,,1,1,,,3,,,1,,,,,,,,,1
,,35,cushion,2,,,,,,,,,,,2,2,,,,,,,,,,,1
,,36,cushion,4,,,,,,,,,,,5,2,,3,,,,,,1,,,1
,,37,cushion,,,,,,,,,,,,2,,,,,,,,,,,,
,,38,cushion,1,,1,,,,,,,,,,,,4,,,,,,,,,3
,,39,cushion,3,,2,,,,,,,,,2,,,,,,,,,,,,1
,,40,cushion,,,6,,3,,,,,,,,2,,4,,,,,,,,,
,,41,cushion,,,,,5,,,1,,,,1,1,,,,1,,,,1,,1,3
,,42,cushion,,,1,,,,,1,,,,,1,,1,,,,,,,,,3
,,43,cushion,,,2,,,,,,,3,,1,,,1,,,,1,,,,,
,,44,cushion,,,3,,,,,,,,,10,1,,,,,,,,,,,2
,,45,cushion,,,,,,,,,,,,6,,,,,,,,,,,,
,,46,cushion,,,,,,,,,,,,11,2,,,,,,,,,,1,
,,47,cushion,,,1,,6,,,,,,,3,1,,,,,,,1,1,,,
,,48,cushion,,1,,,,,,,,,,14,,,,,,,,,,,1,
,,49,cushion,,,1,,,,,,,,,,1,,,,,,,,,,,
,,50,cushion,,,,,,,,,,,,,2,,,,,,,,3,,,
,,51,cushion,,,1,1,,,,,,,,,2,,,,,,,,1,,,1
,,52,cushion,,,1,1,,,,,,,,,3,,,,,,,,3,,,
,,53,cushion,,,,1,,,,,,2,,,1,,,,,,,,,,,
,,54,cushion,,,,1,,,,,,,,,,,1,,,,,,1,,,2
,,55,cushion,,1,,,,,,,,,,3,3,,,,,,,,,,12,1
,,56,cushion,,2,,,,1,,,,,,2,,,,,1,,,,1,,,1
,,57,cushion,,1,,,,,,,,,,1,4,,,,,,,,,,,
,,58,cushion,,,,1,,,2,,,,,,1,,,,,,,,1,,,4
,,59,cushion,,,,5,,,5,,,,,2,,,,,,1,,,,,1,3
,,60,cushion,,,,,,,,,,,,5,,,,,,,,,1,,,2
,,61,cushion,1,,,,,,,,,,,2,2,,,,,,,,5,,,1
,,62,cushion,,,,5,,,,,,,,,,,,,,,,,,,,1
,,63,cushion,,,,,4,,,,,,,3,3,,3,,,,,,,,,5
,,64,cushion,,,,1,,,,,,,,,,,1,,,,,,,,,4
,,65,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,66,cushion,,,,,,,,,,,,1,,,,,,,,,,,,1
,,67,cushion,,,,,,,,,,,,6,2,,,,,,,,,,,2
,,68,cushion,,,,,4,,,,,,,2,,,2,,,,,,,,3,
,,69,cushion,,,,,6,,,,,,,4,,,,,,,,,,,,
,,70,cushion,,,,,,,,,,1,,,,,,,,,,,,,,
,,71,cushion,,,,,,,,,,,,,1,,,,,,,,,,,
,,72,cushion,,,,,,,,1,,,,,1,,,,,,,,,,,
,,73,cushion,1,,,,8,,,,,,,2,,,1,,,,,,,,,
,,74,cushion,,,,,,,,,,,,4,,,,,,,,,,,,2
,,75,cushion,,,1,,,,,,,,,1,1,,1,,,,,,,,,3
,,76,cushion,,,,1,10,,,2,,,,1,1,,1,,,,,,,,,3
,,77,cushion,1,,,,,,,,,,,,,,4,,,,,,,,,
,,78,cushion,,,,,3,,,,,,,,,,3,,,,,,,,,4
,,79,cushion,,,1,,11,1,,1,,,2,,,,,,,,,,,,,1
,,80,cushion,,,1,,,,,,,,,,,,1,,,,,,,,,2
,,1,open,,,,,,,,,,,2,,1,,,,,,,,,,,4
,,2,open,,,,,,,,,,,,,1,,,,1,,,,,,1,1
,,3,open,,,,,,,,,,,,,2,,,,,,,,,,1,1
,,4,open,,,,,,,,,,,,,3,,2,,,,,1,1,,,
,,5,open,,,,,,,,,,,,,3,,,,,,,,1,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,2,,,,,,,,1,,,1
,,9,open,,,,,,,,1,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,1,,,,,,,,,2
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,1
,,12,open,,,,,,,,,,,,,1,,,,1,,,,1,,,1
,,13,open,,,,,,,,,,,,,,,1,,3,,,,2,,1,
,,14,open,,,,,,,,,,,,,2,,,,1,,,,,,,3
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,2,,,,,1,,5,,1,,,,2,,,1
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,1,,,,,,,,2,,,2
,,19,open,,,,,,,,,,,,,,,,,,,,,1,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,2,,1,1,,,,,,,,
,,22,open,,,,,,,,,,,,,1,,1,,,,,,2,,,1
,,23,open,,,,,,,,,,,,,1,,3,,,,,,1,,,1
,,24,open,,,,,,,,,,1,,,,1,3,,3,,,,,,,3
,,25,open,,,2,,,,,,,,,,3,,,,,,,,,,,3
,,26,open,,,,,,,,,,,,,1,,2,,,,,,,,,1
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,5,,,,,,,,,,,,
