Site038,Geum_rossii,sample,cushion.open,Agrostis_sp,ApiUnk_sp,Arabis_glabra,Carex_sp2,Cerastium_beeringianum,BrasUnk2_sp,Elymus_sp1,Festuca_ovina,AstUnk_sp,Agropyron_scribneri,Mertensia_sp,RubUnk_sp,Saxifraga_sp1,Senecio_franciscanus,Silene_scouleri,Solidago_sp,Thlaspi_montanum
,,1,cushion,,,,,,,,,,,,,,,,,
,,2,cushion,,,,,,,,,,,,,,,,,
,,3,cushion,,1,,,,,,,,,,,,1,,,
,,4,cushion,,,,,,,,,,,,,,,,,
,,5,cushion,,,1,,,,1,,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,,
,,7,cushion,,,,,,,,,,2,,,,,,,
,,8,cushion,,,,,,,2,,,,,,,8,,,
,,9,cushion,1,,3,,,,,,,,,3,,,,,
,,10,cushion,,,,,,,,,,,,,,,,,
,,11,cushion,,,,,,,,,,,,,,,,,
,,12,cushion,,,2,,,,2,,,1,,,,,,,
,,13,cushion,,,2,,,,,,,1,,1,,1,,,
,,14,cushion,,,,,,,1,,,,,,,,,,
,,15,cushion,,,3,,,1,3,,,,,,,,,,
,,16,cushion,,,,,,,1,,,,,,,5,,,
,,17,cushion,,,1,,,,,1,,,,,,,,,
,,18,cushion,,,,,,,,,,,,,,,,,
,,19,cushion,,4,2,,3,,9,3,,,,2,,,3,,
,,20,cushion,,,,,,,1,,,,,,,2,,,
,,21,cushion,,,,,,,1,,,,,,,,,,
,,22,cushion,,,,,,,2,,,,,,,,,,
,,23,cushion,,,,,,,2,,,,,,,,,,
,,24,cushion,,2,1,,,,,,,,,,,3,,,
,,25,cushion,,7,3,,,,10,,,,,,,,,,
,,26,cushion,,,1,,,,3,,,1,,,,,,,
,,27,cushion,,,1,,,,,,,,,,,,,,
,,28,cushion,,,,,,,,,,,,,,,,,
,,29,cushion,,,1,,1,,1,1,,2,,5,,,2,,
,,30,cushion,,,,,,,6,,,,,,,,,,
,,31,cushion,1,,1,,1,,2,,,,,1,,3,,,
,,32,cushion,,,2,,,1,,,,1,,,,,,,
,,33,cushion,,,,,,,1,,,2,,,,,,,
,,34,cushion,,,,,,,2,,,,,,,,,,
,,35,cushion,,,,,,,1,,,,,,,,,,
,,36,cushion,,,,,,,1,,,,,1,,1,,,1
,,37,cushion,1,,,,,,,,,,,3,,,,,
,,38,cushion,,,,,,,4,,,,,1,,2,,,
,,39,cushion,,,,,,,,,,,,,,,,,
,,40,cushion,,,,,,,,,,,,,,,,,
