Site042,Dracophyllum_muscoides,sample,cushion.open,Abrotanella_inconspicua,Agrostis_muelleriana,Anisotome_aromatica,Carex_sp4,Celmisia_laricifolia,Chianohebe_thomsonii,Colobanthus_buchannii,Euphrasia_zealandica,Festuca_sp1,Hectorella_sp,Leptinella_sp,Leptinella_goyenii,Luzula_sp2,Myosotis_pygmea,Phyllacne_rubra,Poa_colensoi,Raoulia_grandiflora,Raoulia_hectorii,Schizeilema_sp,Trisetum_spicatum
,,1,cushion,1,,,,,1,,1,,1,,,1,,1,10,,1,,
,,2,cushion,2,,,,,,,,,,,,4,1,1,,1,,,
,,3,cushion,,,,,,,,1,,,,,,,,4,,1,,
,,4,cushion,,,,,,,,1,,1,,,,,,3,,,,
,,5,cushion,2,,3,,,,,,,,,,2,,,5,1,2,,
,,6,cushion,,2,,,1,,,,,2,,,1,,,,1,1,,1
,,7,cushion,,,,,,,,,,,,2,,,,2,,,,
,,8,cushion,1,,1,,2,,,,,1,,,3,,2,2,1,,,
,,9,cushion,,,1,,1,,,,,,,,,,,6,,,,
,,10,cushion,,5,,,6,,,,,,,,,,,6,,2,,
,,11,cushion,1,,,,,,,,,1,,,2,,3,2,1,,,
,,12,cushion,1,,1,,,,,,,,,,4,,,3,,1,,
,,13,cushion,,2,,,,,1,,1,,,,3,,,3,,,,
,,14,cushion,,2,1,,,,,,,2,,,3,,1,11,,,,
,,15,cushion,,1,1,,,,3,,,,,,3,,,2,2,,,
,,16,cushion,1,1,,,,,,,,,,,3,,,4,,,,
,,17,cushion,,1,,,,,,,,,,,4,,1,2,1,,,
,,18,cushion,,,,,,,1,2,,,,2,1,,1,4,,1,,
,,19,cushion,,1,,,1,,,,,,,,2,,,,2,,,
,,20,cushion,2,3,,,,,,,,3,,,2,,2,1,,,,
,,21,cushion,,,,,,,,,,,,,2,,,1,2,,,
,,22,cushion,,,,,,,,,,,,1,,,,,,,,
,,23,cushion,,7,,,,,,,,,1,,3,,1,1,1,,,
,,24,cushion,,2,,,,,,,,,,,2,,,,,,,
,,25,cushion,,,1,,,,,,,,,,1,,,,,,,1
,,26,cushion,,1,,,,,,,,,1,,1,,,1,,,,
,,27,cushion,,,,,,,,,,,,1,4,,,2,,,,
,,28,cushion,,,1,,,,,,,,,,3,,,23,,8,,
,,29,cushion,,,,,,,,,,,,,,,,3,,,,
,,30,cushion,,2,,,8,,,,,2,2,,2,,2,10,,,1,
,,31,cushion,,6,,,,,,,,,,5,5,,,9,,,,
,,32,cushion,,,2,,,,1,,,1,,,1,,2,3,,,,
,,33,cushion,4,,2,,4,,,,,,,2,1,,1,5,,,,
,,34,cushion,,,1,,1,,,,,,,,1,,1,,,,,
,,35,cushion,,3,1,,1,,,,,5,,,,,1,,,,,
,,36,cushion,,8,,,2,,,,,,,,4,,,,,,,
,,37,cushion,,4,1,,3,,,,,,,,,,,8,,,,
,,38,cushion,,1,,,,,,,,,,,2,,,,,,,
,,39,cushion,3,,,,2,,,,,,,,,,,,,1,,2
,,40,cushion,,,1,,,,,,,,,,3,,,,,,,
,,41,cushion,,,,,,1,1,,,,,,2,,,,,,,
,,42,cushion,,3,,,,,,,,,,,7,,,,1,1,,
,,43,cushion,,2,,,,,,,,,,,1,4,,,,1,,3
,,44,cushion,,1,,,,,,,,1,,,,,,3,,,,
,,45,cushion,,3,1,,,,,,,,,,2,,,,,,,
,,46,cushion,,,,,,,,,,,,1,,,,1,,,,
,,47,cushion,2,2,,,,,,,,,,,5,,,2,,,,
,,48,cushion,,,1,,,,,,,,,,,,,,,,,
,,49,cushion,,,,,,,,2,,,2,,,,2,2,,2,,
,,50,cushion,,,,,,,,,,,,,4,,,,,1,,
,,51,cushion,,1,1,,,,,,,,,,,,2,2,,,,
,,52,cushion,3,,,,2,,,,,,,,,,1,3,,2,,
,,53,cushion,,1,,,2,,,,,,,,4,,1,,,1,,4
,,54,cushion,1,2,,,1,,,,,,2,,,,,,,,,
,,55,cushion,1,5,,,1,,,,,,1,,5,,1,1,,1,,1
,,56,cushion,,,1,,,,,,,1,,,2,,,3,,,,
,,57,cushion,,,,,,,,,,,,,3,,,2,,,,
,,58,cushion,,,,,,,,,,,1,,5,,,3,,,,
,,59,cushion,,1,2,,2,,,,,,,,4,,,1,,,,
,,60,cushion,,,1,,,1,,,,2,,4,1,,,5,,,,
,,61,cushion,,1,,,,1,,,,1,,,7,,,5,,1,,
,,62,cushion,,1,1,,,,,,,2,,,4,,,,,1,,
,,63,cushion,,,1,,,,,,,1,,,1,,,2,,1,,
,,64,cushion,,,,,,1,,,,,,,,,,,,3,,
,,65,cushion,,,,,,1,,,,,,,,,,1,,,,
,,1,open,,,,,,,4,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,1,
,,3,open,,,,,,,,1,,,,,2,,,,,,,
,,4,open,,1,,,,,2,,,,,,1,,,,,,,
,,5,open,,,,,,1,2,,,,,,1,,,3,,1,,
,,6,open,,,,,,,1,,,,,,2,,,1,,,,
,,7,open,,,,,,,,,,,,,3,,,2,,,,
,,8,open,,,,,,1,2,,,,,,5,,,7,,,,
,,9,open,,,,,,,7,,,,,,8,,,1,,1,,
,,10,open,,,,1,,,,,,,,,2,,,11,,,,
,,11,open,,3,,,,,1,,,,,,1,,,,,,,
,,12,open,,1,,,,,2,,,,,,2,,,,,,,
,,13,open,,,,,,,,,,,,1,3,,,4,,,,
,,14,open,,2,,,,1,6,,,,,,10,,2,3,,,,
,,15,open,,4,,,,,2,,,,,,2,,,,,,,
,,16,open,,2,,,,,5,1,,,,,2,,,,,,,
,,17,open,,1,,,,,3,,,,,,5,,,,,,,
,,18,open,,1,,,,,,,,,,,2,,,3,1,,,
,,19,open,,1,,,,,,,,,,,,,,4,,,,
,,20,open,,,,,,,1,,,,,,4,,,25,,,,
,,21,open,,,,,,,,,,,,1,3,,,,,,,
,,22,open,,,,,,,,,,,,,2,,,,,,,
,,23,open,,,,,,,1,,,,,,14,,,13,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,1,,,2,,,10,1,,,
,,26,open,,,,,,,,,,,,,1,,,,,,,
,,27,open,,,,,,1,2,,,,,,6,,,,,1,,
,,28,open,,,,,,,3,,,,,,3,,,5,,,,
,,29,open,,,,,,,2,,,,,,3,,,,,,,
,,30,open,,,,,,,4,,,,,,3,,,5,,,,
,,31,open,,,,,,,4,,,,,,6,,,3,,,,
,,32,open,,,,,,,1,,,,,,2,,,,,,,
,,33,open,,,1,,,,3,,,,,,2,,1,7,,,,
,,34,open,,,,,,,,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,17,,1,,1
,,36,open,,,,,,,,,,,,,5,,,4,,,,
,,37,open,,,1,,,,,,,,,,2,,,24,,,,
,,38,open,,,,,,,,,,,,,1,,,,,,,
,,39,open,,,,,,,,,,,,,2,,,,,,,
,,40,open,,,,,,,,,,,,,5,,,,,,,
,,41,open,,,,,,,,,,,,,7,,,,,1,,
,,42,open,,2,,,,,1,,,,,,1,,,,,,,
,,43,open,,,,,,,3,,,,,,10,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,1,,,,,,6,,,1,,,,
,,46,open,,,,,,,1,1,,,,1,,,,1,,,,
,,47,open,,,,,,,2,,,,,,,,,3,,,,
,,48,open,,,,,,,1,,,,,,,,,1,,,,
,,49,open,,2,,,,,3,,,,,,2,,,,,,,
,,50,open,,,,,,,1,,,,,,4,,,3,,,,
,,51,open,,,,,,,1,,,,,,4,,,2,,,,
,,52,open,,,,,,,,,,,,,1,,2,,,,,
,,53,open,,,,,,,2,1,,,,,1,,2,7,,,,
,,54,open,,,,,,,,,,,,,1,,,2,,1,,
,,55,open,,,,,,,,1,,,,,2,,1,1,,1,,1
,,56,open,,,,,,,1,,,,,,1,,,,,,,
,,57,open,,,,,,,1,,,,,,1,,,,,1,,
,,58,open,,,,,1,,1,,,,,,6,,,2,,,,
,,59,open,,,,,,,4,,,,,,4,,,4,,,,
,,60,open,,,,,,,,,,,,,7,,,2,,,,
,,61,open,,,1,,,,1,,,1,,,5,,,,,,,
,,62,open,,,,,,1,1,,,,,,4,,,,,,,
,,63,open,,,,,,,,,,,,,6,,,1,,,,
,,64,open,,,,,,,,1,,,,,2,,,,,,,
,,65,open,,,,,,4,2,1,,,,,4,,,4,,,,
