Site054,Silene_acaulis,sample,cushion.open,Achillea_atrata,Agrostis_rupestris,Alchemilla_alpina,Alchemilla_decumbens,Androsace_chamaejasme,Antennaria_carpatica,Arabis_alpina,Arabis_bellidifolia,Arenaria_ciliata,Campanula_cochleariifolia,Campanula_scheuchzeri,Carex_capillaris,Carex_firma,Cerastium_arvense,Cerastium_latifolium,Cirsium_spinosissimum,Crepis_terglouensis,Draba_aizoides,Dryas_octopetala,Elyna_myosuroides,Erigeron_glabratus,Euphrasia_minima,Festuca_violacea,Galium_anisophyllon,Galium_megalospermum,Gentiana_sp6,Gentiana_tenella,Gnaphalium_hoppeanum,Linaria_alpina,Minuartia_sedoides,Minuartia_verna,Myosotis_alpestris,Poa_alpina,Polygonum_viviparum,Pritzelago_alpina,Ranunculus_alpestris,Ranunculus_montanus,Ranunculus_parnassifolius,Salix_herbacea,Salix_retusa,Salix_serpyllifolia,Saxifraga_aizoides,Saxifraga_exarata,Sedum_atratum,Sesleria_caerulea,Soldanella_alpina,Taraxacum_alpinum,Thymus_pulegioides,Vaccinium_gaultherioides,Veronica_alpina,Veronica_aphylla,Viola_calcarata
,,1,cushion,,,,,,,,,14,2,,,,,,,,,,,,,10,,,,,,,,,,14,,,,,1,,,,,,,,,,,,,10,
,,2,cushion,,,,,,,,,,,,,,,5,,,,,,,,9,,,,,,,,,,,10,,,,,,5,,,1,,,,,,,,2,
,,3,cushion,,,,,23,,,,,,,,,,,,,,,,,1,16,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,18,
,,4,cushion,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,31,
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,1,
,,6,cushion,,,,,1,,,,,,,,2,,2,,,,,,,,6,,,,,,,,2,,20,,,,,9,,,,,,,,,,,,,4,
,,7,cushion,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,8,,,,1,,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,1,1,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,
,,9,cushion,,,,,,,,,,5,,,1,,1,,,,,,,,7,,,,,,,,,,3,6,,,,,,,1,,,,,,,,1,,,
,,10,cushion,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
,,11,cushion,,,,,,,,,,,,,,,6,,,,,,,,10,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
,,12,cushion,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,3,26,,,,,,,,,,,,,,,,,2,
,,13,cushion,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,2,
,,14,cushion,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,
,,15,cushion,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,1,,,11,6,,6,,7,,,,,,,,,,,,1,,
,,16,cushion,,,,,,,,,,5,,,,,,,,,,,,,10,,,,,,,,,,,,,,,6,,,,,,,,,,,,3,,
