Site056,Minuartia_recurva,sample,cushion.open,Agrostis_castellana,Agrostis_truncatula,Armeria_caespitosa,Deschampsia_flexuosa,Euphrasia_willkommii,Festuca_curvifolia,Festuca_iberica,Hieracium_myriadenum,Jasione_crispa,Jurinea_humilis,Luzula_hispanica,Nardus_stricta,Paronychia_polygonifolia,Plantago_alpina,Sedum_brevifolium,Sedum_candollei,Silene_ciliata
,,1,cushion,,5,,,,,6,,,,,,,,1,1,
,,2,cushion,10,3,,,,,,2,4,,,,,,2,,1
,,3,cushion,,,,,,2,3,,2,,,,,,,,
,,4,cushion,10,,,,,,,,1,,,,,,,,
,,5,cushion,1,,,,,,14,,3,,,,,,,,1
,,6,cushion,1,1,,,,3,,,,,,,,,1,2,1
,,7,cushion,,5,,,,,,,,,,,,,4,,
,,8,cushion,,2,,,,1,,,,,,,,,,,
,,9,cushion,,1,,,,,,,,,,,,,,,
,,10,cushion,,6,,,,,,,,,,,,,,1,
,,11,cushion,7,7,,,,1,,,,,,,,,,,10
,,12,cushion,2,1,,,,,,,,,,,,,2,,
,,13,cushion,13,5,,,,1,2,,4,,,,,,,1,1
,,14,cushion,,1,,,,,,,1,,,,,,,,
,,15,cushion,,,,,,3,10,,,,,,,,,,
,,16,cushion,5,,,,,25,,,1,,,,,,,,3
,,17,cushion,11,,,,,,,,,,,,,,2,,
,,18,cushion,,,,,,,,,3,,,,,,,1,1
,,19,cushion,8,4,,,,6,1,,1,,,,,,,,3
,,20,cushion,,3,,,,,,,,,,,,,1,,2
,,21,cushion,,5,,,,1,1,,,,,,,,3,,
,,22,cushion,4,,,,,1,3,,2,,,,,,,,
,,23,cushion,,9,,,,,,,,,,,,,,,
,,24,cushion,4,3,,,,,,,1,,,,,,5,,1
,,25,cushion,,1,,,,,,,3,,,,,,,,1
,,26,cushion,,3,,,,,5,,1,,,,,,6,,
,,27,cushion,2,3,1,,,,,,,,,,,,2,1,
,,28,cushion,3,3,,,,,3,,,,,,,,1,,2
,,29,cushion,,,,,,,1,,1,,,,,,1,,
,,30,cushion,3,,,,,,10,,2,,,,,,,2,
,,31,cushion,4,,1,,,,,,3,,,,,,1,,2
,,32,cushion,12,2,,,,,2,,,,,,,,,5,2
,,33,cushion,2,4,,,,,,,,,,10,,,,,2
,,34,cushion,,6,,,,,34,,1,,,,,,,,2
,,35,cushion,7,2,,,,9,14,,3,,,,,,3,,3
,,36,cushion,8,,,,,,34,,4,,,,,,1,,2
,,37,cushion,8,4,,,,,,,,,,,,,3,,1
,,38,cushion,8,,,,,,,,1,,,,,,2,,2
,,39,cushion,,7,,,,8,3,,2,,,,,,3,,2
