Site057,Azorella_madreporica,sample,cushion.open,Acaena_leptacantha,Acaena_pinnatifida,Adesmia_sp3,Barneoudia_major,Bromus_catharticus,Bromus_setifolius,Calandrinia_affinis,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Carex_sp1,Cerastium_arvense,Chaetanthera_apiculata,Chaetanthera_euphrasioides,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,Chaetanthera_planiseta,Chaetanthera_pusilla,Draba_sp,Erigeron_andicola,Festuca_magellanica,Galium_gilliesii,Gayophytum_humile,Geranium_sessiliflorum,Haplopappus_scrobiculatus,Hordeum_comosum,Hypochaeris_tenuifolia,Jaborosa_caulescens,Junellia_uniflora,Loasa_sigmoidea,Microsteris_gracilis,Montiopsis_potentilloides,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oreopolus_glacialis,Oxalis_compacta,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Poa_pratensis,Pozoa_coriacea,Quinchamalium_chilense,Rhodophiala_uniflora,Rytidosperma_violaceum,Sanicula_graveolens,Senecio_bustillosianus,Senecio_looseri,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Tropaeolum_polyphyllum,Viola_philippii
,,1,cushion,,,,,,,,,,,,12,,,,,,,,,,,,,,4,,,,,11,,,,,,,,,,,4,,,,,,,1,,,2,1,1,,
,,2,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,3,,,,,,,,1,,,,,,
,,3,cushion,1,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,1,25,2,,,,,,,,,,4,,,,,2,,,,,6,,,,
,,4,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,1,,,,,1,,,,
,,5,cushion,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,1,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
,,7,cushion,,,,,1,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,,,,165,,,,,,,,1,11,,,,,5,,,,,17,4,,,,,,,,3,,3,,,1,,,,,,,4,5,2,,
,,9,cushion,,,,,,,,,,,,11,,,,,,,,,,,,,,1,,,,,54,1,,,,,,,,,,,,,,,2,,,,,3,,4,,
,,10,cushion,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,1,,
,,11,cushion,,,,,,,,,,,,39,,,,,,,,,7,,,,,1,,,,,21,5,,,,,,,,1,,,,,,,,,,,,2,2,5,,
,,12,cushion,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,3,,
,,13,cushion,1,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,13,,,,,,,,,2,1,,,,,,3,,,,,3,,2,,
,,14,cushion,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,54,4,,,,,,,,,1,,,,,,2,,,,,3,,,,
,,15,cushion,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,1,,,,,,,,,,,2,,2,,
,,16,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,,,
,,17,cushion,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
,,19,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,2,,,,,,,,,2,,,,,,,,,,,2,,,,
,,20,cushion,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,
,,21,cushion,,,,,,,,,,,,151,,,,,,,,,2,,,,,,,,,,9,4,,,2,,,,,,,,,,,,1,,,,,4,5,6,,
,,22,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,,,,,,,,,,,,1,,2,,
,,23,cushion,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,1,,1,,,,,,,,,,,1,,
,,24,cushion,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,,,,,,,,,1,,,,,,,,,,,,,,,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,
,,27,cushion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,4,,,,,,,,,,,,1,,5,,
,,28,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
,,29,cushion,,,,,,,,,,,,42,,,,,,,,,1,,,,,2,,,,,,4,,,,,,,,,1,,,,1,,,,,1,,2,1,4,,
,,30,cushion,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
,,31,cushion,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,
,,32,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
,,33,cushion,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
,,34,cushion,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,
,,35,cushion,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
,,36,cushion,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,
,,37,cushion,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,2,,,,,,,,,
,,38,cushion,,,,,,,,,,,,64,,,,,,,,,,,,,,4,,,,,54,4,,,,,,,,,1,,,,,,,,1,,,4,1,,,
,,39,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,3,,,,,,,,,
,,40,cushion,,,,,,,,1,,,,46,,,,,,,,1,,,,,,4,,,,,,,,,2,,,,,,1,,,,,,,,,1,,2,1,4,,
,,41,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,3,,,,,,,1,,2,,
,,42,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,43,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,
,,44,cushion,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,45,cushion,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,cushion,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,47,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,
,,48,cushion,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,49,cushion,,,,,,,,,,,,72,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,,
,,50,cushion,,1,,,,,,,,,,36,,2,,,,,,3,1,,,,,8,1,,,3,,1,,,4,1,,,,,1,,,,1,,3,,,1,,12,9,4,,
,,51,cushion,,,1,,,,,,,,,12,,,,,,,,,,,,,,4,,,,,11,,,,,3,,,,,,6,,,2,,,,,,,3,1,1,,
,,52,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,
,,53,cushion,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,1,25,2,,,,,,,,,,2,,,,,2,,,,,6,,,,
,,54,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,1,,,,,1,,,,
,,55,cushion,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,
,,56,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,57,cushion,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,58,cushion,,,,,,,,,,,,165,,,,,,,,2,11,,,,,5,,,,,17,4,,,,2,,,,3,,3,,,,,,,,,,9,4,2,,
,,59,cushion,,,,,,,,,,,,11,,1,,,,,,,,,,,,1,,,,,54,1,,,,,,,,,,,,1,,,2,,,,,3,,4,,
,,60,cushion,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,3,,
,,61,cushion,,,,,,,,,,,,39,,,,,,,,,7,,,,,1,,,,,21,5,,,,,,,,1,,,,,,,,,,,,7,2,5,,
,,62,cushion,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,
,,63,cushion,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,13,,,,,1,,,,2,,,,,,,4,,,,,8,,2,,
,,64,cushion,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,54,4,,,,,,,,,,,,,,,1,,,,,3,,,,
,,65,cushion,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,2,,2,,
,,66,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,,,
,,67,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,68,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,69,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,
,,70,cushion,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,
,,71,cushion,,,,,,,,,,,,151,,,,,,,,,2,,,,,,,,,,9,4,,,2,,,,,1,,,,,,,1,,,,,4,5,4,,
,,72,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,,,,,,,,,,,,1,,2,,
,,73,cushion,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,
,,74,cushion,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,75,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,76,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,
,,77,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,2,,,,,,,,,,,,1,,5,,
,,78,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
,,79,cushion,,,,,,,,,,,,42,,,,,,,,,1,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,2,1,4,,
,,80,cushion,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
,,81,cushion,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,
,,82,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
,,83,cushion,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,84,cushion,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,
,,85,cushion,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,86,cushion,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,
,,87,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,3,,,,,,,,,
,,88,cushion,,,,,,,,,,,,64,,,,,,,,,,,,,,4,,,,,54,4,,,,1,,,,,,,,,,,,,,,,5,1,,,
,,89,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,
,,90,cushion,,,,,,,,,,,,46,,,,,,,,2,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,2,1,4,,
