Site059,Azorella_madreporica,sample,cushion.open,Adesmia_echinus,Adesmia_sp1,Adesmia_subterranea,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Cerastium_arvense,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,BrasUnk_sp,Erigeron_andicola,Gayophytum_micranthum,Hordeum_comosum,Jarava_chrysophylla,Kurzamra_pulchella,Menonvillea_sp,Montiopsis_copiapina,Nassauvia_cumingii,Olsynium_junceum,Oxalis_sp,Phacelia_secunda,Poa_holciformis,Senecio_sp,Trisetum_oreophilum,Viola_montagnei,Viola_philippii
,,1,cushion,,,2,,,,1,,1,6,,,1,,,,,,4,2,,,,,,
,,2,cushion,1,,,,,,2,,,,1,,1,,,,,,,,,,,,,
,,3,cushion,,,,,1,,1,,1,4,,,1,,,,,,,,,,3,,,
,,4,cushion,,,1,,,,,,,,1,,3,,,1,,,,,,,2,,,
,,5,cushion,,,1,,6,,,,,1,,,3,,,,,,,,,,2,,,
,,6,cushion,,,2,,1,,,,,15,,,2,,,,,,,,,,,,,
,,7,cushion,,1,,,11,,,,1,7,,,3,1,1,,1,1,,,,,1,,,
,,8,cushion,,,,,,,,,1,,,,,,,,,,1,,,1,,,,
,,9,cushion,,,2,,16,,,,,2,,,3,1,,,,,,,,,,,,
,,10,cushion,,,,,,,,,2,,,,1,,,,,,,1,,,,,,
,,11,cushion,1,,2,,12,,2,,5,7,,,,,1,,,,,,,,2,,,
,,12,cushion,,,,,2,,,,,,,,,,,,,,,,,,1,,,
,,13,cushion,,,,,,,,,,2,,1,1,,,,,,,,,,1,,,
,,14,cushion,1,,1,,8,,,,5,,,,1,,,,,,,,,,,,,
,,15,cushion,,,,,,,,,,,1,,1,,1,,,,,,,,,,,
,,16,cushion,,,1,,,,,,2,,,,,1,,,,,,1,,,2,,,
,,17,cushion,1,,1,,,,3,,4,,,,,1,,1,,,,2,,,1,,,
,,18,cushion,,,1,,,,,,9,,,,,,,,,,,4,,,1,,,
,,19,cushion,,,,,,,1,,,,,,,,1,,,,,2,,,2,,,
,,20,cushion,,1,,,,,,,,,1,,,,,,1,,,2,,,,,,
,,21,cushion,,,1,,,,,,1,,,,,,,,,,,5,,,,,,
,,22,cushion,,,2,,,,,,3,,,,,2,,1,1,1,,,,,,,,
,,23,cushion,,,2,,,,,,3,,,,,5,,,,,,,,,,,,
,,24,cushion,,,1,,,,,,,,,,,1,1,,,,,1,,,2,,,
,,25,cushion,,,,,,,,,,,1,,,1,1,,,,1,,,,1,,,
,,26,cushion,,,,,,,,,,,1,,,,,,,,,2,,,,,,
,,27,cushion,,,,,,,,,2,,,,1,,,,,,,,,,,,,
,,28,cushion,,,,,,,1,,,,,,,,,,,,,,,,1,,,
,,29,cushion,,,,,,,,,2,,,,,1,,,,,,,,,,,,
,,30,cushion,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,
,,31,cushion,,,,,,,3,,,,,,,,,,,,,5,2,,,,,
,,32,cushion,,,1,,,,,,,,,,2,,1,,,,,3,,,,,,
,,33,cushion,,,,,,,,,1,,,,,,,,1,,,1,,3,,,,
,,34,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,cushion,,,,,,,,,,,,,1,,,,,,,2,,,,,,
,,36,cushion,,,1,,,,,,1,,1,,1,,,,,,,4,,,,,,
,,37,cushion,,,1,,,,,,1,,,,3,,,,,,,1,,10,,,,
,,38,cushion,,1,1,,,,,,,,1,,3,2,,,,,,3,1,2,,,,
,,39,cushion,,,1,,,,1,,,,1,,2,,2,,,,,1,,3,,,,
,,40,cushion,,,,,,,,,2,,1,,,,,,,,,1,1,,,,,
,,41,cushion,,1,1,,,,,,1,,,,6,2,,,,,,3,,,,,,
,,42,cushion,,,1,,,,,,1,,,,,,1,,,,,,,,,,,
,,43,cushion,,,1,,,,,,2,,1,,4,1,3,,,,,,,,,,,
,,44,cushion,,,,,,,,,1,,1,,,,,,,,,,,,,,,
,,45,cushion,,,1,,,,1,,,,,,2,2,,,1,,,2,,,7,,,
,,46,cushion,,,1,,,,,,,,,,3,,,,,,,,,,,,,
,,47,cushion,,,1,,4,,,,,,1,,1,,,,1,,,1,,,8,,,
,,48,cushion,,,,,1,,1,,1,,,,1,,,,,,,2,,,,,,
,,49,cushion,,,,,,,1,,,,1,,,,,1,,,,1,,,3,,,
