Site062,Phlox_condensata,sample,cushion.open,Arenaria_sp,Astragalus_purshii,Carex_sp6,Cryptantha_nubigena,Draba_oligosperma,Erigeron_sp2,Eriogonum_sp,Poa_sp1,Saxifraga_sp2
,,1,cushion,,2,,,,,,,
,,2,cushion,,,,,1,,,,
,,3,cushion,,,,,,,,2,
,,4,cushion,,,,,,,2,,
,,5,cushion,,,1,,,,3,,
,,6,cushion,,,,,,,1,,
,,7,cushion,,,,,,,,,
,,8,cushion,,,,,,,,1,
,,9,cushion,,,3,,,,,,
,,10,cushion,,,1,,,,,,
,,11,cushion,,,,,,,,,
,,12,cushion,,,,,,,,,
,,13,cushion,,,,,,,,1,
,,14,cushion,,,,,,,,,
,,15,cushion,,,,,,,1,,1
,,16,cushion,,,,,,,,,1
,,17,cushion,,,1,,,,,,
,,18,cushion,,,1,,,,,,
,,19,cushion,,,1,,,,1,,
,,20,cushion,,,2,,,,,,
,,21,cushion,,,1,,,,,,
,,22,cushion,1,,,,,,3,2,
,,23,cushion,,,,,,,5,1,
,,24,cushion,,,,,,,2,3,
,,25,cushion,,,,,,,1,4,
,,26,cushion,,1,,,,,,,
,,27,cushion,,4,,,,,1,5,
,,28,cushion,,1,1,1,,1,3,1,
,,29,cushion,,,,,,,2,,
,,30,cushion,1,,,,,,4,1,
,,31,cushion,,,,,,,2,,
,,32,cushion,,,,,,,,1,
,,33,cushion,,,,,,,1,,
,,34,cushion,1,,,,,1,,,
,,35,cushion,1,,,,,1,,3,
,,36,cushion,,5,,,,,,,
,,37,cushion,,,1,,,,,,
,,38,cushion,,,1,,,,,,
,,39,cushion,,,,,,1,,,
,,40,cushion,,,,,,,1,1,
,,41,cushion,,,,,,,1,,
,,42,cushion,2,,,,,,1,,
,,43,cushion,,,,,,,1,,
,,44,cushion,,1,,,,,,,
,,45,cushion,,,,,,,2,,
,,46,cushion,,1,,,,,,,
,,47,cushion,,,,,,,,2,
,,48,cushion,,,,,,,3,,
,,49,cushion,,,,,,,3,,
,,50,cushion,,1,,,,,,,
,,51,cushion,,,1,,,,,,1
,,52,cushion,,,,,,,1,1,
,,53,cushion,,,,,,,2,,
,,54,cushion,,,,,,,1,,
,,55,cushion,,,,,,1,1,,
,,56,cushion,,,,,,,1,1,
,,57,cushion,,,,,,,1,2,
,,58,cushion,,,,,,,2,,
,,59,cushion,,1,,,,,2,,
,,60,cushion,,1,,,,,1,,
,,61,cushion,,,,,,1,,,
,,62,cushion,,,1,,,,,,
,,63,cushion,,,,,,2,2,,
,,64,cushion,,,,,,,1,,
,,65,cushion,,,,,,,1,,
,,66,cushion,,,,,,,1,1,
,,67,cushion,,,,,,,1,,
,,68,cushion,,,,,,,2,,
,,69,cushion,,,,,,1,,,
,,70,cushion,,,1,,,,1,,
,,71,cushion,,,,,,,1,,
,,72,cushion,,1,,,,1,2,,
,,73,cushion,,,,,,,3,,
,,74,cushion,,,,,,,,,
,,75,cushion,,,,,,,1,1,
,,76,cushion,,,,,,1,2,,
,,77,cushion,1,,,,,,1,1,
,,78,cushion,,,,,,,,1,
,,79,cushion,1,,,,,,,1,
,,80,cushion,,,,,,,3,,
,,81,cushion,,,,,,1,2,,
,,82,cushion,,,,,,,,,
,,83,cushion,,,,,,,2,,
,,84,cushion,,,,,,,,,
,,85,cushion,,,,,,,3,1,
,,86,cushion,,,,,,,,1,1
,,87,cushion,,,,,,,4,3,
,,88,cushion,,,,,,,3,,
,,89,cushion,,,,,,,2,,
,,90,cushion,,,,,,,5,,
,,91,cushion,,,,,,,,,
,,92,cushion,,,,,,,4,,
,,93,cushion,,,,,,,2,,
,,94,cushion,,,,,,,3,,
,,95,cushion,,,,,,3,1,,
,,96,cushion,,1,,,,,1,1,
,,97,cushion,,,,,,,4,,
,,98,cushion,,1,,,,,2,1,
,,99,cushion,,3,,,,1,4,,
,,100,cushion,,,,,,1,2,,
,,1,open,,,,,,,,,
,,2,open,,,,,,,,,
,,3,open,,,,,,,1,,
,,4,open,,,,,,,,,
,,5,open,,,2,,,,1,,
,,6,open,,,1,,,,,,
,,7,open,,,1,,,,,,
,,8,open,,,,,,,,,
,,9,open,,,,,,,,,
,,10,open,,,2,,,,,,
,,11,open,,,1,,,,,,
,,12,open,,,,,,,1,,
,,13,open,,,,,,,,,
,,14,open,,,,,,,1,,
,,15,open,,,,,,,1,,
,,16,open,,,,,,,,,
,,17,open,,,,,,,2,,
,,18,open,,,,,,,,,
,,19,open,,,2,,,,1,,
,,20,open,,,2,,,,,,
,,21,open,,,,,,,,,
,,22,open,,,,,,,,,
,,23,open,,,,,,,,,
,,24,open,,,,,,,,,
,,25,open,,,,,,,,,
,,26,open,,,,,,,1,,
,,27,open,1,,,,,,,,
,,28,open,,,2,,,,1,,
,,29,open,,,,,,,4,1,
,,30,open,,,,,,,,3,
,,31,open,,,,,,,1,,
,,32,open,,,,,,,,,
,,33,open,,,,,,,,,
,,34,open,,,,,,3,,,
,,35,open,,,,,,,,,
,,36,open,,,,,,1,,,
,,37,open,,,,,,,,,
,,38,open,,,,,,,1,,
,,39,open,,,,,,,2,,
,,40,open,,,,,,,,,
,,41,open,,,,,,,,,
,,42,open,,,,,,,,,
,,43,open,,,,,,,1,,
,,44,open,,,,,,,,,
,,45,open,,,,,,,,,
,,46,open,,,,,,,,,
,,47,open,,,,,,,2,,
,,48,open,,,,,,1,,,
,,49,open,,,,,,,,,
,,50,open,,,,,,,,,
,,51,open,,,,,,,1,,
,,52,open,,,,,,,,,
,,53,open,,,,,,,,,
,,54,open,,,,,,,2,,
,,55,open,,,,,,1,,,
,,56,open,,,,,,,1,,
,,57,open,,,,,,,3,,
,,58,open,,,,,,,,,
,,59,open,,,,,,,,,
,,60,open,,,,,,,,,
,,61,open,,,,,,,,,
,,62,open,,,,,,,,,
,,63,open,,,,,,,,,
,,64,open,,,,,,,,,
,,65,open,,,,,,2,1,,
,,66,open,,,,,,,1,,
,,67,open,,1,,,,,1,1,
,,68,open,,,,,,,2,,
,,69,open,,,,,,,,,
,,70,open,,,,,,,,,
,,71,open,,,,,,,,,
,,72,open,,,,,,2,1,,
,,73,open,,,,,,,,,
,,74,open,,,,,,,1,1,
,,75,open,,,,,,,1,,
,,76,open,,,,,,1,,,
,,77,open,,,,,,,,,
,,78,open,,,,,,,,,
,,79,open,,,,,,,,,
,,80,open,,,,,,,1,,
,,81,open,,,,,,1,1,,
,,82,open,,,,,,2,,,
,,83,open,,,,,,,1,,
,,84,open,,,,,,,,,
,,85,open,,,,,,,,,
,,86,open,,,,,,,1,1,
,,87,open,,,,,,,1,,
,,88,open,,,,,,1,,,
,,89,open,,,,,,,1,,
,,90,open,,,,,,,1,,
,,91,open,,,,,,,,,
,,92,open,,,,,,,2,,
,,93,open,,,,,,,,,
,,94,open,,,,,,,2,,
,,95,open,,,,,,,1,,
,,96,open,,1,,,,,,,
,,97,open,,,,,,,,,
,,98,open,,,,,,,1,1,
,,99,open,,,,,,1,2,,
,,100,open,,,,,,1,1,,
