Site063,Townsendia_leptotes,sample,cushion.open,Arenaria_sp,Astragalus_purshii,Carex_sp6,CaryUnk2_sp,Koeleria_sp1,Cryptantha_nubigena,Draba_oligosperma,Erigeron_sp2,Eriogonum_sp,Leontodon_sp1,Linum_sp,Phlox_sp,Poa_sp1,Potentilla_morefieldii,Saxifraga_sp2
,,1,cushion,,,3,,,,,2,,,,4,1,,
,,2,cushion,,,,,,,,1,,,,7,3,,
,,3,cushion,,,,,,1,1,,,,,,3,3,
,,4,cushion,,,,,,,,,,,,,1,,
,,5,cushion,,,2,,3,1,,,,,,2,4,,
,,6,cushion,,,2,,6,2,1,,4,,,3,,,
,,7,cushion,,,,,,,1,,,,,,,,
,,8,cushion,,,2,,,1,,,,,,3,,,
,,9,cushion,,,,,4,1,,,,,,2,,,
,,10,cushion,,,,,2,,,1,,,,2,,,
,,11,cushion,,,1,,,,,,,,,,,2,
,,12,cushion,,,,,8,,,,,,,1,,,
,,13,cushion,,,,,2,3,1,,,,,,,,
,,14,cushion,,,,,3,,1,,1,,,,,,
,,15,cushion,,,,,17,2,1,,,,,3,,1,
,,16,cushion,,,,,3,2,,,,1,,3,,,
,,17,cushion,,,,,4,5,,,,,,3,,,
,,18,cushion,1,,,,5,1,1,,,,,1,,,
,,19,cushion,,,,,1,2,,,,,,,,,
,,20,cushion,,,,,6,,,,,,,3,,,
,,21,cushion,,,,,,,,,,,,1,,,
,,22,cushion,,,,,,,,,,,,3,,,
,,23,cushion,,,,,2,,1,,,1,,3,,,
,,24,cushion,3,2,,,,1,,,,,,5,,,
,,25,cushion,1,,,,4,,,,,,,,,,
,,26,cushion,,,,,,,,,,,,1,,,
,,27,cushion,,3,,,1,2,1,,,,,,,,
,,28,cushion,,1,,1,,1,,,,,,3,,,
,,29,cushion,,,,,2,2,,,,,,,,,
,,30,cushion,1,2,,,1,,,,,,,1,,,
,,31,cushion,,2,,,,,,,,,,3,,,
,,32,cushion,,1,,,,,,,,,,5,,,
,,33,cushion,,,,,2,2,,,,,,3,,,
,,34,cushion,,,,3,1,,,,,,,3,,,
,,35,cushion,2,1,,,,,,,,,,2,,,
,,36,cushion,2,1,,,,1,,,,,,,,,
,,37,cushion,,1,,,5,,,,,,,1,,,
,,38,cushion,,2,,,,,,,,,,1,,,
,,39,cushion,,,,,,,2,,,,,4,,,
,,40,cushion,,1,,,,1,,,,,,2,,,
,,41,cushion,,,,,,,,,1,,,4,,1,
,,42,cushion,,,,,,1,,,,,,4,,,
,,43,cushion,,2,,,,,,1,,,,,,,
,,44,cushion,,,,,,1,,,,,1,1,,,
,,45,cushion,,,,,,2,,,,,,1,,,
,,46,cushion,,2,,,,1,,1,,,,4,,,
,,47,cushion,,,,,,,,,,,,,,,
,,48,cushion,,1,,,,1,,,,,,,,,
,,49,cushion,,2,,,,,,,,,,3,,,
,,50,cushion,,,,,,1,,1,,,,1,,,
,,51,cushion,,,,,,,,2,,,,2,4,4,
,,52,cushion,,1,,,1,1,,,,,,1,,,
,,53,cushion,,,,,,,,,,,,,,2,
,,54,cushion,,,,,,,,,,,,2,,,
,,55,cushion,,,,,,,,,,,,1,,,
