Site065,Sibbaldia_sp,sample,cushion.open,Achillea_millefolium,Agoseris_aurantiaca,Anemone_occidentalis,Anenome_drummondii,Antennaria_alpina,Arabis_nuttalii,Artemisia_michauxiana,Astragalus_alpinus,Bupleurum_americanum,Carex_geyeri,Cerastium_arvense,Cirsium_scariosum,Claytonia_megarhiza,Cryptantha_celosioides,Danthonia_intermedia,Epilobium_angustifolium,Erigeron_compositus,Eriogonum_flavum,Eriophyllum_lanatum,Geum_triflorum,Linum_lewisii,Lomatium_sandbergii,Mertensia_longiflora,Minuartia_obtusiloba,Oxyria_digyna,Pedicularis_bracteosa,Pedicularis_parryi,Penstemon_fruticosa,Phacelia_lyallii,Phacelia_sericea,Plantago_eriopoda,Poa_alpina,Polygonum_viviparum,Potentilla_diversifolia,Saxifraga_occidentalis,Sedum_lanceolatum,Sedum_roseum,Senecio_canus,Silene_douglasii,Tiarella_trifoliata,Tofieldia_accidentalis
,,1,cushion,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,13,,,1,,,7,,,
,,2,cushion,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,3,,3,1,,,9,,,
,,3,cushion,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,2,,5,,,,4,,,
,,4,cushion,,,,,,,,,5,,,,,,13,,,,,,,,,,,,,,,,11,,,,,,,,,4,7
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,6,cushion,27,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,6,9,,,,,,,,,
,,7,cushion,19,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,8,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,
,,9,cushion,,,,,,,,,,,,,,,9,,,,,,,,2,,,,,,,,,2,,,2,,,3,,,
,,10,cushion,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,3,,,,,,,,,,
,,11,cushion,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,3,,2,
,,12,cushion,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,15,,,,,,2,,,
,,13,cushion,,,1,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
,,14,cushion,,,,,,,,1,2,11,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,
,,15,cushion,,,,,,,,17,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,16,cushion,28,,,,1,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,2,,
,,17,cushion,,,,,,,,,,,,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,cushion,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,19,cushion,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,4,,,,1,1,,9
,,20,cushion,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,,,,1,,,1
,,21,cushion,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,4,1,,,,,,,2
,,22,cushion,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,
,,23,cushion,,,,1,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
,,24,cushion,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,25,cushion,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,26,cushion,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,cushion,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,
,,28,cushion,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,
,,29,cushion,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,30,cushion,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,cushion,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,32,cushion,1,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,1,,,
,,33,cushion,,1,,,,,,,,,,,,,2,,,,1,,4,,,,,,,,,,,,,,,,,,,,
,,34,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,cushion,,1,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,1,,,,,1,,,
,,36,cushion,2,,,,,,,,,,,,,,18,,2,,,,,,,,,,,,,,,,,4,,,,1,,,
,,37,cushion,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,,,,1,,2,
,,38,cushion,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,,,,2,,,
,,39,cushion,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,2,,,,1,,,
,,40,cushion,,,,,1,,,,,,,,,,5,,2,,1,,,,,,,,,,,,,,,,,,,,,,
,,41,cushion,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,42,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,cushion,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,2,,,,,,
,,44,cushion,,,,1,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,45,cushion,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,46,cushion,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,1,,,
,,47,cushion,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,48,cushion,,,,,,,,3,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,cushion,,1,,,,,,,,7,,,1,,13,,,,,,,,,,,,,,,,,5,,,1,,,3,,,
,,50,cushion,,,,,3,,,,,,,,1,,28,,,,,,,,1,,,,,,,,,4,,1,,,,2,,,1
,,51,cushion,,1,,,,,,,,29,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,1,,,
,,52,cushion,,,,,,,,,,2,,,1,,4,,2,,,2,,,1,,,,,,,,,3,,,,,,1,,,
,,53,cushion,,2,,,,,,,13,,,,,,,,4,,,,,,,,,,1,,,,,7,,3,,,,8,,,
,,54,cushion,,,,,,,,,,,,,1,,,,1,,,,,,,,,,3,,,,,25,,,,,,,,,
,,55,cushion,7,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,3,,,,,,,,,,,
,,56,cushion,,1,,,,,,,,20,,,,,11,,,,,,,,,,,,,,,,,5,,,,,,,,,
,,57,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,,58,cushion,3,1,,,,,,,3,,6,,4,,,,3,,,,,,,,,,,,,,,30,,,3,,,1,,,1
,,59,cushion,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,cushion,23,4,,,,,,,8,,,,,,16,,9,,,,,,,,,1,,,,,,5,,,,,,8,,,
,,61,cushion,,2,,,,,,1,,,,,,,3,,4,,1,,,,,,1,1,,,,,,2,,,,,,2,,,
,,62,cushion,,,,,,,,,,5,,,,,11,,,,,,,,,,1,2,,,1,,,1,1,1,,,,,,,1
,,63,cushion,5,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,64,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,cushion,8,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,1,1,,,,,,,,,
,,66,cushion,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67,cushion,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,2,,,,,,,,,
,,68,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,cushion,,,,,,,,,,5,,,,,7,,,,,,,,,,,,,,,,,2,,1,,,,2,,,
,,70,cushion,6,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,2,,,,,,,,,
,,71,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,
,,72,cushion,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,73,cushion,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,cushion,3,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,75,cushion,6,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,76,cushion,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,cushion,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,78,cushion,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,cushion,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80,cushion,,,,,1,,,1,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,,,,,,1
,,81,cushion,9,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,2,,,1
,,82,cushion,,,,,1,,1,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,83,cushion,,,1,,,,,,,,1,,,,9,,,,,,,,,,,,,,,,,4,,,,,,,,,
,,84,cushion,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,85,cushion,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,86,cushion,,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,87,cushion,11,,,,,,,,,1,,,,,8,,,,3,,,,,,,,,,,,,,,8,,,,8,,3,
,,88,cushion,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,10,,,,,,3,
,,89,cushion,,,,,,,,,,,1,,,,,,,,9,,,,,,,,,,,,7,,,,,,,1,,3,
,,90,cushion,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91,cushion,3,,,,,,,,,,1,,,,20,,,,3,,,,,,,,,,,,1,,,2,,,,,,,
,,92,cushion,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,1,,,2,,,,,,2,
