Site069,Silene_acaulis,sample,cushion.open,Anenome_occidentalis,Antennaria_alpina,Arctostaphylos_uvaursi,Anemone_sp,Bistorta_vivipara,Draba_oligosperma,Dryas_octopetala,Erigeron_sp4,PoaUnk3_sp,Lupinus_arcticus,Myosotis_alpestris,Pedicularis_sp,Polemonium_pulcherrimum,Potentilla_sp,Salix_cascadensis,Salix_sp,Saxifraga_bronchialis,Saxifraga_nivalis,Saxifraga_serpyllifolia,Sedum_sp,Gentiana_sp1
,,1,cushion,,,,,,,,,1,,,,,,,,,,,,
,,2,cushion,,,,,,,,,22,1,6,,,6,,,,,,,
,,3,cushion,,,,,1,,1,,14,,,,,,,1,,,,,
,,4,cushion,,2,,,1,,,,17,,,,,,,1,,,,,
,,5,cushion,,,,,,,,,16,,2,,1,,,,,,,,
,,6,cushion,,,,,,,4,,7,4,,,,,,,,,,,
,,7,cushion,,,,,,,3,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,8,,1,,,3,,1,,,,,
,,9,cushion,,,,,,,,,13,,5,,,,,,,,,,
,,10,cushion,,,,,,,,,10,,,,,,,,,,,,
,,11,cushion,1,3,,,2,2,,,21,,1,,,3,,4,,,,2,
,,12,cushion,,,,,,2,,,14,,,,,,2,,,,,,
,,13,cushion,1,,,,,,,,16,,,,,3,4,,,,,,
,,14,cushion,1,,,,,,,,1,,,,,,,,,,,,
,,15,cushion,,,,,,,,,25,,,,,4,7,,,,,1,
,,16,cushion,,2,,,,,,,24,,,,,1,1,,,,,,
,,17,cushion,1,,,,,,,,17,,,,,5,5,,,,,,
,,18,cushion,,,,,,,,,18,,,,,,,6,,,,,
,,19,cushion,,,,,,,,,32,,,,,8,7,1,,,,,
,,20,cushion,1,,,,,,,,15,,,,,4,,,,,4,,
,,21,cushion,,,,,,,,,8,,,,,,,1,,,,,
,,22,cushion,,,,,,,,,9,,,,,,,2,,,,,
,,23,cushion,,,,,,,,,7,,,,,2,,,,,,,1
,,24,cushion,,,,,,,,,5,,,,,4,9,,,,,,
,,25,cushion,,,,,,,,,11,,,,,1,,1,,,,1,
,,26,cushion,6,,,,,,,,19,,1,,7,3,5,8,,,,,
,,27,cushion,,,,,,4,,,20,,,,,,10,,,,,2,
,,28,cushion,,,,,,,,,8,,,,,2,,,,,,1,
,,29,cushion,,,,,,,,,3,,,,,,,,,,,1,
,,30,cushion,,3,,,,,2,,21,,,,1,7,4,,,,3,,
,,31,cushion,,,,,,,,,10,,1,,1,5,,1,,,,3,
,,32,cushion,,,,,,,,,3,,,,1,,1,1,,,,,
,,33,cushion,,,,,,,,,,,,,,,,,,,,,
,,34,cushion,,,,,,,,,9,,,,,,2,,,,,,
,,35,cushion,,,,,,,,,8,,,,,1,1,,,,,,
,,36,cushion,1,,,,,,,,3,,,,,1,,,,,,,
,,37,cushion,,,,,,,,,10,,2,,2,3,,,,,,,
