Site072,Silene_acaulis,sample,cushion.open,Aconitum_delphinifolium,Anenome_sp,Bistorta_vivipara,Carex_sp7,Corydalis_pauciflora,Dryas_octopetala,Gentiana_prostrata,PoaUnk3_sp,Lupinus_arcticus,Polemonium_sp,Rumex_sp,Salix_sp,Saxifraga_sp4,Saxifraga_tricuspidata,Dasiphora_fruticosa
,,1,cushion,,,,,,,,,1,,,,,,
,,2,cushion,,,,,,,,2,1,,,,,,
,,3,cushion,,,,,,,,7,,,,,,,
,,4,cushion,,,,,,,,,,,,2,,,
,,5,cushion,,,,,,,,5,,,,2,,,
,,6,cushion,,,,,,,,,,,,,,,
,,7,cushion,,,,,,,,4,,,,,,,
,,8,cushion,,,,,,,,2,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,
,,10,cushion,,,,,,5,,,,,,,,,
,,11,cushion,,,,,,,,1,,,,,,,
,,12,cushion,,,3,,,,,,,,,,,,3
,,13,cushion,,,3,,,,,8,2,,,,,,
,,14,cushion,,,1,,,,,5,,,,,,,
,,15,cushion,,1,3,,,,,,,,,,,,
,,16,cushion,,,5,,,5,,,,,,,,,
,,17,cushion,,,,,,5,,,,,,,,,
,,18,cushion,,,3,,,,,11,,,,,,,
,,19,cushion,,1,2,,,,,7,,,,,,,
,,20,cushion,,,6,,,,,7,8,,,2,,,
,,21,cushion,,1,2,,,,,7,,,,,,,
,,22,cushion,3,3,,,,,,30,,4,,2,,,4
,,23,cushion,3,7,,,,,,13,,,,,,,
,,24,cushion,2,5,,,,,,8,,,,,,,3
,,25,cushion,,1,,,,,,10,,,,,,,
,,26,cushion,,3,,,,,,10,,,,,,,
,,27,cushion,,,,,,,,15,,,,,1,,
,,28,cushion,,1,,,,,,4,,,,,,,
,,29,cushion,2,,,,,,,15,3,,,,,,1
,,30,cushion,,,,,,,,7,,,,,,,
,,31,cushion,,,,,,,,12,1,,,,,,
,,32,cushion,,,,,,,,10,,,,,,,
,,33,cushion,,2,,,,,,3,,,,,,,
,,34,cushion,,,3,,,,,10,,,,2,,,
,,35,cushion,,3,,,,,,10,,,,,,,1
,,36,cushion,1,,,,,,,20,,,,,,,
,,37,cushion,,1,,,,,,7,,,,,,,2
,,38,cushion,,,,,,,,4,,,,,,,
,,39,cushion,6,2,1,,,,,10,,,,,,,1
,,40,cushion,,,,,,,,15,1,,,,3,,2
,,41,cushion,2,3,,,,,,,,,,,,,
,,42,cushion,6,3,,,,,,15,1,,,,,,
,,43,cushion,,,,,,,,6,,,,,,,1
,,44,cushion,,4,1,,,,,,,,,,,,3
,,45,cushion,,4,,,,,,7,,,,,,,
,,46,cushion,,4,,,,,,15,3,,,,,,
,,47,cushion,,,,,,,,7,,,,,,,
,,48,cushion,,,,,,,,20,,,,,,,1
,,49,cushion,,,,,,,,25,4,,,,4,,
,,50,cushion,,,,,,,,5,,,,,,,
