Site076,Silene_acaulis,sample,cushion.open,Agrostis_sp2,Antennaria_alpina,Antennaria_sp,Arnica_sp,Carex_nardina,Carex_sp10,CaryUnk4_sp,Draba_sp2,Erigeron_sp7,Festuca_sp5,Festuca_sp6,Koeleria_sp3,Luzula_sp5,Luzula_sp4,Luzula_glabra,Phacelia_sp,Phlox_sp1,Phyllodoce_glandulosa,Poa_alpina,Potentilla_heptaphylla,Potentilla_villosa,Sibbaldia_sp,Solidago_sp1,Saxifraga_bronchialis,Taraxacum_sp1
,,1,cushion,,,,6,2,,,,,18,,,,,,,2,,,,,,35,,
,,2,cushion,,5,,1,,,,,,2,,,,,,,1,,,,,1,,,
,,3,cushion,,,,3,,,,,,2,,,,,,,,,,,,,2,,
,,4,cushion,,,,3,,,,,,8,,,,,,,,,,,,,14,,
,,5,cushion,,2,,3,,2,,,,15,,,,,,,,,,,,,17,,
,,6,cushion,,,,,,,,,,3,,,,,,,,,,,,,1,,
,,7,cushion,,,,3,,,,,,3,,,,,,,,,,,,,3,,
,,8,cushion,,,,,,,,,,3,,,,,,,,,,,,,2,,
,,9,cushion,,,,3,1,,,,,6,,,2,,,,,,,,,1,8,,
,,10,cushion,,1,,1,,,,,,4,,,,,,,,,1,,,1,1,,
,,11,cushion,,,,3,,,,,,13,,5,,,,,,,,,,,35,,
,,12,cushion,,,,,,,,,,3,,,,,,,,,1,,,,6,,
,,13,cushion,,,,1,1,,,,,2,,,,,,,,,,,,2,,,
,,14,cushion,,1,,4,,,,,,1,,,,,,,,,,,,,,,
,,15,cushion,,,,6,,,,,,3,,,,,,,2,,,,,3,,,
,,16,cushion,,,,6,,3,,,,,,,,,,,,,,,,,3,,
,,17,cushion,,,,3,,,,,,3,,,,,,,,,,,,,,,
,,18,cushion,,2,,5,,,,,,4,,,,,,,,,,,,1,,,
,,19,cushion,,,,4,,,,,,1,,1,,,,,,,,,,3,,,
,,20,cushion,,,,8,,,,,,2,,,,,,,,,,,,,,,
,,21,cushion,,,,2,,,,,,3,,,,,,,,,,,,,1,,1
,,22,cushion,,1,,,,,,,,,,2,,,,,,,,,,1,8,,
,,23,cushion,,2,,2,3,,,,,2,,,1,,,,,,,,,,,,
,,24,cushion,,2,,,,1,,,,1,,,,,,,,,,,,,20,,
,,25,cushion,,2,,4,,,,,,5,,,,,,,,,,,,,25,,
,,26,cushion,,,,4,,,,,,2,,,,,,,,,,,,,2,,
,,27,cushion,,,,1,,1,,,,,,1,,,,,,,,,,,13,,
,,28,cushion,,3,,8,,2,,,,5,,6,,,,,,,,,,,60,3,
,,29,cushion,,2,,,,,,,,2,,2,4,,,,,,,,,,8,,
,,30,cushion,,,,2,,,,,,3,,,1,,,,,,,,,,,,
,,31,cushion,,,,2,,2,,,,2,,,,,,,,,,,,2,,,
,,32,cushion,,,,,,,,,,1,,,,,,,,,,,,,,,
,,33,cushion,,,,,,,,,,1,,,,,,,,,,,,,4,,
,,34,cushion,,,,7,,,,,,7,,,,,,,,,,,,,,5,
,,35,cushion,,,,1,,,,,,1,,1,,,,,,,,,,,,,
,,36,cushion,,,,8,,,,,,11,,3,,,,,,3,1,,,,40,,
,,37,cushion,,,,5,,,,,,2,,1,,,,,,,,,,,8,,
,,38,cushion,,5,,17,,,,,,10,,1,,,,,,,,,,,,,
,,39,cushion,,,,6,,3,,,,1,,1,,,,,,,,,,2,,,
,,40,cushion,,,,,,,,,,3,,4,,,,,,,,,2,2,,,
,,41,cushion,,,,,,,,,,3,,5,,,,,,,,,,,,,
,,42,cushion,,1,,,,,,,,4,,,,,,,,,1,,,,3,,
,,43,cushion,,,,,,,,,,5,,,,,,,,,1,,,,10,,
,,44,cushion,,3,,8,,3,,,,6,,2,,,,,,,,,,2,,,
,,45,cushion,,,,7,,,,,,1,,1,,,,,,2,,,,,4,,
,,46,cushion,,,,,3,,,,,1,,,,,,,,,,,,,,,
,,47,cushion,,,,4,,,,,,2,,1,,,,,,,,,,,,,
,,48,cushion,,,,,5,,,,,1,,,,,,,,,,,,,,,
,,49,cushion,,,,6,,,,,,4,,,,,,,,,,,,,,2,
,,50,cushion,,1,,6,2,,,,,3,,,,,,,,,1,,,,1,,
,,51,cushion,,,,,,,1,,,1,,2,,,,,,,,,,,,1,
