Site081,Plantago_holosteum,sample,cushion.open,Anthyllis_vulneraria,Arenaria_tetraquetra_amabilis,Biscutella_glacialis,Dactylis_glomerata,Dianthus_brachyanthus,Draba_hispanica,Erigeron_frigidus,Euphorbia_nevadensis,Euphrasia_willkommii,Festuca_clementei,Festuca_indigesta,Galium_pyrenaicum,Jasione_amethystina,Leontodon_boryi,Leucanthemopsis_pectinata,Linaria_aeruginea,Lotus_corniculatus,Nevadensia_purpurea,Pilosella_sp,Poa_ligulata,Rumex_angiocarpus,Sedum_amplexicaule,Senecio_boissieri,Sideritis_glacialis,Silene_boryi,Thymus_serpylloides,Trisetum_glaciale
,,1,cushion,,,,,,,,,,,3,,,,,,,,,1,,,,,,,
,,2,cushion,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,3,cushion,,,,,,,,,,,,,,,,,,,,4,,,1,,,,
,,4,cushion,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,5,cushion,,,,,1,,,,,,,,,,,,,,,4,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,3,,6,,,,,
,,7,cushion,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,8,cushion,,,,,,,,,,,,,,,,,,,,7,,,,,,,
,,9,cushion,,,,,,,,,,1,,,,,,,,,,2,,2,,,,,
,,10,cushion,,,,,,,,,,2,1,,3,,,,,1,,,,1,,,,,
,,11,cushion,,,,,,,,,,,,,2,,,,,,,5,,6,,,,,
,,12,cushion,,,,,,,,,,,,,1,,,,,,,4,,,,,,,
,,13,cushion,,1,,,,,,,,2,,,,,,,,,,3,,,,,,,
,,14,cushion,,1,,,,,,,,,,,,,,,,,,2,,,,,,,
,,15,cushion,,,,,,,,,,,,,5,,,,,,,,,,,,,1,
,,16,cushion,,,,,,,,,,2,,,3,,,,5,1,,5,,4,,1,,,
,,17,cushion,,,,,,,,,,,,,2,,,,,1,,2,,3,,,,,
,,18,cushion,,,,,,,,,,,3,,3,,,,,,,2,,1,,,,,
,,19,cushion,,1,,,,,,,,,,,4,,,,,3,,2,,,,,,,
