Site083,Arenaria_kansuensis,sample,cushion.open,Aster_alpinus,Astragalus_polycladus,Astragalus_tanguticus,Comastoma_pulmonarium,Draba_altaica,Draba_oreades,Erigeron_eriocalyx,Festuca_ovina,Koeleria_litwinowii,Leontopodium_nanum,Pedicularis_pilostachya,Poa_poiphagorum,Poa_sibirica,Potentilla_sericea,Potentilla_tanacetifolia,Rhodiola_juparensis,Saussurea_gnaphalodes,Soroseris_erysimoides,Taraxacum_mongolicum
,,1,cushion,32,,3,,,,,1,,,,30,,,,,,,
,,2,cushion,58,,,,,1,,,1,,,,,4,,,,,
,,3,cushion,37,,,,,2,,2,,,,,,,,,2,,
,,4,cushion,10,,,,,,,1,8,50,,,,,6,,147,,2
,,5,cushion,5,,,,6,,,28,,,,,,,,,17,,
,,6,cushion,8,,,,14,,,43,1,,,1,,,,,15,,
,,7,cushion,76,,,,13,,,7,2,,,,,,,,4,,
,,8,cushion,31,,,,,,,7,1,,,,,7,,,6,,
,,9,cushion,95,1,,,,,,4,2,,,2,,,,,,,
,,10,cushion,17,,,,,,,1,,,,3,,,,,,,
,,11,cushion,67,,,,1,,,,,,,,,1,,2,48,,
,,12,cushion,1,,,,,,,,,,,,3,,,1,32,13,
,,13,cushion,96,,4,,12,,,10,,43,,,,40,,,39,8,
,,14,cushion,50,,,,4,,,17,,,,,,,,,4,,
,,15,cushion,18,,,,5,,,3,,,,,,,,2,44,,
,,16,cushion,,,,,,,,21,1,5,,,,,,,6,,
,,17,cushion,,,,,,,,,,,,,,,,,47,,
,,18,cushion,15,,,,1,,,18,1,,,,,,,,11,,
,,19,cushion,47,,,,,,,1,,,,,,,,,123,6,
,,20,cushion,50,,,,1,,,10,,,,43,,,,,120,,
,,21,cushion,,,,,,,,,,,,,,,,,28,,
,,22,cushion,,,,,,,,6,,,,,,,,,4,,
,,23,cushion,,,,,,,,,,,,,,,,,49,,
,,24,cushion,21,,,,,,,6,,53,,,,,,,,,
,,25,cushion,,,,,,,,4,,,,4,,,,,,6,
,,26,cushion,12,,,,,,,2,,27,,,,,,,1,,
,,27,cushion,7,,,,2,,,2,,27,,25,,,,,2,,
,,28,cushion,12,,,,,,1,3,,,,27,,,,,,,
,,29,cushion,16,,,,,,,2,,,,,,1,,,24,24,
,,30,cushion,16,,4,,,,,3,,,,,,5,2,,114,,
,,31,cushion,6,1,,,,,,6,,,1,,,10,,,34,9,
,,32,cushion,,,,,4,,,4,,,,,,,,,98,3,
,,33,cushion,,,,,,,,8,,,,1,,3,,,41,24,
,,34,cushion,,,1,,,,,4,,,,,,,,,82,7,
,,35,cushion,,,,,6,,,,,,,,3,,,,37,,
,,36,cushion,,,1,,,,,2,,,,,,,,,69,,
,,37,cushion,,,,,,,,3,,,,,,1,,,25,,
,,38,cushion,2,,59,,,,,7,,,,,,5,,,149,,
,,39,cushion,,,,,,,,1,,,,,,,,,,105,
,,40,cushion,,,,,5,,,4,,,,,1,,,,28,13,
,,41,cushion,,,1,,,,,1,,,,,,,,,1,165,
,,42,cushion,,,,,,,,1,,,,,,,,,36,14,
,,43,cushion,10,,14,,,,,11,,,,,,15,,,68,7,
,,44,cushion,16,,1,,,,,5,,,,,,6,,,102,,
,,45,cushion,6,,,,,,,2,,,,,,4,,,122,,
,,46,cushion,12,,2,,,,,15,,,,,1,6,,,52,25,
,,47,cushion,13,,1,,,,,4,,,,,2,,,,26,9,
,,48,cushion,21,45,20,,8,,,22,,,,,,15,,,25,5,
,,49,cushion,21,,,2,,,,3,,,,,2,23,,1,17,27,
,,50,cushion,1,,69,,,,,4,,,,,,,,,47,4,
,,51,cushion,7,,28,,,,,5,,,,,,3,,,24,6,
,,52,cushion,,,,,,,,3,,,,,,10,,,25,1,
,,53,cushion,,,2,,1,,,2,,,,,,,,,63,36,
,,54,cushion,,,2,,2,,,4,,,,,1,,,,10,46,
,,55,cushion,9,,4,,,,,6,,,,,,,,,20,2,
,,56,cushion,15,,,,,,,,,,,,1,6,,2,17,,
,,57,cushion,,,10,,1,,,1,,,,,,1,,,17,27,
,,58,cushion,,,,,,,,4,,,,,,,,,,49,
,,59,cushion,4,,,,3,,,1,,,,,,4,,1,39,14,
,,60,cushion,,,,,,,,5,,,,,,,,,,47,
,,1,open,57,,,,,,,,5,,,,,,,,,,
,,2,open,12,,,,,5,,,3,,,,,2,,,,,
,,3,open,14,,,,,2,,11,,,,,,2,,,,,
,,4,open,62,,,,,,,,3,,,,,21,,1,56,,
,,5,open,39,,,,,,,,12,,,,,,,,1,,
,,6,open,27,,,,1,,,,6,,,,,,,,,,
,,7,open,7,,,,,,,,,,,,,,,,2,,
,,8,open,16,,,1,2,,,,4,4,,,,,,,,,
,,9,open,44,,,,,,,,29,,,,,,,,22,,
,,10,open,7,,,,,,,,7,,,,,,,,9,,
,,11,open,7,,,,,,,,,,,,,2,,1,3,,
,,12,open,5,,,,,,,,2,,,,,,,,20,,
,,13,open,28,,1,,,,,,,67,,,,,,1,11,,
,,14,open,1,,,,,,,,,,,,,,,,20,,
,,15,open,22,,,,,,,5,,,,,,,,,6,,
,,16,open,2,,,,3,,,,4,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,49,,
,,18,open,,,3,,,,,10,1,,,,,,,,,,
,,19,open,20,,,1,1,,,8,3,19,,,,,,,25,,
,,20,open,59,,3,,,,8,6,,10,,,,1,,,117,,
,,21,open,,,,,,,,,,,,,,,,,15,,
,,22,open,,,,,,,,,,,,,,,,,7,,
,,23,open,,,,,,,,,,,,,,,,,46,,
,,24,open,5,,,,,,,,7,,,,,,,,9,,
,,25,open,,,,,,,,,6,32,,,,,,,4,,
,,26,open,,,,,,,,,5,,,,,,,,29,,
,,27,open,3,,,,,,,,6,3,,,,,,,,,
,,28,open,14,,,,,,,4,1,,,,,2,,,,,
,,29,open,8,,,,2,,,2,,,,,,1,,,33,,
,,30,open,26,,1,,,,,,,,,,,,,,29,,
,,31,open,16,,1,,,,,2,,12,,,,2,,,69,,
,,32,open,,,1,,,,,,,15,,,,3,,,18,,
,,33,open,9,,,,,,,,,7,,,,,,,39,,
,,34,open,4,,2,,,,,,,5,,,1,2,,,50,,
,,35,open,,,,,,,,,,,,,4,,,,24,,
,,36,open,,,,,,,,,,,,,1,2,,1,14,,
,,37,open,,,,,,,,,,,,,1,,,,54,,
,,38,open,,,7,,,,,1,,,,,,,,,118,,
,,39,open,,,,,,,,4,,,,,,,,,,111,
,,40,open,,,,,,,,,11,,,,,,,,9,50,
,,41,open,,,,,,,,1,,,,,,,,,,25,
,,42,open,,,,,,,,,,,,,,,,,12,15,
,,43,open,,,15,,,,,6,,,,1,,,,,14,13,
,,44,open,10,,,,,,,10,,,,,,,,,108,11,
,,45,open,,,2,,,,,1,,,,,,,,,52,,
,,46,open,26,,,,,,,5,,,,,1,4,,,15,,
,,47,open,15,,,,,,,,,,,,,3,,,22,16,
,,48,open,10,,7,,1,,,7,,,,,,2,,,65,16,
,,49,open,18,,4,,3,,,,,,,,,3,,1,11,16,
,,50,open,,,46,,,,,,,,,,6,1,,,77,21,
,,51,open,,,,,,,,,,,,,1,,,,23,22,
,,52,open,,,,,,,,1,,,,,,,,,9,67,
,,53,open,5,,,,,,,,,,,,,,,,8,46,
,,54,open,,,4,,,,,1,,,,,,,,,3,9,
,,55,open,,,,,,,,,9,,,,,1,,,3,15,
,,56,open,20,,,,,,,,,,,,,3,,,3,,
,,57,open,26,,,,,,,1,,,,,,,,,15,45,
,,58,open,,,,,,,,1,,,,,,,,,,35,
,,59,open,2,,,,,,,4,,,,,,,,,34,38,
,,60,open,,,,,,,,,,,,,,,,,,38,
