Site086,Silene_acaulis,sample,cushion.open,Androsace_chamaejasme,Antennaria_lanata,Astragalus_alpinus,Carex_geyeri,Claytonia_megarhiza,Dasiphora_fruticosa,Dryas_octopetala,Erigeron_canus,Erigeron_compositus,Festuca_idahoensis,Geum_rossii,Hulsea_algida,Oxytropis_campestris,Phacelia_sericea,Phlox_hoodii,Poa_alpina,Potentilla_nivea,Saxifraga_bronchialis,Saxifraga_lyallii,Saxifraga_occidentalis,Saxifraga_oppositifolia,Sedum_lanceolatum,Sedum_roseum,Smelowskia_calycina,Solidago_multiradiata,Stellaria_americana
,,1,cushion,,,,26,,,,,,,,,,,,,,,,,,2,,2,,
,,2,cushion,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,3,cushion,,,,2,,2,,,4,1,,,,,,,4,,,,,,,,5,
,,4,cushion,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,cushion,,3,,21,,,,,,,,,,,,,,,,,,,,5,,
,,7,cushion,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,cushion,,,,1,,,,,,,,,,,,,,,,,,,,,1,
,,10,cushion,,,,5,,,,,3,1,2,,,,,,4,,,,,5,,,,7
,,11,cushion,,,,2,,,,,,,,,,,,,,,,,,,,1,,
,,12,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,cushion,,,,4,,2,,,,,,,,,,,2,,,,,1,,,4,
,,14,cushion,,,,1,,,,,,,,,1,,,,4,,,,,,,4,,
,,15,cushion,,,,10,,,,,,,,,,,,,,,,,,,,1,2,
,,16,cushion,,,,3,,1,,,,,,,7,,,,,,,,,,,,7,
,,17,cushion,,,,5,,,4,,,,,,2,,,,4,,,,,,,3,3,
,,18,cushion,,1,,1,,,,,,,,,,,,,3,,,,,1,,,,
,,19,cushion,,,,3,,1,,,,,,,,,,,3,,,,,,,,,
