Site089,Silene_acaulis,sample,cushion.open,Arabis_alpina,Astragalus_alpinus,Bartsia_alpina,Bistorta_vivipara,Calamagrostis_lapponica,Cardamine_bellidifolia,Carex_bigelowii,Carex_lachenalii,Cassiope_hypnoides,Cerastium_alpinum,Dryas_octopetala,Euphrasia_frigida,Festuca_ovina,Gnaphalium_supinum,Juncus_biglumis,Juncus_trifidus,Luzula_arcuata,Luzula_multiflora,Luzula_sp6,Luzula_spicata,Minuartia_sp,Oxyria_digyna,Pinguicula_sp,Poa_alpina,Potentilla_crantzii,Ranunculus_nivalis,Salix_herbacea,Salix_polaris,Salix_reticulata,Salix_sp1,Saxifraga_cernua,Saxifraga_oppositifolia,Saxifraga_tenuis,Taraxacum_sp2,Thalictrum_alpinum,Tofieldia_pusilla,Viola_biflora
,,1,cushion,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2
,,2,cushion,,,,8,,,,,,,,,,,,,,,,,,1,,1,,,,,6,,2,,,1,,,1
,,3,cushion,,,,5,1,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,
,,4,cushion,,,,4,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
,,5,cushion,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,
,,6,cushion,,,,16,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,3,,,,,
,,7,cushion,,,,15,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,
,,8,cushion,,,,18,2,,,,,,,,6,,,,,,,,,,,,4,,,,,,,1,,,,,
,,9,cushion,,,2,23,3,,,,,,,,2,,,,,,,,,,,,4,,,,,,2,3,,,,,2
,,10,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,11,cushion,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
,,12,cushion,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,13,cushion,,,,3,2,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,14,cushion,,,,2,,,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,15,cushion,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,cushion,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,17,cushion,,,,9,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,,,1,,,,
,,18,cushion,,,,25,2,,,,,,,,5,,,,,,2,,,,,,,,,2,,,,3,,,,,
,,19,cushion,,,,26,1,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,
,,20,cushion,,,,3,8,,,,,,,,,,,,,,5,,,,,2,,,,1,,,1,,,,,,
,,21,cushion,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,
,,22,cushion,,,,11,,,,11,,,,,,,,,,,,,,,,,,,,7,,,2,,,,,,
,,23,cushion,,6,1,6,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
,,24,cushion,,,,21,7,,,,,,,,,,8,,,,,,,,1,,,,,,,,,3,,,,,2
,,25,cushion,,,,14,,,,,,,,,,,,8,,,,7,,,,,,,,,,1,1,,,,,,
,,26,cushion,,,,26,,,,1,,,,1,,,,,,,2,,,1,,,1,2,,2,,,,,,,,,
,,27,cushion,,,,12,,,,,6,2,,,,,,,6,,,,,,,,,,,5,2,,,1,,,,,
,,28,cushion,,,,8,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
,,29,cushion,,,,17,,,,,,,1,,,,,,,10,,,,,,,,,,11,2,,,,,,,,
,,30,cushion,,,,18,1,,,,5,,,,,1,,,,,2,,,,1,,,,,,,,2,1,,,,,
,,31,cushion,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,32,cushion,,,,8,,,,,,,,,,,,,,,2,,,,,,,3,,12,,,,,,,,,
,,33,cushion,,,,10,,,,,,,,,,,,3,,,,,,,,,3,,,6,,,1,,,,,,
,,34,cushion,,,,29,,,,,4,,,,,,,,6,,,,,,,,,,,40,1,,,3,,,,,
,,35,cushion,,,,5,,,,,,,,,,,,10,,,1,,,1,,,,,,,,,1,3,,,1,,
,,36,cushion,,,,8,,,,,1,,,,,,,30,,,,,,,,,,,,9,,,,2,,,,,
,,37,cushion,,,1,18,,,,,1,,,,,,,,,,,,,,,,,1,,3,,,,1,,,,,
,,38,cushion,,,1,8,2,,,,,,,,,,,,,,3,,,,,4,,,,2,,,,,,,,,
,,39,cushion,,,1,13,,,,,,,,,10,,,,,,,5,,2,,,,,,9,,,,2,,,,,
,,40,cushion,,,,6,,,,,,,,,,5,,5,,,1,,,,,,,,,2,,,,1,,,,,
,,41,cushion,,,,2,,,,,,,,,,,,,,,,4,,4,,,,,,1,,,,,,,,1,2
,,42,cushion,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,14,,,,3,,,,,
,,43,cushion,,,,41,13,,,2,,,,,3,,,,,,,7,,6,,,,1,2,10,1,1,,1,,,,,
,,44,cushion,,,,13,5,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,2,
,,45,cushion,,,,9,6,,,,,,,,,,,,,,,,,1,,,,,,7,,,,1,,,,,
,,46,cushion,,4,,6,,,,,,,,,3,,,,,,1,1,,,,,,,,6,,,,,,,,,
,,47,cushion,,,,30,,,1,,,,,,3,,,,,,2,1,,1,,,,,,8,,,,4,,,2,,
,,48,cushion,,,,13,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,
,,49,cushion,,,,10,,,,,,,1,,3,,,,,,,,,,,,,,,2,,,,4,,,,,
,,50,cushion,,,,15,9,,,,,,,,,,,,,,,,,,,,1,2,5,,,,,,,,,,
,,1,open,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,2,open,,,,2,,,,,,,,,,1,,,,,1,,,8,,1,,,,,,,,,,,,,
,,3,open,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,
,,4,open,,,,2,,,,,,,,,,2,,,,,3,,,,,,,,,,,,3,,,,,,
,,5,open,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
,,6,open,1,2,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
,,7,open,,,,18,1,,,,,,1,,2,,,,,,1,,,,,,,,,,,,1,1,,,4,,
,,8,open,,,,2,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,2,,,,1,,
,,9,open,,,,7,1,,,3,,,,,1,,,,,,,,,,,,,,,13,,,,7,,,,,
,,10,open,,,,2,1,,,,,,,,,,,,,,4,,,1,,1,,,,,,,1,2,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,12,open,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,13,open,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
,,14,open,,,,12,,,,,,1,,,,,,,,,3,,,,,,,,,,,,1,,1,,,,
,,15,open,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,1,,,,,
,,16,open,,,,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
,,17,open,,,,13,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,17,,,,,,,,,,,,,,,7,,,,,,,,,15,,,,,2,,1,,
,,19,open,,,,9,,,,,,,,,,,,,,,2,,,,,,,,,18,,,1,4,,,,,
,,20,open,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,2,,,,,,
,,21,open,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,12,,,,2,,,,,,,,,2,,3,,,,,4,,,,,,,2,4,,,,,
,,23,open,1,,,5,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
,,24,open,,,,13,,,,8,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,
,,25,open,,,,8,,,,,,,,,,,,,,,3,,,3,,,,,,,,,3,,,,,,1
,,26,open,,,,6,10,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,
,,27,open,,,,5,4,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
,,28,open,,,,17,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,1,,,,
,,29,open,,,,7,,,,,,,,,,,,,,,4,,,,,,,,,5,,,,,,,,,
,,30,open,,,,13,,,,,2,,,,,,,,,,1,,,,,,,,,4,2,,,,,,,,
,,31,open,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
,,32,open,,,,3,,,,,,,,,,,,,,,2,,,1,,,,,,,,,1,,,,,,
,,33,open,1,,,15,,,,,,1,,,,,,,,,,,,,,,,,,11,,,2,,1,1,,,
,,34,open,,,,20,,,,,,,,,,,,,,,6,,,,,,,,,12,,,1,3,,,,,
,,35,open,,,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,1,,,,,
,,36,open,,,,11,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
,,37,open,,,,16,,,,,,,,,1,,,,,,1,,,,,,2,,,14,,,,,1,,,,
,,38,open,,,,6,,,,,,1,,,2,7,,4,,,,,,,,6,,,,,,,,,,5,,,
,,39,open,,,,2,,,,,,2,,,,,,,,,2,3,,5,,2,,,,2,,,,,,1,,,
,,40,open,,,,9,,,,,,,,,,11,,,,,1,,,,,1,,,,,,,,,,,,,
,,41,open,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1
,,42,open,,,,13,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,
