Site092,Minuartia_sp,sample,cushion.open,Androsace_sp1,Arabis_sp,Arenaria_sp2,Astragalus_sp1,Carex_curvula,Carex_firma,Carex_sp14,CaryUnk5_sp,Cerastium_alpinum,Draba_sp3,Eritrichium_nanum,Festuca_sp8,Gentiana_sp5,Hutchinsia_alpina,Oxytropis_sp1,Poa_sp4,Polygonum_sp,Primula_sp,Pritzelago_sp,Salix_sp2,Salix_serpyllifolia,Saxifraga_sp8,Saxifraga_oppositifolia,Saxifraga_sp9,Sesleria_sp,Silene_sp
,,1,cushion,,,,,,3,,,,,,10,,,,,1,,,,,,,,,
,,2,cushion,,,,,,,,,1,,,3,,,,,,,,,,,,,,1
,,3,cushion,,,,,,,,,2,,,1,,,,,,,,,,,,,,
,,4,cushion,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,5,cushion,,,,,,,,,,,,13,,,,,,,,,,,1,,,
,,6,cushion,,,,,,,,,1,,7,,,,,,9,,,,,,,,,
,,7,cushion,,,,,,,,1,1,1,8,6,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,,,,2,,,,,2,,,,,,,,3,
,,9,cushion,,,,,,,,,1,,,10,,,,,2,,,,,,,,1,
,,10,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,cushion,,,1,,,,,,,,,,,,,,1,,,,,,,,1,
,,12,cushion,,,,,,,,,8,,,,,,,1,,,,,,,,,,2
,,13,cushion,,,,,,,,,1,,,3,,,,,,,,,,,,,,1
,,14,cushion,,,,,,,,,,,,1,,,,,,,,,,,,,1,1
,,15,cushion,1,,,,,,,,,,,2,,,,,,,,,,,,,18,
,,16,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,17,cushion,,,,,,,,,,,,,1,,,,,,,1,,,,,,
,,18,cushion,,,,,,,,,3,,,,,,,,,,,,,,,,,1
,,19,cushion,,,4,,,,,,,,,,,,,,,,,,,,,,,
,,20,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,21,cushion,,,,,,,,,,,,,,,,,,,,,,,1,,,1
,,22,cushion,,,,,,,,,,,,3,,,,,,,,,,,,,14,1
,,23,cushion,,,,,,,,,,,,1,,,,,,,,,,,1,,14,1
,,24,cushion,,,,,,,,,,,,,,,,,,,,,,,,,5,1
,,25,cushion,,,,,,1,,,,,,1,,,,3,1,,,,,,,,1,1
,,26,cushion,,,,,,,,,,,,1,,,,,7,,,,,,,,3,1
,,27,cushion,,,,,,,,,5,,,,,,,,,,,,,,,,,2
,,28,cushion,,,,,,,,,,,,5,,,,,,,,,,,1,,,
,,29,cushion,,,,,,1,,,1,,,11,,,,,,,,,,,1,,,
,,30,cushion,,,,,,,,,,,,,,,,,,,,,,,,,11,
,,31,cushion,,,1,,1,,,,,,,3,,,,,,,,,,,,,,1
,,32,cushion,,,,,,,,,2,,,,,,,,,,,,,,1,,16,
,,33,cushion,,,,,,,,,,1,,,,1,,,,,,,,,,,,
,,34,cushion,,,,,1,,,,,,,,1,,,,,,,,,,1,,,1
,,35,cushion,,,1,,,,,,,,,5,,,,1,,,,,,,,,8,
,,36,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,cushion,,,,,5,,,,,,,,,,,,2,,,,,,,,,
,,38,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39,cushion,,,,,,,,,,,,,1,,,3,1,,,,,,,,4,
,,40,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,41,cushion,,,,,1,,,,,,,2,,,,,1,,,,,,1,,4,
,,42,cushion,,1,,,,,,,,,,4,,,,,,,,,,,,,,
,,43,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,cushion,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,45,cushion,,,,,,1,,,2,,,,,,,3,,,,,,,,,5,
,,46,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,cushion,,,,,,2,,,,,,,,,,,,,,,,,,,,
,,48,cushion,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,49,cushion,,1,,,,,,,,,,,,,,,,,,,,,,,4,
,,50,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,cushion,,,,,8,,,,,,,,,,,,2,,,1,,,,,,
,,52,cushion,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,53,cushion,,,1,,,,,,1,,,,,,,,,,,,,,,,,
,,54,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,cushion,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,56,cushion,,,2,,,,,,,,,5,,,,,,,,,,,,,,
,,57,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,cushion,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,59,cushion,,,3,,,,,,,,,,,,,,1,,,,,,,,,
,,60,cushion,,,,,,,,,2,,,2,,,,,,,,,,,,,,2
,,61,cushion,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,62,cushion,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,63,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,cushion,,,,1,,,,,,,,,,,,,,,,,,,,3,,
,,65,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,66,cushion,,1,,,,,,,3,,,1,,,,,,,,,,,,,,
,,67,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,cushion,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,70,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,cushion,,,1,,,,,,,,,,,,,,,3,,,,,,,,
,,72,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,cushion,,,,,,,39,,,,,,,,,,12,,,,,,,,,
,,75,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,76,cushion,,,,,,,,,,,,,,,,,5,,,,3,,,,,
,,77,cushion,,,,,,,17,,,,,,,,,,1,,,,1,,,,,
,,78,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,cushion,,,1,,,,,,,,,,,,,,,1,,,,,,,,
,,82,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83,cushion,,,,,,,9,,2,,,,,,,,3,,,,,,,,,
,,84,cushion,,,,,,,7,,,,,,,,,,5,,,,,,,,,
,,85,cushion,,,,,,,3,,,,,,,,,,4,,,,,,,,,
,,86,cushion,,,,,,,10,,,,,,,,,,9,,,,1,,,,,
,,87,cushion,,,,,,,,,,,,1,,,,,3,,,,,,,,,
,,88,cushion,,,,,11,,3,,,,,,,,,,,,,,,,,,,
,,89,cushion,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,90,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91,cushion,,,,,14,,,,,,,,,,,,7,,,,,,,,,
,,92,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,93,cushion,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,94,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,95,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,96,cushion,1,,1,,,,,,3,,,,,,,,,,,,,,,,,
,,97,cushion,1,,1,,,,,,,,,,,,,,,1,,,,,,,,
,,98,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,100,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,1,,,,,,,,1,
,,12,open,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,13,open,,,1,,,,,,,,,,,,,,,,,1,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,open,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,22,open,,,,,,1,,,,,,,,,,,,,,1,,,,,,
,,23,open,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,25,open,,,,,,1,,,,,,,,,,,,,,,,,,,1,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,27,open,,,,,,,,,,,,,,,,,1,,,,,,,,5,
,,28,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,33,open,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,34,open,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,35,open,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,36,open,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,37,open,,,,,,2,,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,,6,,,,,,,,,,,,,,,,,,,,
,,39,open,,,,,,7,,,,,,,,,,,,,,,,,,,,1
,,40,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,42,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,,,3,,,,,,,,,8,
,,46,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,open,,,,,,7,,,,,,,,,,,,,,,,,,,,
,,48,open,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,49,open,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,50,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,open,,,,,6,,,,,,,,,,,,1,,,,,,,,,
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,2,,,,,,,,,,,,,1,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,open,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,66,open,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,71,open,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,72,open,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,73,open,,,,,,,,,,,,,,,,1,,,1,,,,,,,
,,74,open,,,,,,,2,,,,,,,,,,17,,,,,,,,,4
,,75,open,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,76,open,,,1,,,,2,,1,,,,,,,,1,,,,,,,,,
,,77,open,,,,,,,6,,,,,,,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,open,,,1,,,,,,,,,,,,,,,3,,,,,,,,
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,82,open,,,,,,,,,,,,,,,,,,,,,,,,,,
