Site097,Silene_acaulis,sample,cushion.open,Agrostis_borealis,Agrostis_scabra,Androsace_chamaejasme,Antennaria_alpina,Astragalus_kentrophyta,Carex_podocarpa,Cerastrium_nutans,Chrysosplenium_tetrandum,Cirsium_tweedyi,Claytonia_megarhiza,Deschampsia_caespitosa,Draba_longipes,Erigeron_aureus,Festuca_brachyphylla,Hedysarum_alpinum,Oxyria_digyna,Phleum_commutatum,Poa_alpina,Polemonium_viscosum,Polygonum_viviparum,Salix_arctica,Salix_reticulata,Saussurea_weberi,Saxifraga_lyallii,Saxifraga_oppositifolia,Sedum_roseum,Senecio_canus,Senecio_fremontii,Smelowskia_calycina,Stellaria_borealis,Taraxacum_officinale
,,1,cushion,,5,,,,,,,,,,,,8,,,,2,,3,11,,,,5,,,,2,,
,,2,cushion,,2,,,,,,,,,4,,,2,,,,,,,,,1,,,,,,1,,
,,3,cushion,,3,,,,,,,,,,,,2,,,,2,,,,,3,,,,3,,3,,
,,4,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,
,,5,cushion,,,,,,3,,,,,2,,,3,,,,,,1,17,,,,,,2,,1,,
,,6,cushion,,3,,,,,,,,,2,,,,,,,2,,,,,,1,3,,,,1,,
,,7,cushion,,,2,,,,,,,,1,,,,,,,,,,23,,,,,,,,,,
,,8,cushion,,5,,,,,,,,,1,,2,7,,,,,,,,,,,3,4,,,,,
,,9,cushion,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,
,,10,cushion,,4,,,,5,,,,,3,,,3,,,,1,,,3,,1,,3,,,,16,,
,,11,cushion,,9,,,3,,,,,,,,,5,,,,1,,1,4,,,,4,,,,6,,
,,12,cushion,,,1,,1,,,,,,,,,4,,,,2,,3,14,,,,2,,2,,,,
,,13,cushion,,6,1,,,2,,,,,,,,7,,,,,1,4,,,,,,,,,1,,
,,14,cushion,,5,,,5,,,,,,,,,2,,,,,,4,3,,,,,,,,11,,
,,15,cushion,,23,,,5,11,2,,,,,,2,,,,,14,,,26,,1,,,,7,,3,,
,,16,cushion,,,,,2,,,,,,,,,2,,,,,,,14,,,,,,,,,,
,,17,cushion,,,,,,8,,,,,,,,7,,,,,,15,70,,,,,,,,,,
,,18,cushion,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,19,cushion,,,5,,,,,,,,,,,6,,,,,1,,,,1,,,,,,,,
,,20,cushion,10,,,,,,,,,,,,1,,,,,,1,,,,,2,,,,,2,,
,,21,cushion,,16,,,,,,,,,,,,8,,,,14,,14,,,1,,,5,,,15,,
,,22,cushion,,,,,9,,,,,,,,,,,,,,,,,,1,,,,2,,,,
,,23,cushion,,,,,4,,,,,,2,,,1,,,,1,,,,,,,,,,,,,
,,24,cushion,,,,,,,,,,,4,,,9,,,,1,,,,,,,,,,,,,
,,25,cushion,1,3,3,,4,,,,,,12,1,2,,,,,18,,,,,,,,,2,,9,1,2
,,26,cushion,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,,
,,27,cushion,,,,,,3,,,,,,1,,5,,,,19,,1,,,,,,,,,20,,
,,28,cushion,4,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,
,,29,cushion,,,,,,,,,,,,,,4,2,,,7,,2,,,,3,,,,,,,
,,30,cushion,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,6,,
,,31,cushion,,,3,,,3,,,,,,,,3,,3,,2,,,,,4,,,,,,,,
,,32,cushion,,,,,,10,,,,,,,,,,,,,,3,,,,,1,,,,,,
,,33,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,34,cushion,,21,,,,12,,,,,3,,,40,,,,,,3,,,,,,,,,8,,
,,35,cushion,,,,,,5,,,,,,,4,6,,,,,,,,,,,,,,,3,,
,,36,cushion,,,,,,4,,,,,,,,4,,,,,,,,,3,,,,,,1,,3
,,37,cushion,,,3,,,1,,,,,,,,7,,,,,,,,,4,,,,1,,3,,
,,38,cushion,,,,,,2,,,,,,,,1,,,,,,11,1,,3,,,,,,1,,3
,,39,cushion,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,4,,
,,40,cushion,,,,,,15,,,,,,,,4,,,,,,,,,,,,,2,,5,,1
,,41,cushion,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,
,,42,cushion,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,44,cushion,,,12,,,5,,,,,,2,,,,,,1,,1,,,,,,,,,3,,
,,45,cushion,,14,,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,,
,,46,cushion,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,47,cushion,,14,,,1,5,,,,,,,,,,,,1,,4,,,,,,3,1,,,,
,,48,cushion,,8,,,,10,,,,,,,,11,,,,,,,,,,,,,,,16,,
,,49,cushion,,6,,,,,1,,,,,,,,,,,6,,,,1,,,,,5,,5,,
,,50,cushion,,1,,,,,1,,,,,,,,,,3,,,,,,,,,,5,,,1,
,,51,cushion,,5,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
,,52,cushion,,2,,,,,,,,,,,,3,6,,,,,,,,,,,,1,,1,,
,,53,cushion,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
,,54,cushion,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2
,,55,cushion,,2,,,,6,,,,,,,,,,,,3,,,,,,,,,7,,7,,
,,56,cushion,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,
,,57,cushion,,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,2,,
,,58,cushion,,3,,,,4,,,,,,1,,5,,,,3,,,,,,,,,1,,3,,
,,59,cushion,,2,2,,,4,,,,,,,,2,,,,3,,,,,,,,,,,3,,
,,60,cushion,,3,,1,,,,,,,,,,6,,,,5,,,,,,,,,,,,,
,,61,cushion,,2,,,,6,,,,,1,,,,,,,5,,,,,,,1,,,,,,
,,62,cushion,,6,2,,,6,,,,,,,,7,,,,2,,,,,,,,,,,10,,
,,63,cushion,,10,,,,,,,,,,,,5,,,,13,,,,,,,,,,,4,,
,,64,cushion,,5,,,3,4,,,,,1,,,8,,,,9,,,,,1,,,,12,,14,,
