"rep","microsite","x-axis (cm)","y-axis (cm)","Surface","S cumulée","Bromus","Cerastium","Apiacees","Chardon gris","Senecio dents","Galium","Acantholimon","Liliacees","Marrubium","Viola","Annuelle sèche","Centaurea","Alyssum","Leuzea","Taraxacum","Tulipa","Linaria","Senecio","Leontodon","Lactuca","Festuca","Crepis","Scrophulariacees","Prunus","Ranunculacees","Caryophyllacées"
21,"on cushion",13,12,156,156,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,"on cushion",15,13,195,351,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"on cushion",20,20,400,751,25,0,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,"on cushion",23,23,529,1280,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"on cushion",28,20,560,1840,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"on cushion",27,22,594,2434,5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"on cushion",30,20,600,3034,15,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
29,"on cushion",32,25,800,3834,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
39,"on cushion",30,28,840,4674,6,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,6,0,6,0,0,0
47,"on cushion",30,28,840,5514,1,0,3,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"on cushion",35,30,1050,6564,3,1,0,0,0,0,0,0,2,0,0,0,30,1,0,0,0,0,0,0,15,0,6,0,0,0
37,"on cushion",33,32,1056,7620,25,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,30,0,0,0,0,0
42,"on cushion",34,32,1088,8708,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12,"on cushion",35,32,1120,9828,25,10,3,0,0,38,0,0,0,0,0,5,18,0,3,0,0,0,0,0,0,1,0,0,0,0
16,"on cushion",38,30,1140,10968,55,2,4,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,2,0,0,0
44,"on cushion",35,33,1155,12123,0,0,3,0,0,0,0,0,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"on cushion",38,32,1216,13339,20,0,4,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,"on cushion",38,32,1216,14555,5,4,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
24,"on cushion",40,35,1400,15955,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
56,"on cushion",40,35,1400,17355,15,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
18,"on cushion",45,35,1575,18930,15,0,10,0,0,80,0,0,0,0,0,0,90,1,0,0,5,0,0,0,0,0,0,0,0,0
10,"on cushion",43,38,1634,20564,65,7,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0
32,"on cushion",43,38,1634,22198,50,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
38,"on cushion",42,40,1680,23878,60,1,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,3,0,6,0,0,0
59,"on cushion",45,38,1710,25588,60,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
19,"on cushion",45,40,1800,27388,2,2,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"on cushion",45,40,1800,29188,25,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1
53,"on cushion",45,40,1800,30988,25,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0
15,"on cushion",43,43,1849,32837,70,2,6,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,4,0,0,0
35,"on cushion",48,40,1920,34757,55,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1,"on cushion",50,40,2000,36757,28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"on cushion",50,40,2000,38757,16,2,0,0,0,0,0,0,0,0,0,0,120,0,5,0,0,3,0,0,0,0,0,0,0,0
23,"on cushion",45,45,2025,40782,5,8,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,"on cushion",53,42,2226,43008,55,0,0,0,0,0,0,0,0,0,0,1,65,0,2,0,0,0,2,0,0,0,1,0,0,0
54,"on cushion",54,45,2430,45438,35,0,2,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,0,0,0
30,"on cushion",55,50,2750,48188,40,0,3,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"on cushion",55,50,2750,50938,0,1,1,0,0,0,0,2,0,0,0,0,65,0,0,0,0,0,0,0,1,0,0,0,0,0
25,"on cushion",60,50,3000,53938,30,3,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0,0,6,0,0,0
20,"on cushion",60,55,3300,57238,50,0,5,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,10,0,0,0,0,0
