"L","B","F","T","H","U","EXC"
37.8,29.2,74.7,112,73.7,66.5,0
40.5,31.2,81.5,124,79.2,72.3,0
40.3,31,80.3,116.5,78.6,73.8,0
38.9,30.5,74.8,111,72.2,66.6,0
37.6,29.2,73.2,100.5,73.6,67.3,0
39.7,30.8,78.2,118,76.3,71.2,0
39.1,30.8,80.6,118,80,73.2,0
38.4,"NA",73.9,111,72.3,66.5,0
38.3,29.8,74,108.5,72.3,66.4,0
39,29.8,77.1,118,75.4,69.9,0
39.8,31.1,82.9,122.5,80.8,73.5,0
39.7,31,78.6,119,76.2,71.5,0
"NA","NA",74.2,106.5,74.7,"NA",0
40.2,30.1,75.5,116,75.6,71.3,0
39.7,30.4,78.9,117,77.9,71.5,0
38.8,30.8,77.2,116,75.6,69.3,0
"NA","NA",76.2,113,77.6,70.3,0
38.9,30.2,78.8,118,75.9,71.3,0
38.2,"NA",78,115,73.9,67.1,0
39,30.6,79.9,119.5,78.3,73,0
35.6,29,71.7,107,70.4,64.9,0
39.5,29.7,77.7,118,75.4,69.4,0
38.8,28.6,70.4,108,71.8,66.1,0
39.3,30.2,75.6,114,74.8,69.3,0
37.7,29.8,72.9,112,72.5,66.8,0
37.8,31.2,76,112.5,74.6,67.7,0
39.6,29.9,78.3,115.5,73.7,67.5,0
40,29.9,77.8,111.5,74.6,69.9,0
40.3,29.9,76.4,116.5,78.2,72.2,0
39.3,29.8,78.7,117.5,74.8,67.7,0
37.4,29,75.9,112,74,68.1,0
38.5,30.5,76.7,114,75.2,69.4,0
40.2,30,78.2,120,76.5,70.5,0
37.1,29,71.6,106.5,72.4,66,0
35.9,28.6,74.5,110,72.5,66.7,0
36.8,29.4,72.3,114.5,70.7,66.8,0
42.4,32.7,87.7,130.5,85,77.2,0
39.3,29.9,81.3,121,77.6,70.7,0
37.7,29.7,72.3,108.5,"NA",65.5,0
38.3,"NA",71.6,109,70.6,67.4,0
38.3,30.1,74.3,110.5,72.6,66.2,0
40.2,31.3,77.7,118,77.1,71.1,0
40.5,31.3,72.3,109,72.8,66.6,0
39.4,30,76.7,114,75,68.3,0
40.5,31.5,78.9,119,75.9,70.5,0
37.2,29.6,75.8,107.5,72.5,66.1,0
40.6,31.4,78.8,118.5,77.5,"NA",0
39,"NA",75,112.5,75,68.3,0
39.3,29.6,78.2,115.5,77.9,71.4,0
37.4,"NA",74.8,113,73.1,67.5,0
36.3,28.2,76,109,72.9,67.5,0
39.3,30,79.2,116,77.4,71,0
39.1,30.2,73.4,111.5,"NA",68.1,0
39.3,30.3,76.7,115.5,75.9,69.7,0
37.8,28.7,72.5,107.5,70.6,65.6,0
38,29,76.5,112.5,75.1,68.7,0
37.8,29.4,73.8,108.5,72.4,66.1,0
"NA","NA",77.8,117,73.8,69.2,0
40.6,30.3,79,117,77.4,71.8,0
39.2,29.8,75.1,112.5,73.2,67.3,0
38.8,31.3,82.9,123.5,78.1,72.8,0
36.9,30.1,72.8,109.5,71.5,65.3,0
38.7,29.7,79.9,117.5,76.6,71.3,0
40.2,30.9,80.1,120,76.5,70.9,0
"NA","NA",78,118.5,76,70.2,0
"NA","NA",80.9,118.5,80.4,74.3,0
39.1,30.5,77.4,116,75.9,69.6,0
"NA","NA",71.2,106.5,69.5,63.9,0
39.8,30.4,78,116.5,76.5,70.2,0
37.7,29.8,78,115,74.6,69.2,0
39.6,30.5,81,120,79.4,72,0
39.2,29,77.5,117.5,77.4,70.7,0
38.9,29.7,"NA",116.5,76.5,70.2,0
40.4,31.1,79.3,117.5,79,72.8,0
39.1,"NA",82,122,80.5,73.7,0
36.6,"NA",73.5,107.5,71.3,"NA",0
38.4,29.7,76.7,111,74.7,67.6,0
40.1,30.1,78.8,117.5,78.6,71.8,0
40.5,30.7,84,124,80.1,73.8,0
40.1,30,80,122,77,71.4,0
41.2,30.3,85,126.5,81,74.8,0
39.8,30.4,80.1,116,76.8,71.2,0
"NA","NA",78.7,116.5,76.2,70.3,0
39.5,30.1,77.8,115,74.9,69.1,0
39.3,30.8,76.3,111,"NA",69.3,0
39.5,30.1,80.9,118.5,76.8,70.8,0
36.7,28.8,76.6,114.5,75,69.7,0
39,29.7,79.6,122,77.6,72.3,0
37.9,28.5,76.8,113.5,74.3,66.5,0
40.6,31.7,81.2,122,"NA",72.8,0
39,"NA",79.1,113.5,74,68.3,0
38.3,30.7,74.8,111.5,72.1,"NA",0
37.9,27.9,75.6,112,75.3,69,0
36.2,27.9,75,108,70.9,65.4,0
39.4,29.7,"NA",121,77,71.2,0
37.4,29.6,80.1,121,75.7,70.9,0
"NA","NA",80.5,121,76.5,71.5,0
37.6,29,77.7,114,74.2,69.8,0
37.8,29.1,74.8,112,73.3,67.6,0
37.7,31.2,79.1,116.5,76.2,70,0
37.3,28.5,72.9,111,73.2,67,0
37.7,"NA","NA",112.5,"NA",68.9,0
39.3,30.3,77.5,116.5,75.3,70,0
39,30.5,76.2,111,70.5,65.8,0
39.6,28.5,76.6,115.5,74.2,68.4,0
37.8,30.2,75.2,114,74.4,69,0
38.2,29.9,80.5,120.5,75.7,70.6,0
38.3,29.7,76.8,113,74,69,0
37.2,28.4,74.9,109.5,72.3,65.3,0
39.8,29.7,80.7,118,78.6,73.4,0
38.2,30.5,76.2,113.5,73.9,68.3,0
37.5,29,74.6,109.5,72.8,67,0
36.4,"NA",71.5,103,70,62.6,0
39.8,30.2,84.9,125,78.4,72.3,0
37,"NA",78.2,117,75.7,69.4,0
37.4,30,75.8,114.5,73.5,67.1,0
38.5,29.3,77.8,113.5,73.9,68.1,0
39.6,30.4,78.2,118,75.7,70.1,0
39.3,"NA",85.7,125.5,80.8,74.4,0
37.8,28.7,76.6,112,74.3,68.4,0
37.4,28.8,80.7,120,78.3,73.4,0
38.2,29,72.8,"NA",70.6,65.5,0
"NA",30.1,78.1,114,73.9,68.6,0
38.4,"NA",82,125,77.6,73.4,0
37.7,30,"NA","NA","NA","NA",0
"NA","NA",78.2,117,76.4,69.8,0
40.4,30.6,80.2,115,75.6,71.4,0
39.4,31.4,79.6,117.5,75.4,68.9,0
39.6,31,80.7,119,76.8,71.1,0
38.7,30,"NA",123,78,72.9,0
39.4,30,82.6,123,74.4,70.5,0
39,30.2,77.8,116,74.7,68.9,0
39.3,29.9,74.5,110.5,71.6,67,0
36.2,29.2,74.2,109,72,66,0
39.6,30,76.7,114.5,74.7,69.8,0
39.1,29.4,77.7,116,79.7,68,0
38,28.7,75.8,115.5,76.2,70,0
38.3,30,"NA",115.5,74,69.2,0
36.8,27.3,73.3,109,70.3,65.7,0
"NA",28.7,73.4,"NA",69.7,63.8,0
36.6,28.3,73.4,108.5,70.1,64.3,0
38.1,29.2,76,113,71.3,65.8,0
39.6,30.8,82.4,121,79,73.3,0
39.6,29.9,80.2,118.5,77.4,71.7,0
39.2,29.2,77.2,115,74.5,69.3,0
39.3,29.4,75.7,113.5,73.4,68.3,0
37.1,"NA",79,114.5,75.7,70.3,0
37.3,29.4,75.3,112,72.5,67.6,0
37.8,29.5,74.6,113,71.7,66.8,0
39,28.7,"NA",112.5,75.8,68.4,0
39.4,30.4,"NA",116.5,77.3,70,0
"NA","NA",79.5,122,77.7,71.7,0
37.5,28.8,73.2,110,69.8,66.4,0
36.5,29.8,78.6,117,76.6,72.1,0
36.5,"NA",74.1,109,69.8,64,0
36.7,27.1,74.2,108.5,71,66.4,0
36.3,29.4,73,108,70,65.9,0
