Site002,Xenophyllum_rigidum,sample,cushion.open,Agrostis_foliata,Azorella_pedunculata,Baccharis_caespitosa,Castilleja_nubigena,Cerastium_floccosum,Draba_aretioides,Erigeron_ecuadoriensis,Chuqiragua_jussieui,Gentiana_sedifolia,Hypochaeris_sessiliflora,Lucilia_kunthiana,Lupinus_microphyllus,Luzula_racemosa,Myrosmodes_sp,Nototriche_hartwegii,Oreomyrrhis_andicola,Pernettya_prostrata,PoaUnk_sp,Ranunculus_peruvianus,Senecio_nivalis,Valeriana_rigida,Werneria_nubigena,Werneria_pumila
,,1,cushion,,3,,,,,,,,,,,,,4,,,,,,,,
,,2,cushion,,4,,,,,,,,,,,,,2,2,,,,,1,,
,,3,cushion,,4,,,,1,,,,,,,,,,,,,,,,,
,,4,cushion,,1,,,,,,,,,,,,,1,,,,,,,,
,,5,cushion,,12,,,,,,,,,,,,,,3,,,,,,,
,,6,cushion,,3,,,,,,,,,1,,,,,1,,,,,,,
,,7,cushion,,2,,,,,,,,,1,,,,1,,,,,,,,
,,8,cushion,,4,,,,,,,,,,,,,1,2,1,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,,,,2,,,,,,,,,,,,,,,
,,11,cushion,,2,,,,,,,,,,,,,1,,,,,,,,
,,12,cushion,,4,,1,,,,,,,,,,,,,,,,,,,
,,13,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,14,cushion,,3,,,,,,,,,,,,,,,,,,,1,,
,,15,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,16,cushion,,,,,,,,,,,,,,,1,,,,,,2,,
,,17,cushion,,,,,,,,,,,,,,,,1,,,,,,,
,,18,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,19,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,20,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,21,cushion,,,,,,,,,,,,,,,1,,,,,,,,
,,22,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,23,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,24,cushion,,3,,,,,,,,,,,,,,,,,,,,,
,,25,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,27,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,28,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,29,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,30,cushion,,6,,,,,,,,,,,,,,,,,,,,,
,,31,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,32,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,33,cushion,,4,,,,,,,,,,,,,,,,,,,,,
,,34,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,35,cushion,,,,,,,,,,,,,,,,1,,,,,,,
,,36,cushion,,,,,,,,,,,,,,,,1,,,,,,,
,,37,cushion,,,,1,,,,1,,,,,,,,3,,,,,,1,
,,38,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,39,cushion,,5,,,,,,,,,,,,,,,,,,,,,
,,40,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,41,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,42,cushion,,,,,,,,,,,,,,,2,,,,,,,,
,,43,cushion,,1,,,,,,,,,,,,,,,,,,,,,
,,44,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,45,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,46,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,47,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,48,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,49,cushion,,,,,,,,,,,,,,,,,,,,,,1,
,,50,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,51,cushion,,4,,,,,,,,,,,,,1,,,,,,3,,
,,52,cushion,,7,,,,,,,,,,,,,3,1,,,,,1,,
,,53,cushion,,1,,,,,,,,,,,,,,,,,,,,,
,,54,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,55,cushion,,,,,,,,,,,,,,,,3,,,,,,,
,,56,cushion,,1,,,,,,,,,,,,,,,,,,,,,
,,57,cushion,,,,,,,,,,,,,,,,7,,,,,,,
,,58,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,59,cushion,,,,,,,,,,,,,,,1,,,,,,,,
,,60,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,61,cushion,,1,,,,,,,,,,,,,3,,,,,,1,,
,,62,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,63,cushion,,3,,,,,,,,,,,,,,,,,,,,,
,,64,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,65,cushion,,,,,,,,,,,,,,,,,,,,,,,
,,66,cushion,,2,,,,,,,,,,,,,1,,,,,,1,,
,,67,cushion,,,,,,,,,,,,,,,1,,,,,,,,
,,68,cushion,,4,,,,,,,,,,,,,,,1,,,,,,
,,69,cushion,,1,,,,,,,,,,,,,,,,,,,,,
,,70,cushion,,1,,,,,,,,,,,,,,,,,,,,,
,,71,cushion,,4,,,,,,,,,,1,,,,5,,,,,,,
