Site013,Laretia_acaulis,sample,cushion.open,Adesmia_sp2,Adesmia_sp3,Adesmia_sp4,Anarthrophyllum_gayanum,Barneoudia_major,Berberis_empetrifolia,Bromus_catharticus,Bromus_setifolius,Calandrinia_caespitosa,Chaetanthera_euphrasioides,Chaetanthera_pusilla,Chuquiraga_oppositifolia,Erigeron_andicola,Euphorbia_collina,Haplopappus_scrobiculatus,Hordeum_comosum,Montiopsis_gayana,Nassauvia_axillaris,Nassauvia_uniflora,Nastanthus_agglomeratus,Oxalis_squamata,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Polygala_salasiana,Quinchamalium_chilense,Rhodophiala_uniflora,Senecio_bustillosianus,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum
,,1,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,
,,2,cushion,1,,1,,1,,2,,2,,,,,,,1,,,3,,,,,,24,1,2,,,,2,
,,3,cushion,,,1,,1,,1,,,,,2,,1,,2,,,,,,,,,6,,,,,1,,
,,4,cushion,,,,,,,,8,,,,,3,,,,,,1,,,,,,,,,1,,,,
,,5,cushion,1,1,,,,,,,,,,2,,,,3,,,,,,,,,3,1,,,,1,,
,,6,cushion,,,,,,,,5,,,,,,,,,,,1,,,,,,,1,,,,,1,
,,7,cushion,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,2,,
,,8,cushion,,,,,1,,,6,1,,,4,5,2,,2,,1,,,,,,,5,,,,,1,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5
,,10,cushion,,,,,,,,4,,,,,,3,,,,,3,,,,,,,,,,,1,,
,,11,cushion,,,,,1,,,5,,,,,,,,,,1,4,,,,6,,3,1,,2,,,3,
,,12,cushion,,,,,,,,1,,,,,,,,,,,,,,,12,,1,,,,,1,,
,,13,cushion,,,,,,,,7,,,,,,,,1,,,,,1,1,,,,1,,,,1,,
,,14,cushion,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,2,
,,15,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,16,cushion,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,17,cushion,,,,,,,,8,,,,1,,,,,,,,,,,,,8,,,,,1,,
,,18,cushion,,,,,,,,9,,,,,,,,,,,3,,,,3,,,,,,,1,,
,,19,cushion,1,,,,,,,,,,,,,,,,,,,,,,4,,4,,,2,,1,,
,,20,cushion,,1,,,,3,1,,,,,,,3,,1,,,3,,,,19,,5,,2,,,2,1,
,,21,cushion,,,,,,,,6,,,,,1,1,2,,,,,,,,,,,,1,,,1,,
,,22,cushion,,,,,3,,,,,,,,,1,,1,,,,,,,,,5,1,,,,,,
,,23,cushion,1,1,,,4,3,,6,1,,,2,,,2,2,,,1,,,,9,,31,2,,1,,1,3,
,,24,cushion,,,,,,,1,4,,,,1,,1,,1,,,,,,,,,2,1,,,,2,2,
,,25,cushion,,,,,,2,,11,,,,3,,2,,3,,,1,,,,14,,7,1,3,3,,3,1,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,,,,,,
,,27,cushion,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,
,,28,cushion,,,,,,,,,,,,,,1,,2,,,1,,,,,,,1,,,,,,
,,29,cushion,,,,,,,,6,2,,,,,,1,,,,2,,,,,,,1,,,,,,
