Site015,Oreopolus_glacialis,sample,cushion/open,Acaena_pinnatifida,Acaena_splendens,Adesmia_sp1,Adesmia_sp,Bromus_setifolius,Euphorbia_collina,Juncus_sp,Mulinum_spinosum,Olsynium_frigidum,Perezia_recurvata,Perezia_sp,Poa_sp,Senecio_franciscanus,Senecio_sp,Sisyrinchium_arenarium,Tarasa_humilis,Viola_cotyledon,PoaUnk2_sp
,,1,cushion,,,,,,,,,,,,,,,,,,
,,2,cushion,,,,,,,,,,,,,,,,,,
,,3,cushion,,,,1,,,,,,,,,,,,,,
,,4,cushion,,,,2,,,,,,,,,,,,,,
,,5,cushion,,1,,,1,,,,,,,,,,,,,
,,6,cushion,,,,1,4,,,,,,,,,,,,,
,,7,cushion,,,,,2,,,,,,,,,1,1,,,
,,8,cushion,,,,,,,,,,,,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,
,,10,cushion,,1,,,,,,,,,,,,1,,,,
,,11,cushion,,,,,6,,,,,,,,,,,,,
,,12,cushion,,1,,,,,,,,,,,,,,,,
,,13,cushion,,,,,,,,,,,,,,,,,,
,,14,cushion,,,,,,,,,,,,,,,,,,
,,15,cushion,,,,,,,,,,,,,,,,,,
,,16,cushion,,,,1,,,,,,,,,,,,,,
,,17,cushion,,,,,1,,,,,,,,,,,,2,
,,18,cushion,,,,,3,,,,,,,,,,,,,
,,19,cushion,,2,,,5,,,,,,,,,,,,,
,,20,cushion,,,,,9,,,,,,,,,,,,,
,,21,cushion,,,,,1,,,,,,,,,,,,,
,,22,cushion,,1,,1,2,,,,,,,,,5,,,,
,,23,cushion,,1,,1,2,,,,,,,,,,,,,
,,24,cushion,,,,,4,,,,,,,,,,,,,
,,25,cushion,,1,,,2,,,,,,,,,,,,,
,,26,cushion,,1,,,1,1,,,,,,,,,,,,
,,27,cushion,,,,,2,,,,,,,,,,,,,
,,28,cushion,,,,,2,,,,,,,,,,,,,
,,29,cushion,,,,,1,1,,,,,,,,1,,,,
,,30,cushion,,,,,3,,,,,,,,,,,,,
,,31,cushion,,3,,,1,,,,,,,,,,,,,
,,32,cushion,,,,,1,2,,,,,,,,,,,,
,,33,cushion,,1,,,3,,,,,,,,,,,,,
,,34,cushion,,,,,12,,,,,,,,,,,,,
,,35,cushion,,,,,11,,,,,,,,,,,,,
,,36,cushion,,,,,5,1,,,,,,,,,1,,,
,,37,cushion,,,,,4,,,,,,,,,,,,,
,,38,cushion,,,,,,,,,,,,,,6,,,,
