Site018,Oreopolus_glacialis,sample,cushion.open,Acaena_macrocephala,Acaena_pinnatifida,Anemone_multifida,Armeria_maritima,Azorella_monantha,Berberis_empetrifolia,Calandrinia_gayana,Carex_aphylla,Carex_caduca,Cerastium_arvense,Chuquiraga_avellanae,Discaria_nana,Draba_gilliesii,Erigeron_sp,Gamocarpa_selliana,Gaultheria_pumila,Geranium_sessiliflorum,Hordeum_comosum,Hypochaeris_tenuifolia,Leucheria_millefolium,Luzula_chilensis,Montiopsis_gayana,Mulinum_leptacanthum,Nastanthus_caespitosum,Plantago_barbata,Polygala_salasiana,Senecio_pachyphyllos,Senecio_portalesianus,Sisyrinchium_patagonicum,Trisetum_barbinode,Tristagma_nivale,Viola_cotyledon
,,1,cushion,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
,,2,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,3,cushion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,cushion,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,5,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,6,cushion,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,7,cushion,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
,,9,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,11,cushion,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,12,cushion,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,13,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,14,cushion,,,,2,,,,,,,,,2,,,,,,,,,,,,,3,,2,,,,
,,15,cushion,,2,,4,,,,,,,,,2,,,,,2,,,,1,,,,,,,,1,,
,,16,cushion,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,
,,17,cushion,1,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,18,cushion,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,,19,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,20,cushion,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
,,21,cushion,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,cushion,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
,,23,cushion,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,1,3,
,,24,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,
,,26,cushion,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,
,,27,cushion,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
,,28,cushion,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,
,,29,cushion,,,,13,,,,,,,,,1,,,,,,,,,,2,,,,,1,,,,
,,30,cushion,,,1,2,1,,,,,,,,,,,,,,3,,,,3,,,,,,,,,
,,31,cushion,2,,2,10,,,,,,,,,1,,,,,,,,,,3,,,,,1,,,,
,,32,cushion,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,2,1,,
,,33,cushion,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,1
,,34,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,15,,17,,,,
,,35,cushion,,,1,,,,,,,,,,2,,,,,,,,,,,,,3,,3,,,,
,,36,cushion,,,2,,,,,,,,,,,,,,,,,,,,3,,1,,,2,,,,1
,,37,cushion,1,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,
,,38,cushion,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,9,,,,10
,,39,cushion,1,,1,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,
,,40,cushion,3,,,18,,,,,,,,,2,,,,1,,,,,,2,,,,,11,,1,,6
,,41,cushion,4,,4,2,,,,,,,,,1,,2,,,,,,,2,3,,,,,3,,,,3
,,42,cushion,5,,1,,,,,,,,,,1,,,,,,,,,4,,,,,,7,,,,
,,43,cushion,3,6,2,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,2,
,,44,cushion,,3,,,,,,,,,,,1,,,12,8,2,,,,,2,,,,,,1,,5,
,,45,cushion,,7,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,2,2,
,,46,cushion,6,,8,35,,,,,,,,,8,,,,,,,,,1,2,,,,,13,,,,2
,,47,cushion,2,,,4,,,,,,,,,,,1,,,,,,,1,3,,,,,7,,,,9
,,48,cushion,7,,,18,,,,,,,,,3,,2,,3,,,,,2,,,,,,14,,,,
,,49,cushion,,,,,,,,,,,,,,,,9,8,,2,,,,,,,,,,2,,,
,,50,cushion,25,,,37,,,,,,,,,1,,,,4,1,,,,6,4,,,,,24,,1,1,5
,,51,cushion,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
,,52,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,53,cushion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,cushion,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,55,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,56,cushion,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,57,cushion,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,58,cushion,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
,,59,cushion,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,60,cushion,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,61,cushion,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,62,cushion,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,63,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,64,cushion,,,,2,,,,,,,,,2,,,,,,,,,,,,,3,,2,,,,
,,65,cushion,,2,,4,,,,,,,,,2,,,,,2,,,,1,,,,,,,,1,,
,,66,cushion,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,
,,67,cushion,1,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,68,cushion,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,,69,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,70,cushion,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
,,71,cushion,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,72,cushion,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
,,73,cushion,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,1,3,
,,74,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,
,,76,cushion,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,
,,77,cushion,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
,,78,cushion,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,
,,79,cushion,,,,13,,,,,,,,,1,,,,,,,,,,2,,,,,1,,,,
,,80,cushion,,,1,2,1,,,,,,,,,,,,,,3,,,,3,,,,,,,,,
,,81,cushion,2,,2,10,,,,,,,,,1,,,,,,,,,,3,,,,,1,,,,
,,82,cushion,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,2,1,,
,,83,cushion,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1
,,84,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,15,,17,,,,
,,85,cushion,,,1,,,,,,,,,,2,,,,,,,,,,,,,3,,3,,,,
,,86,cushion,,,2,,,,,,,,,,,,,,,,,,,,3,,1,,,2,,,,1
,,87,cushion,1,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,
,,88,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,10
,,89,cushion,1,,1,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,
,,90,cushion,3,,,18,,,,,,,,,2,,,,1,,,,,,2,,,,,11,,1,,6
,,91,cushion,4,,4,2,,,,,,,,,1,,2,,,,,,,2,3,,,,,3,,,,3
,,92,cushion,5,,1,,,,,,,,,,1,,,,,,,,,4,,,,,,7,,,,
,,93,cushion,3,6,2,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,2,
,,94,cushion,,3,,,,,,,,,,,1,,,12,8,2,,,,,2,,,,,,1,,5,
,,95,cushion,,7,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,2,2,
,,96,cushion,6,,8,35,,,,,,,,,8,,,,,,,1,,1,2,,,,,13,,,,2
,,97,cushion,2,,,4,,,,,,,,,,,1,,,,,,,1,3,,,,,7,,,,9
,,98,cushion,7,,,18,,,,,,,,,3,,2,,3,,,,,2,,,,,,14,,,,
,,99,cushion,,,,,,,,,,,,,,,,9,8,,2,,,,,,,,,,2,,,
,,100,cushion,25,,,37,,,,,,,,,1,,,,4,1,,1,,6,4,,,,,24,,1,1,5
,,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
