Site019,Discaria_nana,sample,cushion.open,Acaena_macrocephala,Acaena_pinnatifida,Anemone_multifida,Armeria_maritima,Azorella_monantha,Berberis_empetrifolia,Calandrinia_gayana,Carex_aphylla,Carex_caduca,Cerastium_arvense,Chuquiraga_avellanae,Draba_gilliesii,Erigeron_sp,Gamocarpa_selliana,Gaultheria_pumila,Geranium_sessiliflorum,Hordeum_comosum,Hypochaeris_tenuifolia,Leucheria_millefolium,Luzula_chilensis,Montiopsis_gayana,Mulinum_leptacanthum,Nastanthus_caespitosum,Oreopolus_glacialis,Plantago_barbata,Polygala_salasiana,Senecio_pachyphyllos,Senecio_portalesianus,Sisyrinchium_patagonicum,Trisetum_barbinode,Tristagma_nivale,Viola_cotyledon
,,1,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,cushion,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,3,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,cushion,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,
,,11,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,cushion,,,,,,,,,,,,,,,,1,2,,,,,,,,,4,,,1,,,
,,13,cushion,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
,,14,cushion,1,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,15,cushion,,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,1,,,
,,16,cushion,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,
,,17,cushion,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,
,,18,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,19,cushion,,,2,,,,,,,1,,,3,,,,,,,,,,,,,,,2,,,,
,,20,cushion,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,
,,21,cushion,,,,,,,,,,10,,,,,,,1,,,,,,,,,,,,,,,
,,22,cushion,,1,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
,,23,cushion,4,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,
,,24,cushion,4,1,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,
,,25,cushion,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,3,,
,,26,cushion,,,,2,,,,,,,,,,,,,2,2,,,,,,,,,,3,,,1,
