Site031,Silene_acaulis,sample,cushion.open,Arenaria_obtusifolia,Artemisia_scopulorum,Aster_alpigenus,Bupleurum_americanum,Carex_phaeocephala,Castilleja_pallescens,Cerastium_arvense,Douglasia_montana,Draba_paysonii,Draba_praealta,Erigeron_caespitosum,Erigeron_rydbergii,Eritrichium_nanum,Festuca_ovina,Gentiana_algida,Geum_rossii,Koeleria_crassipes,Lupinus_argenteus,Luzula_spicata,Phlox_pulvinata,Poa_alpina,Polemonium_viscosum,Polygonum_bistortioides,Potentilla_diversifolia,Sedum_lanceolatum,Senecio_canus,Smelowskia_calycina,Trifolium_nanum
,,1,cushion,,16,4,,12,,,,,,,2,,,,6,,,,,,,5,1,,,,
,,2,cushion,,14,1,,19,,,,,,,4,,,,10,,,,,,,6,2,,,,
,,3,cushion,,5,,,16,3,,,,,,2,,,,5,,,,1,,,4,,,,,
,,4,cushion,,16,,,17,,,,,,1,,,,7,9,,,,2,,,11,,,,,
,,5,cushion,1,10,,,21,,,,,,1,,,,,6,,,,,,,6,,,,,
,,6,cushion,1,7,,,20,3,,,,,,,,,,5,,,,,2,,4,,1,,,
,,7,cushion,7,15,,,8,,,,,,,4,,,,12,,,,,,,5,,1,,,
,,8,cushion,,6,,,5,3,,,,,,6,,,,10,,,,2,,,5,,1,,1,
,,9,cushion,3,19,,,18,5,,,1,,,13,,,,9,,,,,,,,4,1,,,3
,,10,cushion,3,21,,,10,,,,,,,2,,,1,5,,,,,,,,1,6,,,4
,,11,cushion,1,,,,12,,,,,,,1,,,,6,,3,,,,,,,,,,
,,12,cushion,,7,1,,22,,,,,,,1,,,,11,,2,,1,,,,1,,,,
,,13,cushion,2,9,,,18,,,,,,,,,,,7,,3,,3,,,,,3,,3,
,,14,cushion,3,12,,,7,,,,,,,,,6,,13,,,,,,,3,,2,,,
,,15,cushion,3,20,,,16,,,,,,,3,,5,,17,,2,,,,,5,,,,,
,,16,cushion,1,15,,,7,,,,,,,,,2,,5,,2,,2,,,2,,2,,,1
,,17,cushion,2,18,,,9,,,,,,,2,,2,,2,,2,,3,,,2,,1,,,
,,18,cushion,,6,,,7,,,,1,,,1,,10,,6,,5,,4,,,6,,2,,,5
,,19,cushion,6,21,,6,14,,,,,,,,,11,,32,,2,,,,,5,,,,,
,,20,cushion,4,3,,1,13,,,,,,,1,,3,,6,,,,,,3,2,7,,2,,
,,21,cushion,,,,2,2,,,,,,,,,2,,8,,,,1,,,2,,,2,,
,,22,cushion,,11,,8,11,,,,,,,,,5,,13,,,,,,,2,3,,,,
,,23,cushion,3,3,,,3,,,,,,,1,,9,,17,,,,1,,,4,6,,,,
,,24,cushion,5,8,,,4,,,,,,,,,7,,10,,,,3,,,2,4,,,,
,,25,cushion,1,3,,7,5,,,,,,,,,9,,6,,,,,,,5,1,,,,3
,,26,cushion,,4,,3,12,,,,,,,,,5,,20,,,,1,,,3,1,2,,,2
,,27,cushion,,12,,5,12,,,,2,,,,,10,,17,,1,,,,,6,1,,,,
,,28,cushion,,2,,1,6,,,,,,,2,,10,,5,,1,,2,,,1,,,,1,
,,29,cushion,3,2,,,7,,,,,,,,1,11,,10,1,1,,1,,,3,,1,,,
,,30,cushion,4,7,,,8,,,,,,,,,24,,9,,,3,3,,,,,,,,
,,31,cushion,1,4,,,18,,,,,,,,1,2,,4,,,,3,,,,1,2,,,
,,32,cushion,3,,,,,,,,,,,1,1,10,,7,,,,,,,,,1,,,
,,33,cushion,,,,,5,,,,,,,1,,10,,5,,,,5,,,1,3,1,,3,
