Site032,Trifolium_nanum,sample,cushion.open,Arenaria_obtusifolia,Artemisia_scopulorum,Carex_phaeocephala,Castilleja_pallescens,Cerastium_beeringianum,Douglasia_montana,Draba_paysonii,Draba_praealta,Erigeron_rydbergii,Eritrichium_nanum,Festuca_ovina,Geum_rossii,Luzula_spicata,Myosotis_sylvatica,Phlox_pulvinata,Polygonum_bistortioides,Potentilla_concinna,Potentilla_diversifolia,Sedum_lanceolatum,Silene_acaulis,Smelowskia_calycina
,,1,cushion,,,19,,,,,,4,,,6,,,,,,,,2,
,,2,cushion,,21,17,,,1,,,,1,7,7,3,,1,5,,,,,
,,3,cushion,1,,18,,,,,,16,,,11,,,3,,,,,,
,,4,cushion,5,,20,,,,,1,1,,10,20,,,4,,,,,,2
,,5,cushion,2,,5,,,,,,,,10,27,,,5,,,3,1,,
,,6,cushion,,,12,,,,,,,,5,5,7,,,4,,1,,,
,,7,cushion,1,,17,,,,,,,,5,21,,,2,3,,3,,,
,,8,cushion,,13,13,,,,1,,,,14,15,2,,,5,,2,,,
,,9,cushion,1,11,16,,,,,,5,,3,17,,,,2,,5,1,,
,,10,cushion,1,6,,,,,,,,2,11,2,2,,3,,,,,,
,,11,cushion,1,,,,,,,,,3,6,7,3,,1,,,,,,8
,,12,cushion,6,5,,,,,,,2,,6,6,,,2,,,2,,,
,,13,cushion,3,3,10,,,,,,,,8,11,,,,,,,,2,1
,,14,cushion,1,3,17,,,,,,,,,13,,,,,,,,,
,,15,cushion,,,4,,,,,,6,3,,10,,,1,,,,,,3
,,16,cushion,1,,10,,,,,,8,2,7,4,,,5,,,,,1,
,,17,cushion,3,,1,,,,,,,,2,28,,,,,,,,,14
,,18,cushion,,,9,,,,,,,2,,12,,,1,,,,,1,5
,,19,cushion,,,11,,,,,,,3,,13,,,2,,,,,1,6
,,20,cushion,,,4,,,,,,,2,,11,,,,4,1,5,,,15
,,21,cushion,2,7,6,,,,,,,,,12,,,2,1,,,,,5
,,22,cushion,4,17,4,,,,,,1,3,,15,,,3,1,,,,,9
,,23,cushion,1,25,12,2,,,,,2,,,16,,3,,2,,,,,8
,,24,cushion,,8,12,,,,,,,,,11,,,,3,,3,,,10
,,25,cushion,,10,6,,,,,,,1,,4,,,1,1,,3,,,
,,26,cushion,2,,19,,1,,,,7,4,,11,,5,,,,,,,7
,,27,cushion,,,20,,,,,,5,,2,19,,,1,,,2,,,14
,,28,cushion,1,10,19,,,,,,7,1,6,11,,3,1,,,,,,10
,,1,open,1,1,12,,,,1,,3,,,4,,,,,,,,,
,,2,open,3,8,10,,,,,,,,2,14,,,,,,2,,,
,,3,open,1,,18,,,,,,3,,,10,2,,,,,,,,
,,4,open,4,,5,,,,,,,,,17,,,1,,,,,,
,,5,open,3,,,,,,,,,,1,16,3,,1,,,,,,
,,6,open,5,,3,,,,,,,,,10,1,,,5,,1,,,
,,7,open,,,8,,,,,,,,1,15,1,,,,,,,,6
,,8,open,,9,2,,,,,,,,3,12,,,,2,,,,,
,,9,open,1,8,,,,,,,,,4,20,,,1,,,,4,,
,,10,open,,2,,,,,,,3,2,,5,6,,,,,,,,
,,11,open,1,,,,,,,,,,,18,,,,,,,,,
,,12,open,2,1,,,,,,,,,,15,,,,,,,,,
,,13,open,,,4,,,,,,,,,11,,,,,,,,,
,,14,open,2,2,,,,,,,6,,,12,,,,,,,,,
,,15,open,3,,5,,,1,,,12,,,6,1,,,,,,,,
,,16,open,1,,2,,,,,,3,,1,5,,,,,,,,,
,,17,open,5,,,,,,,,,,,8,,,,,,,,,
,,18,open,2,10,,,,,,,1,,,9,,,,,,,,,
,,19,open,2,1,9,,,,,,4,,,6,,,1,,,,,,1
,,20,open,,,5,,,,,,,1,,5,,,,,,,,,
,,21,open,1,2,3,,,,,,,,,8,,,,2,,,,,2
,,22,open,2,4,,,,,,,1,,,10,,,1,,,,,,
,,23,open,1,20,10,,,,,,4,,,10,,,1,1,,,,,
,,24,open,1,15,5,,,,,,,,,15,,,,5,,,,,
,,25,open,,3,12,,,,,,,,,3,,,1,,,1,,,1
,,26,open,,,8,,,,,,3,,,5,,,,,,2,,,3
,,27,open,1,,10,,,,,,,,,9,,1,3,,,1,,,7
,,28,open,2,8,1,,3,,,,,2,10,,3,,,,,,3,10,
