Site034,Eriogonum_ovalifolium,sample,cushion.open,Achillea_millefolium,Agropyron_spicatum,Arabis_holboellii,Arenaria_aculeata,Artemisia_ludoviciana,Bromus_commutatus,Bromus_tectorum,Centaurea_maculosa,Chryptantha_celosioides,Chrysopsis_villosa,Douglasia_montana,Eragrostis_pectinacea,Erigeron_compositus,Euphorbia_esula,Filago_arvensis,Koeleria_cristata,Phlox_kelseyi,Plantago_major,Plantago_patagonica,Poa_sandbergii,Potentilla_arguta,Senecio_canus,Vaccaria_segetalis,Veronica_verna
,,1,cushion,,,,,,,15,,,2,,,,3,,,,,,14,,,,
,,2,cushion,,,1,,,,3,,,3,,,1,,,,,,,,,2,,
,,3,cushion,,,,,,,10,,,4,,3,1,,,4,,,,,,,,
,,4,cushion,1,,,,,,,,,8,,,10,,,,7,,,5,,,,
,,5,cushion,,,,,,,4,1,,1,,2,,,,,,,,9,,,,
,,6,cushion,,,,,,4,4,,,8,,8,,,,3,,,,2,,,,
,,7,cushion,,,,,,,14,,8,7,,7,,,,6,,,,2,,,,
,,8,cushion,,,2,,,,12,,8,2,,,,,,4,,,,,,,,
,,9,cushion,,,,,,,14,,1,6,,4,1,,,1,1,,,,,6,,
,,10,cushion,,,,,,,14,,,,,,,2,,1,2,,,,,,,
,,11,cushion,,,,,,,4,2,,,,,,2,,9,,,,,,,,
,,12,cushion,,,,,,,,,,1,,,,,,,,,,12,,,,
,,13,cushion,,,,,,,,,1,,,,1,,,,,,1,15,1,,,
,,14,cushion,,,,,,3,,,1,,3,,1,,,,,,2,9,,,,
,,15,cushion,,,,,,,,,,,2,,2,,,,,,,6,,,,
,,16,cushion,,,,,,,,,,,2,,,,,,3,,,8,,,,
,,17,cushion,1,,,,,,,,7,,,,4,,,,,,,11,,,,
,,18,cushion,,,,,3,2,,,,,,,,,,3,,,3,3,,,,2
,,19,cushion,,,,,,,,,,,,,,,,6,5,3,1,5,1,,,
,,20,cushion,,,,,,2,,,,3,,,,,,3,,,,14,,,,
,,21,cushion,,5,,,,,,,,2,,,2,,,,,,,3,,,,
,,22,cushion,,3,,,,,3,,,1,,3,,,,,,,1,5,,,,
,,23,cushion,,,,,,7,12,,,,,,,,,,,,,5,,,,
,,24,cushion,,5,,,,5,10,,,,,,,,,,,,,8,,,,
,,25,cushion,,,,,,5,11,,,,,2,2,,,,,,1,4,,,,
,,26,cushion,,2,,,,2,7,,,,,,12,,,,,,,3,,,1,2
,,27,cushion,,,,,1,,6,,,,,6,,,,,,,,5,,,,
,,28,cushion,,,,1,,,,,1,,,,,,,,15,,,,,,,
,,29,cushion,,,,,,2,,,,4,,,,,,,,7,2,20,,,,2
,,30,cushion,,,,,,,,,,,,,,,2,,,2,,10,,,,
,,1,open,,,,,,,12,,,2,,,,1,,,,,,,,,,
,,2,open,,,,,,,2,,,1,,,1,,,,,,,,,,,
,,3,open,,,,,,,6,,,2,,,1,,,,,,,,,,,
,,4,open,,,,,,,3,,,3,,,,,,,,,,,,,,
,,5,open,,,,,,,3,,,3,,,,,,,,,,3,,,,
,,6,open,,,,,,,,,,1,,5,4,,,,,,,2,,,,
,,7,open,,,,,,,5,,3,,,8,1,,,1,,,,1,,,,
,,8,open,,,,,,,14,,,7,,,,,,,,,,,,,,
,,9,open,,,1,,,,8,,,4,,6,,,,,,,,,,,,
,,10,open,,,,,,,2,,,1,,,,1,,,,,,,,,,
,,11,open,,,,,,,3,1,,,,,,1,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,1,7,,,,
,,13,open,,,,,,,,,,,,,,,,,,,5,10,,,,
,,14,open,,,,,,,,,,1,,,,,,,,,1,5,,,,
,,15,open,,,,,,,,,,,,,,,,,,,1,5,,,,
,,16,open,,,,1,,,,,,,,,,,,,,,,4,,,,
,,17,open,,,,,,,,,,,,4,,,,,,,2,3,,,,
,,18,open,,,,,,3,,,,,,,,,,1,,,5,5,,,,2
,,19,open,,,,,,,,,,,,,,,,2,,,5,11,1,,,
,,20,open,,,,,,,,,,1,,,,,,,,,2,8,,,,
,,21,open,,,,,,,,,,2,,,1,,,,,,,5,,,,
,,22,open,,1,,,,,,,,3,,2,,,,,,,3,2,,,,
,,23,open,,,,,,9,2,,,,,,,,,,,,,1,,,,
,,24,open,,,,,,3,8,,,,,,,,,,,,,1,,,,
,,25,open,,,,,,1,5,,,,,1,2,,,,,,,4,,,,
,,26,open,,,,,,5,1,,,,,4,5,,,,,,,,,,,2
,,27,open,,,,,,4,3,,,,,2,,,,,,,,4,,,,
,,28,open,,,,1,,,,,1,,,,2,,,,,,,,,,,
,,29,open,,,,,,,,,,8,,,,,,,,,2,10,,,,4
,,30,open,,,,,,,,,,2,,,3,,,,,,,2,,,,
