Site039,Geum_rossii,sample,cushion.open,Agrostis_sp,Arabis_glabra,Carex_sp3,Cerastium_beeringianum,Elymus_sp1,Festuca_ovina,Agropyron_scribneri,Polemonium_viscosum,Saxifraga_sp1
,,1,cushion,,,,,,,,,
,,2,cushion,,,,,,,,,
,,3,cushion,,,,,,1,,,
,,4,cushion,,,,,,,,,
,,5,cushion,,,,2,,,,,
,,6,cushion,,,,,,,,,
,,7,cushion,,,,,,,,,
,,8,cushion,,,,,,1,2,,
,,9,cushion,,3,,,,,,1,
,,10,cushion,,5,,,,,1,,
,,11,cushion,,,,,,,,,
,,12,cushion,,2,,,,2,1,3,
,,13,cushion,,,1,,,,,3,
,,14,cushion,,,,,,1,,,
,,15,cushion,,,,,,,,,
,,16,cushion,,,,,,3,,,
,,17,cushion,,,,,,2,1,,
,,18,cushion,,,,,,,1,1,
,,19,cushion,,,,,,1,,,
,,20,cushion,,,,,,,,,
,,21,cushion,,,,,,,,,
,,22,cushion,,,,,4,,1,,
,,23,cushion,,,3,,1,,,,
,,24,cushion,,,,,,,,,
,,25,cushion,,,,,,,,,
,,26,cushion,,2,,3,,4,4,4,
,,27,cushion,,,,,,2,,2,
,,28,cushion,,,,,1,,,,
,,29,cushion,,,,1,,,,,
,,30,cushion,,,,,,2,,,
,,31,cushion,,,,,,2,1,,
,,32,cushion,,,,,,,,,
,,33,cushion,,3,,1,,5,2,1,
,,34,cushion,,,,,,,1,6,
,,35,cushion,,,,,,,,,
,,36,cushion,,,,,2,,1,,
,,37,cushion,,,,,,1,1,,
,,38,cushion,,1,,1,,1,,,
,,39,cushion,,,,,,4,2,2,
,,40,cushion,,1,,1,,,,,
,,41,cushion,,,,1,,,,,
,,42,cushion,,1,,,,1,1,1,
,,43,cushion,,1,,,,,,3,
,,44,cushion,,,,,6,5,,,
,,45,cushion,,,,,,,,,
,,46,cushion,,1,,4,1,14,2,9,
,,47,cushion,,,,,,,2,,
,,48,cushion,,1,,2,,,,,
,,49,cushion,,,,3,,3,3,3,
,,50,cushion,,,,,,2,,,
,,51,cushion,,,,,2,2,,5,
,,52,cushion,,,,,,,,,
,,53,cushion,,,,,3,1,,1,
,,54,cushion,,,,,,,,,
,,55,cushion,,,2,,,4,1,3,
,,56,cushion,,,,1,,2,8,2,
,,57,cushion,1,,,,,6,4,6,
,,58,cushion,,1,,3,,9,1,4,
,,59,cushion,1,,,,,,1,2,
,,60,cushion,1,,,,,2,,,
,,61,cushion,,,1,2,,,1,3,
