Site041,Raoulia_eximia,sample,cushion.open,Aciphylla_sp,Aciphylla_monroi,Anisotome_flexuosa,Anisotome_haastii,Brachyglottis_bellidioides,Brachyscome_sinclairii,Cardamine_bilobata,Celmisia_lyallii,Celmisia_spectabilis,Chianochloa_sp,Colobanthus_aciculatus,Dracophyllum_pronum,Dracophyllum_uniflorum,Elymus_rectisetus,Epilobium_pycnostachyium,Gaultheria_depressa,Gentiana_corymbifera,Geranium_sessiliflorum,Helichrysum_bellidioides,Hieracium_sp,Koeleria_sp,Leptinella_atrata,Leucopogon_frazeri,Lobelia_roughii,Luzula_rufa,Melicytus_alpinus,Ourisia_caespitosa,Poa_colensoi,Rumex_acetosella,Rytidosperma_setifolium,Schizeilema_trifoliatum,Viola_cunninghamii,Wahlenbergia_albomarginata
,,1,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,2,cushion,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,2,,,
,,3,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,4,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,5,cushion,,,,,,,,,,1,,9,,,,,,,,,,5,,,2,,,,,1,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,14,,,64
,,7,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,8,cushion,,1,,,,,,,,3,,,,,,2,,,,,,,,,2,,,,,12,,,116
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,10,cushion,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,3,,,
,,11,cushion,,,,,,,,,1,3,,5,,,,,,,,,,,,,1,,,,,16,,,64
,,12,cushion,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,11,,,
,,13,cushion,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,11,,,28
,,14,cushion,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,9,,,
,,15,cushion,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
,,16,cushion,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,5,,,
,,17,cushion,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,11,,,
,,18,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,
,,19,cushion,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,5,,,,,
,,20,cushion,,,,,,,,,,8,,1,,,,,,,,,,1,,,,,,4,,7,,,21
,,21,cushion,,,,,,,,,1,8,,4,,,,,,,,,,8,,,4,,,4,,20,,,58
,,22,cushion,,2,,,2,,,,4,6,,3,1,,,,,,,,1,13,,,1,,,13,,33,,,32
,,23,cushion,,,,,,,,,,1,1,1,,,,,,,,,,,,,2,,,,,1,,,13
,,24,cushion,,1,,,,,,,,4,,4,,,,,,,,,,1,,,,,1,14,,,,,16
,,25,cushion,,,,,,,,,,,,,,1,,,,,,,,5,,,2,,,4,,10,,,2
,,26,cushion,,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,1,,11,,,
,,27,cushion,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,12,,,
,,28,cushion,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,2,,7,,,56
,,29,cushion,,,,,,4,,,,,2,5,,1,,,,,,,,18,,,5,,,,,19,,,109
,,30,cushion,,,,,,,,,,2,1,1,,,,1,,,,1,1,,,,,,,,,3,,,
,,31,cushion,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,8,,,
,,32,cushion,,3,,,,,,,6,7,,3,,,,21,,,,1,,14,,,2,,,2,,14,,,37
,,33,cushion,,3,,,,,,,2,6,,4,,,,13,,,,,,,,,2,1,1,,,7,,,11
,,34,cushion,,1,,,,,,,1,,,,,,,4,,,,,10,6,,,,,,2,,3,,,14
,,35,cushion,,1,,,,,,,2,1,,1,,,,2,,,,,1,1,,,,,,,,5,,,7
,,36,cushion,1,1,,,,,,,,2,,,,,,2,,,,,,7,,,,,,3,,6,,,8
,,37,cushion,,2,,,,,,,3,5,,5,,,,,,,,,2,4,,,1,,1,9,,9,,,36
,,38,cushion,1,4,,,,22,,,1,3,,3,,,,,,,,,,9,,,,,1,4,,3,,,46
,,39,cushion,,1,,,1,7,,,,1,,4,,,,1,,,,,2,,,,,,,1,,6,,,6
,,40,cushion,,1,,,,,,,,4,,3,,,,,,,,,,14,,,,,,3,,1,,,44
,,41,cushion,,,,,,10,,,,2,,2,,,,,,,,,1,8,,,2,,,5,,5,,,11
,,42,cushion,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,5,,3,,,19
,,43,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,44,cushion,1,1,,,,,,,,2,,,,,,,,,,,1,,,,,,,2,,3,,,12
,,45,cushion,2,,,,,,,,,,,,,,,,,,,1,1,5,,,2,,,3,,4,,,2
,,46,cushion,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,7,,,17
,,47,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,9
,,48,cushion,1,,,,1,17,,,1,3,,,,1,,,,,,,,10,,,,,1,8,,13,4,,22
,,49,cushion,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,2,,,
,,50,cushion,,,,,1,,,,,,,,,,,,,,,,,,,,,,,8,,4,,,12
,,51,cushion,,,,,,,,,,3,,,,,,,,,,,,9,,,4,,,23,,7,,,
,,52,cushion,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,,4,,,
,,53,cushion,,,,,,,,,,1,,,,,,,,,,,,,,,,,,9,,2,4,,
,,54,cushion,1,,,,,1,,,,,1,,,,,,,,,,,,,,4,,,11,,2,,,
,,55,cushion,,,,,,,,,1,4,1,,,,,,1,,,,1,12,,,8,,11,18,,4,5,,72
,,56,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,
,,57,cushion,,,,,,,,,1,,,,,,,,,,,,,4,,,2,,1,8,,2,,,
,,58,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
,,60,cushion,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,3,,,
,,61,cushion,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,2,,,
