Site043,Phyllacne_colensoi,sample,cushion.open,Aciphyllum_congestum,Agrostis_muelleriana,Anisotome_imbricata,Anisotome_capillifolia,Anisotome_haastii,Brachyglottis_bellidioides,Celmisia_bondplanii,Celmisia_glandulosa,Celmisia_laricifolia,Celmisia_sessiliflora,Celmisia_viscosa,Chianochloa_sp,Chianohebe_ciliata,Colobanthus_buchannii,Dracophyllum_muscoides,Epilobium_sp,Euphrasia_sp,Gaultheria_nubicola,Gentiana_divisa,Geum_uniflorum,Haastia_sinclarii,Hebe_hectorii,Hectorella_caespitosa,Hectorella_sp,Koeleria_croizatii,Koeleria_dieffenbachii,Leptinella_goyenii,Leptinella_pectinata,Luzula_crinita,Luzula_pumilia,Marsippospermum_gracile,Myosotis_pulvinasris,Ourisia_glandulosa,Poa_colensoi,Raoulia_grandiflora,Raoulia_hectorii
,,1,cushion,,,2,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2,,5
,,2,cushion,,,3,,,6,,,,,3,,2,,3,,,10,,,,,,,,1,,,,,,,,6,,1
,,3,cushion,,9,1,,,8,,,2,,,,4,,4,,,3,,1,,,,1,2,,6,,,,,,,4,6,1
,,4,cushion,,,2,,,4,,,2,,,,5,,2,,,,,1,,,,,,2,,,,,,,9,2,,1
,,5,cushion,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,1
,,6,cushion,1,2,,,,6,,,,,,,,,4,,,5,,,,,,,,1,2,,,,,,2,1,,
,,7,cushion,3,1,3,,,4,,,2,,,3,,,6,,,3,,3,,,,,,,,,2,,,,1,2,,1
,,8,cushion,,,2,,,2,,,1,,,,3,,3,,,3,,1,,,,,,,,,,,,,,2,,
,,9,cushion,,,3,,,3,,,10,,,,,,4,,,,,1,,3,,,,2,,,,,5,,,,,
,,10,cushion,,9,4,,,4,,,24,,,,5,,3,,,10,,,,1,,2,,4,3,,12,,,,2,9,,3
,,11,cushion,,,7,,,12,,,7,,,,2,,,,,,,1,,,,,,7,,,7,,,,,4,,
,,12,cushion,,2,1,,,1,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,1,,
,,13,cushion,,,7,,,,,,,,,,2,,5,,,,,1,,,,,,4,,,,,,,2,8,,1
,,14,cushion,,,3,,,5,,,4,,,,,,,,,,,3,,1,,,,3,,,,,,,,2,,3
,,15,cushion,3,,,,,4,1,,,,,2,,,,,,10,,2,,1,,,,5,,,,,,,,5,3,
,,16,cushion,,,,,,,,,,,,,2,,3,,,,,1,,,,,,,,,,,,,,,,
,,17,cushion,,,3,,,4,,,4,,,,,,,,,,,2,,,,,,,1,,,,,,,1,,3
,,18,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,4
,,19,cushion,,,,,,10,,,6,,,,1,,,,,,,,,,,,,,,,2,,,,,2,,
,,20,cushion,,,1,,,2,,,1,,2,,,,1,,,,,,,,1,,4,,,,,,,,,4,3,
,,21,cushion,1,,1,,,4,,,2,,,,,,1,,,3,,,,,,,,,,,,,,,,2,,1
,,22,cushion,2,,1,,,5,,,2,,,,3,,1,,,,,3,,1,,1,,,,,1,,,,,2,1,2
,,23,cushion,1,,,,,3,,,3,,,1,,,2,,,3,,,,,,,,1,,,,,,,,,,
,,24,cushion,,,,,,3,,,1,,,,,,1,,,10,,2,,,,,,1,,,,,3,,,,1,1
,,25,cushion,,1,,,,7,,,1,,,,,,2,,,,,2,,2,,,1,,,,,,,,,3,,
,,26,cushion,1,,2,,,1,,,,,,,2,,1,,,5,,,,,,,2,,,,3,,,,,,1,1
,,27,cushion,,,4,,,3,,,,,,,2,1,,,,,,,,,,,,,,,3,,2,,,1,,4
,,28,cushion,,,2,1,,2,,,,,,,4,,,,,,,3,,,,,,3,,,8,,,1,,3,,4
,,29,cushion,,,2,,,2,,,2,,,,,,,,,10,,2,,3,,,,,,,,,,,4,3,,
,,30,cushion,,2,1,,1,10,,,,,17,,3,,5,,1,10,,2,,,,10,3,1,5,,,2,,,,11,1,3
,,31,cushion,,,2,,,19,,,1,,1,1,4,,10,,,,,3,,2,,7,4,5,2,,1,,,,3,9,,10
,,32,cushion,,,2,,,2,,,4,,,,2,,4,,,,,,,,,4,,4,,,1,1,,,,3,,
,,33,cushion,,,,,,1,,,,,,,1,,,,,,,,,,,,,2,,,4,,,,,2,,1
,,34,cushion,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,1,1,,,3,,,,3,2,
,,35,cushion,1,,2,,,10,,,2,,3,,10,,8,,,10,,5,,,,8,,2,,,,,,,,5,,7
,,36,cushion,,,1,,,2,,,1,,1,2,2,,2,,,,,,,,,,,2,,,,,,,4,4,,
,,37,cushion,,,,,1,1,,,,,,,,,4,,,10,,1,,,,,,,,,,,,,5,,,
,,38,cushion,,,1,,,1,,,1,,,,1,,4,,,10,,,,,,,,1,,,,,,,1,1,,
,,39,cushion,,,1,,,1,,,,,,,1,,3,,,,,,,,,,,,,,1,,,,,1,,
,,40,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1
,,41,cushion,,,,,,3,,,4,,,,,,5,,,,,1,,,,5,,1,,,,,3,,,4,1,
,,42,cushion,,,1,,,,,,1,,,,,,6,,,10,,,,,,,,1,,,,,10,,,,,
,,43,cushion,,,,,,,,,4,,,,1,,5,,,10,,1,,,,,,,,,,,,,,,,1
,,44,cushion,,,,,,,,,4,,,,,,4,,,3,,1,,,,,,,,,,,,,,,,1
,,45,cushion,,,,,,1,,,6,,,,,,3,,,6,,1,,1,,,,1,,,,,,,,,1,
,,46,cushion,,,,,,3,,,5,,,,1,,2,,,,,,,,,2,,2,,,,,,,,,,1
,,47,cushion,,,,,,,,,,,,,5,,6,,,,,,1,,,,,2,,,,,,,,,,4
,,48,cushion,,,3,,,1,,,2,,,,,,,,,,,,,,,5,,1,,,,,,,,1,,
,,49,cushion,,,1,,,,,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,
,,50,cushion,,,,,,1,,,,,2,,1,,2,,,,,,,,,,,2,,,,,,,,2,,
,,51,cushion,,,1,,,,,,,,,,2,,6,,,,,,,,,,14,,12,,,,,,,,,5
,,52,cushion,,2,,,,2,,,4,,,,,1,,,,10,,1,,,,4,2,,,,,,,,,4,2,1
,,53,cushion,,,,,,2,,,,,,,5,1,1,,,,,,,,,,,,1,,,,,,,,,4
,,54,cushion,,,,,,,,,,,1,,,,1,,,,,1,,,,1,,,,,,2,,,,2,5,
,,55,cushion,,,1,,,,,,,,,1,,,,,,6,,,,1,,,5,,,,,,,,2,3,,
,,56,cushion,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,1
,,57,cushion,,,,,,7,,,13,,,,,,8,,,10,,1,,,,4,1,,,,,,11,,,,,
,,58,cushion,,,,,,,,,2,,,,,,5,,,10,,1,,,,,,,,,,,1,,,,3,2
,,59,cushion,,,,,1,5,,1,32,1,,1,,,,,,10,,1,,4,,,2,,,,2,,,,7,14,1,
