Site044,Onobrychis_cornuta,sample,cushion.open,ApiUnk2_sp,Asperula_sp,Astragalus_sp,Bromus_sp,CaryUnk_sp,Centaurea_sp,Cerastium_sp1,Cirsium_sp,Crocus_sp,Festuca_sp2,Galium_sp,Marrubium_sp,Prunus_sp,Ranunculus_sp,Scilla_sp,ScrophUnk_sp,Senecio_sp3,Taraxacum_sp,Veronica_sp
,,1,cushion,2,,,,,,3,,,,,,,,,,,,
,,2,cushion,5,,,,,,,,,,,,,,,,,,
,,3,cushion,,1,,15,,,,,,3,,,,,,,,,
,,4,cushion,,,,,,,,,,,,,,,,,,,
,,5,cushion,2,,,,,,,,1,,,,,,,,,,
,,6,cushion,3,,,,,,,1,,,,,,,,,,,
,,7,cushion,2,,,,,,,,,,,,,,1,,,,
,,8,cushion,1,,,,,,,,,5,,,,,,,,,
,,9,cushion,,,,,,,,1,,,,,,,,,,,
,,10,cushion,,2,,25,,,,,,,,,,,,,,,
,,11,cushion,1,,,,,,1,,,,,,,,,,,,
,,12,cushion,1,1,,15,,1,,,,,,,,2,,,,,
,,13,cushion,,,,,,,,,1,,,,,2,,,,,
,,14,cushion,3,,,,,3,,,,,,,,,,,,,1
,,15,cushion,7,,,,,,,,,,,,,,,,,,
,,16,cushion,5,,,5,,,,1,,,,,,,,,,,
,,17,cushion,8,1,,5,,,,1,,,,,,,1,,,,
,,18,cushion,,,,5,,1,,,,,,,,,,2,,,
,,19,cushion,2,1,,,,,,1,,,,2,,,,,,,
,,20,cushion,,5,,,,,3,,3,,,6,,,,,,1,
,,21,cushion,1,,,,,,,,,2,,,,,,,,,1
,,22,cushion,,6,,,,,,,,,,,,,,,,,
,,23,cushion,2,,,3,,,,,,,,,,,,,,,
,,24,cushion,1,2,,3,,,,1,,,,,,,,,,,
,,25,cushion,,,,8,,5,,,,,,,,,,2,,,
,,26,cushion,,,,,,,,1,,,,10,,,,,,,
,,27,cushion,4,,,30,,,,1,,,,,,,,,,,1
,,28,cushion,1,,,25,,,,,,,,,,,,,,,
,,29,cushion,3,,,5,,,,,,8,,,,,,,,,
,,30,cushion,1,,,20,,,,1,,,,,,,,,,,
,,31,cushion,7,,,20,,,,,,,,,,,,,,,
,,32,cushion,,,,60,,,,1,,10,,1,,,,,,,
,,33,cushion,,,,15,,3,,4,1,35,,,,,,,,,
,,34,cushion,2,,,25,,,,1,,,,,,,,,,,
,,35,cushion,,,,40,,,,,1,,,,,,,,,,
,,36,cushion,3,,,1,,,,,,15,10,,,,,,,,
,,37,cushion,20,,,10,2,,5,,,2,,2,,,,,,,
,,38,cushion,3,,,25,,,,,,,15,,,,,,,,
,,39,cushion,10,,,5,,,,,1,3,,,,,,,,,
,,40,cushion,1,,,60,,,,,,,,,,,,,,,
,,41,cushion,10,,,,,,,,,8,,,,2,1,,,,
,,42,cushion,1,,,30,,,1,,,,,,10,,,,,,
,,43,cushion,15,,,50,,,,4,,20,,8,,,,,,,
,,44,cushion,2,,,50,,,,4,,5,,,,,,,,,2
,,45,cushion,5,,,25,,,,2,,,,3,,,,,,,
,,46,cushion,6,,,45,,,1,1,,,,,,,,,,,
,,47,cushion,15,,,65,,35,,,1,3,,,,,,,,,5
