Site045,Astragalus_zachlensis,sample,cushion.open,Acantholimon_sp,Alyssum_sp,ApiUnk2_sp,Bromus_sp,CaryUnk_sp,Centaurea_sp,Cerastium_sp1,Cirsium_sp,Crepis_sp1,Festuca_sp2,Galium_sp,Lactuca_sp,Leontodon_sp,Leuzea_sp,LilUnk_sp,Linaria_sp,Marrubium_sp,Prunus_sp,RanUnk_sp,ScrophUnk_sp,Senecio_sp3,Senecio_sp4,Taraxacum_sp,Tulipa_sp,Viola_sp
,,1,cushion,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,cushion,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,3,cushion,0,0,0,25,0,0,0,0,0,0,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,4,cushion,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5,cushion,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,cushion,1,0,1,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,cushion,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0
,,8,cushion,0,0,0,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
,,9,cushion,0,50,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,,10,cushion,0,55,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11,cushion,0,30,0,3,0,0,1,0,0,15,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0
,,12,cushion,0,50,1,25,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,13,cushion,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,,14,cushion,0,18,3,25,0,5,10,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0
,,15,cushion,0,60,4,55,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,16,cushion,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,,17,cushion,1,0,4,20,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,18,cushion,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0
,,19,cushion,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,30,0,0,0,0,0
,,20,cushion,0,0,3,15,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,cushion,0,90,10,15,0,0,0,0,0,0,80,0,0,1,0,5,0,0,0,0,0,0,0,0,0
,,22,cushion,0,5,1,65,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
,,23,cushion,0,0,4,50,0,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,cushion,0,60,1,60,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,,25,cushion,0,0,1,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,,26,cushion,0,5,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,,27,cushion,0,0,0,25,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,1,0
,,28,cushion,0,0,0,25,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0
,,29,cushion,0,90,6,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
,,30,cushion,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
,,31,cushion,0,0,2,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,cushion,0,120,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0
,,33,cushion,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
,,34,cushion,0,65,0,55,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0
,,35,cushion,0,45,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,36,cushion,0,50,3,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,37,cushion,0,65,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,,38,cushion,0,65,0,30,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,,39,cushion,0,65,5,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,cushion,0,45,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
,,41,cushion,0,70,5,50,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,42,cushion,0,15,1,60,0,0,0,0,0,0,35,0,0,1,0,0,6,0,0,0,0,0,6,0,0
,,43,cushion,0,20,5,5,0,0,5,0,0,15,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0
,,44,cushion,0,10,5,35,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,1,0
,,45,cushion,0,75,4,25,0,0,1,0,0,20,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
,,46,cushion,0,0,5,35,0,0,0,0,0,25,85,0,0,2,0,0,0,0,0,0,0,0,3,0,0
,,47,cushion,0,0,0,65,0,0,6,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,3
,,48,cushion,0,1,1,30,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,,49,cushion,0,0,3,60,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0
,,50,cushion,0,60,2,45,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,51,cushion,0,0,5,60,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
,,52,cushion,0,85,5,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,53,cushion,0,35,10,100,0,1,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,1,0,0
,,54,cushion,0,50,5,60,0,0,5,0,0,50,35,0,0,1,0,0,5,0,0,3,0,0,0,0,0
,,55,cushion,0,0,7,40,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,56,cushion,1,0,10,110,0,0,1,0,0,0,45,0,2,0,0,1,2,0,0,0,1,0,16,1,0
,,57,cushion,0,0,0,30,0,0,1,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,,58,cushion,0,0,1,45,0,0,0,0,0,20,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
,,59,cushion,0,38,0,50,0,3,0,0,10,65,70,0,0,0,0,0,0,0,0,1,0,0,12,0,0
,,60,cushion,0,0,15,95,0,0,0,0,0,5,0,0,1,0,1,0,20,0,0,0,0,0,0,0,0
,,1,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,2,open,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0
,,4,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5,open,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,6,open,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,open,0,0,2,10,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
,,8,open,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,open,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,,10,open,0,8,2,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,,11,open,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0
,,12,open,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
