Site050,Silene_acaulis,sample,cushion.open,Polygonum_viviparum,Saxifraga_oppositifolia,Carex_sp5,Salix_polaris
,,1,cushion,2,0,0,0
,,2,cushion,1,0,0,0
,,3,cushion,0,0,0,0
,,4,cushion,0,0,1,0
,,5,cushion,1,0,0,0
,,6,cushion,10,0,0,0
,,7,cushion,7,0,0,0
,,8,cushion,2,0,0,0
,,9,cushion,0,0,0,0
,,10,cushion,2,0,0,2
,,11,cushion,4,4,0,0
,,12,cushion,5,0,0,15
,,13,cushion,3,0,0,0
,,14,cushion,3,0,0,0
,,15,cushion,6,0,0,0
,,16,cushion,7,0,2,15
,,17,cushion,2,0,0,4
,,18,cushion,4,0,0,2
,,19,cushion,5,0,2,4
,,20,cushion,1,0,0,0
,,21,cushion,6,0,0,9
,,22,cushion,0,0,0,21
,,23,cushion,1,0,0,5
,,24,cushion,3,0,0,0
,,25,cushion,5,0,0,1
,,26,cushion,1,0,0,0
,,27,cushion,2,0,0,0
,,28,cushion,1,4,0,0
,,29,cushion,0,4,0,6
,,30,cushion,1,0,0,2
,,31,cushion,1,0,0,0
,,32,cushion,3,0,0,0
,,33,cushion,5,0,0,0
,,34,cushion,0,1,0,2
,,35,cushion,6,0,0,0
,,36,cushion,4,0,0,10
,,37,cushion,5,0,0,0
,,38,cushion,2,0,0,0
,,39,cushion,3,0,0,0
,,40,cushion,7,0,0,0
,,41,cushion,5,0,0,6
,,42,cushion,6,1,0,0
,,43,cushion,1,0,0,0
,,44,cushion,4,2,0,3
,,45,cushion,1,0,0,0
,,46,cushion,0,0,0,0
,,47,cushion,9,1,0,0
,,48,cushion,5,0,0,7
,,49,cushion,14,3,0,15
,,50,cushion,7,0,0,4
,,51,cushion,1,2,0,0
,,52,cushion,0,0,0,0
,,53,cushion,5,0,0,1
,,54,cushion,6,0,0,3
,,55,cushion,2,3,0,1
,,56,cushion,0,4,0,0
,,57,cushion,0,5,0,0
,,58,cushion,0,0,0,0
,,59,cushion,4,0,0,25
,,60,cushion,0,1,0,0
,,61,cushion,2,0,0,0
,,62,cushion,1,1,0,0
,,63,cushion,,,,
,,64,cushion,5,3,0,7
,,65,cushion,5,0,0,0
,,66,cushion,3,4,0,0
,,67,cushion,2,0,0,0
,,68,cushion,3,0,0,0
,,69,cushion,2,0,0,0
,,70,cushion,1,0,0,0
,,71,cushion,2,0,0,1
,,72,cushion,3,0,0,4
,,73,cushion,12,0,0,3
,,74,cushion,1,1,0,0
,,1,open,2,0,0,0
,,2,open,5,1,0,0
,,3,open,2,0,0,0
,,4,open,0,0,0,0
,,5,open,0,0,0,0
,,6,open,9,5,0,6
,,7,open,6,0,0,0
,,8,open,0,0,0,0
,,9,open,0,0,0,0
,,10,open,1,0,0,0
,,11,open,3,0,0,3
,,12,open,2,3,0,5
,,13,open,3,4,0,0
,,14,open,3,7,0,2
,,15,open,2,1,0,0
,,16,open,8,3,0,0
,,17,open,6,4,0,0
,,18,open,1,3,0,8
,,19,open,7,1,0,6
,,20,open,4,5,0,0
,,21,open,14,5,0,5
,,22,open,5,6,0,2
,,23,open,0,2,0,0
,,24,open,5,5,0,0
,,25,open,4,4,0,0
,,26,open,2,0,0,3
,,27,open,0,0,0,1
,,28,open,1,0,0,0
,,29,open,0,0,0,0
,,30,open,0,0,0,0
,,31,open,0,1,0,0
,,32,open,1,1,0,0
,,33,open,4,4,0,0
,,34,open,0,4,0,0
,,35,open,5,4,2,0
,,36,open,5,4,0,0
,,37,open,1,2,0,0
,,38,open,0,0,0,0
,,39,open,1,1,0,0
,,40,open,8,14,0,7
,,41,open,1,3,0,3
,,42,open,4,10,0,3
,,43,open,3,0,0,0
,,44,open,5,1,0,0
,,45,open,0,0,0,0
,,46,open,4,0,0,2
,,47,open,0,4,0,0
,,48,open,3,3,0,1
,,49,open,3,7,0,1
,,50,open,11,3,0,0
,,51,open,4,1,0,1
,,52,open,0,2,0,0
,,53,open,7,4,0,0
,,54,open,2,3,0,0
,,55,open,0,0,0,0
,,56,open,0,5,0,6
,,57,open,0,0,0,4
,,58,open,0,5,0,3
,,59,open,6,3,0,0
,,60,open,0,0,0,8
,,61,open,1,1,0,0
,,62,open,5,4,3,2
,,63,open,,,,
,,64,open,4,8,0,1
,,65,open,7,0,0,0
,,66,open,4,0,0,2
,,67,open,1,0,0,1
,,68,open,1,1,0,3
,,69,open,0,0,0,0
,,70,open,2,0,1,0
,,71,open,2,4,0,0
,,72,open,2,0,1,6
,,73,open,4,3,0,0
,,74,open,3,0,0,5
