Site052,Silene_acaulis,sample,cushion.open,Agrostis_alpina,Antennaria_carpatica,Arenaria_ciliata,Aster_alpinus,Bartsia_alpina,Carex_capillaris,Carex_curvula,Carex_ericetorum,Carex_parviflora,Campanula_scheuchzeri,Dyras_octopetala,Erigeron_uniflorus,Euphrasia_minima,Festuca_quadriflora,Gentiana_brachyphylla,Gentiana_nivalis,Hedysarum_hedysaroides,Leontodon_helveticus,Leucanthemopsis_alpina,Ligusticum_mutellinoides,Linaria_alpina,Loiseleuria_procumbens,Luzula_lutea,Minuartia_sedoides,Minuartia_verna,Oxytropis_jacquinii,Polygonum_viviparum,Primula_integrifolia,Salix_herbacea,Salix_reticulata,Sesleria_caerulea,Thymus_pulegioides,Vaccinium_uliginosum,Viola_calcarata
,,1,cushion,3,,1,,,,,,1,11,,,6,11,5,,,5,,6,,,,,,,9,,25,,5,,,6
,,2,cushion,,,2,,,,,,2,5,,,6,,1,2,,,,2,,,,,2,,8,,,,2,,,4
,,3,cushion,,,2,,,,,,,21,,,,1,,,,,,,,,,,1,,,,,,6,,,
,,4,cushion,,,2,,,,,,,2,,,1,1,6,,,,,,,,,2,,,7,,,,3,,,1
,,5,cushion,,,,,,,,,1,1,,,2,,,,,,,1,,,,,,,3,,,,1,,,
,,6,cushion,10,,1,,,,,,4,6,,,40,,,,,1,,3,,,,1,,,10,35,,,6,,,1
,,7,cushion,1,,,,,,,,1,26,,,14,1,5,,,,,,,,,1,4,,,,,,1,,,
,,8,cushion,1,,,,,,,,,,,,2,1,,,,,,,,,,,2,,1,,,,1,,,1
,,9,cushion,1,1,,,,,,,,8,,,10,5,1,,,2,,2,,,2,,1,,3,1,3,,1,,,
,,10,cushion,,,1,,,,,,1,,,,5,,,,,,,1,,,,,3,,10,,,,1,,,2
,,11,cushion,1,,1,,,,,,3,16,,,34,4,1,,,1,,2,,,,,4,,16,,,,6,,,
,,12,cushion,,,1,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,,,4,12,,2
,,13,cushion,1,,,,,,,,,10,,,7,4,8,,,1,,2,,,,2,2,,8,,,,4,,,2
,,14,cushion,,,,,,,,,,4,,,10,,,,,,,,,,,,,,1,,,,1,,,
,,15,cushion,,,,,,,,,,1,,,14,3,1,,,,,,,,,,,,2,,,,1,,,1
,,16,cushion,1,,,,,,,,,21,3,,14,7,8,,,6,,7,,,1,,,,25,14,,,4,,,
,,17,cushion,,,1,,,,,,,10,,,23,2,3,,,1,,4,,,,,,,3,2,,,3,,,2
,,18,cushion,2,,,,,,,,,,,,,,,,,,,2,,,,2,,,,6,,,,,,1
,,19,cushion,4,,,,,,,,,4,,,1,3,4,,,2,,4,,,3,,4,,5,,,,3,,,3
,,20,cushion,6,,,,3,,,,13,2,2,,5,2,,,,,,2,,4,6,5,,,7,40,,,,1,,3
,,21,cushion,,,,,,,,2,,,,,2,5,1,,,9,,2,,,1,,,,12,,5,,,,,5
,,22,cushion,,,,,,,,,3,15,,,8,6,3,,,4,,1,,,,,1,,7,,,,3,,,9
,,23,cushion,,,1,,,,,,2,18,,,6,4,1,,,3,,1,,,,,,,3,,,,1,,,6
,,24,cushion,,,,,,,,,,1,,,10,3,,,,,,1,,,,,2,,,,,,3,,,1
,,25,cushion,,,,,,,,1,,6,,,,1,2,,,,,,,,,,1,,,,,,5,,,9
,,26,cushion,,,1,,,,,,,12,,,7,5,,,,,,1,,,,,1,,15,,,,5,,,1
,,27,cushion,1,,,,,,,,,7,,,1,1,,,,,,1,,,,,,,1,,,,4,,,
,,28,cushion,,,1,,,,,,,11,,,1,3,,,,1,,2,,,1,,1,,,,,,1,,,5
,,29,cushion,,,1,,,,,,,4,,,4,3,,,,,,2,,,,2,1,,,,,,1,,,
,,30,cushion,9,,,,,3,,,,7,,,2,1,,,,,,4,,,,,1,,6,,,,,,,5
,,31,cushion,6,,,,,,,11,,7,,,,3,,,,2,,3,,1,,,,,,,,,17,,,
,,32,cushion,5,,,,,,5,6,,4,,,,,3,,,6,,1,,,,,,,1,10,,,,1,2,5
,,33,cushion,3,,,,,,,,,1,,,,2,,,,,,,,,,,,,1,,,,,,,2
,,34,cushion,4,,,,,,,,,2,,,4,5,1,,,,,1,,,,,1,,2,,,,2,2,,
,,35,cushion,7,,1,,,,,,,2,,,8,1,,,,,,1,,,,,,,6,,,,3,3,,
,,36,cushion,1,,,,,,,,5,1,3,,5,4,2,,,5,5,5,,,,1,1,,2,,,,7,5,,
,,37,cushion,4,,1,,,,,8,,,3,,,4,2,,,3,,1,,1,,,,,,3,,,1,4,,
,,38,cushion,8,,1,,,,,7,,3,,,10,5,,,,,,2,,,,,,,2,,,,3,,,2
,,39,cushion,6,,1,,,,,,5,,1,1,4,12,,,,1,,2,,,,,,1,1,,,,6,7,,
,,40,cushion,2,,1,,,,,,,2,1,,,9,5,,,2,,,,,,,,,2,,,1,2,5,,2
,,41,cushion,,,,,,,,,,9,,,4,4,5,,,,,1,,,,,1,,,,,,2,,,
,,42,cushion,1,,3,,,,,,,22,,,13,4,1,,,1,,1,,,,,8,,,,,,2,,,1
,,43,cushion,14,,,,,,,,1,13,3,,5,2,3,,,,,2,,,,,2,,12,,,,4,,,
,,44,cushion,,,4,,,,,,1,9,,,,8,3,,,1,,,,,,,2,,,,,,5,,,12
,,45,cushion,3,,1,,,,,,2,30,,,1,2,1,,,5,,2,,,3,2,1,,2,3,,,10,,,11
,,46,cushion,,,5,,,,,,1,3,,,4,2,1,,,,,,,,,,2,,2,,,,1,,,6
,,47,cushion,7,,,,,,,,1,6,,,8,7,1,,,,,1,,,,,2,,5,,,,4,1,,2
,,48,cushion,3,,,,,,,,,11,,,6,,7,,,,,,,,,,4,,,,,,1,1,,2
,,49,cushion,1,,6,,,,,,,10,,,7,,,,,2,,1,,,,,1,,,,,,1,7,,2
,,50,cushion,9,,,,,2,,,,15,,,15,12,8,,,4,,7,,,,5,2,,,1,,,3,2,,12
,,51,cushion,,,,,,,,,,8,,,3,4,,,,,,,,,,,10,,2,,,,3,,,10
,,52,cushion,2,,,,,4,,,,3,,,1,2,3,,,2,,,,,,,,,2,3,,,,,,
,,53,cushion,,,,,,,,,,3,,,3,,1,,,,,1,,,,,,,6,,,,3,1,,5
,,54,cushion,11,,,,,,,11,,1,1,,5,3,,,,3,,,,,,,,,2,35,,,2,1,,
,,55,cushion,10,,1,,,,,,2,5,1,,9,4,1,,,,,3,,,,,1,,7,,,,4,,,2
,,56,cushion,8,,,,,,,,2,15,,,9,,,,,,,1,,,,,,,1,,,,3,,,
,,57,cushion,,,,,,3,,,1,7,,,17,2,,,,2,,1,,,,2,2,,9,,2,,6,,,1
,,58,cushion,,,,,,,,,2,,1,,4,,1,,,,,,,,,,1,,3,,,,6,,,
,,59,cushion,,,,,,,,,,3,,,,1,,,,2,,,,,,,2,,4,,,,4,,,
,,60,cushion,,,2,,,,1,,3,23,,,13,8,4,,,2,,2,,,,,3,,,,,,5,,,7
,,61,cushion,8,,,,,2,,,3,34,,,7,3,4,,,8,,5,,,,2,2,,,,,,5,1,,10
,,62,cushion,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,3
