Site058,Azorella_madreporica,sample,cushion.open,Barneoudia_major,Bromus_setifolius,Calandrinia_affinis,Carex_sp1,Cerastium_arvense,Chaetanthera_lycopodioides,Erigeron_andicola,Festuca_magellanica,Hordeum_comosum,Hypochaeris_tenuifolia,Loasa_sigmoidea,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oxalis_compacta,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Pozoa_coriacea,Rytidosperma_violaceum,Senecio_looseri,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Tropaeolum_polyphyllum,Viola_atropurpurea,Viola_philippii
,,1,cushion,,,,,52,,,,2,,,,,,,,,,,9,,,,2,,,,,
,,2,cushion,,,,,5,,1,,4,1,1,,,,,,,,,,,,,,,,,,
,,3,cushion,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,4,cushion,2,,,,49,,2,6,,,,,,1,,,,,,8,,,2,1,,,,,
,,5,cushion,,,,1,,,,,,,1,,,,,,,,,6,,,,,,,,,
,,6,cushion,,,,,35,,,,3,,,,,,,,,,,12,,,,,,,,,
,,7,cushion,,,,,36,,,,,,1,,,,1,,,,,12,,,,,,,,,
,,8,cushion,1,,,,54,,,1,3,,1,,,,,,,,,,,,,,,,,,
,,9,cushion,1,,,,,,,,2,1,1,,,,,,,,,9,,,,,1,,,,
,,10,cushion,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,11,cushion,,,,,28,,,16,5,,1,,,,,,,,,,,,,,,,,,1
,,12,cushion,69,,,,,,,,4,1,,,,,,,,1,,6,,,,4,,,,,
,,13,cushion,,,,,2,,,,2,,2,,,,,,,,,,,,,,,,,,
,,14,cushion,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1
,,15,cushion,3,,,,45,,,,4,,1,,,,,,,,,3,,,,1,,,,,
,,16,cushion,,,1,,5,,,1,6,,3,,,,2,,,2,,,,,1,2,1,,,1,
,,17,cushion,,,,,14,,,,,,,,,,,,,,,3,,,,,,,,,
,,18,cushion,,,,,27,,,,,,1,,,,,,,,,14,,,,1,,,,,
,,19,cushion,,1,,,,,,,4,,1,,,,,,,,,,,,,,,,,,
,,20,cushion,,,,,15,,,3,1,,,,,,1,,,3,,,,,,1,,,,,
,,21,cushion,,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,
,,22,cushion,,,,,43,,,,,,,,,1,,,,,,2,,,,,,,,,
,,23,cushion,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,,24,cushion,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,
,,25,cushion,,,,,21,,,2,,,2,,,,,,,,,,,,,,1,,,,
,,26,cushion,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,
,,27,cushion,,,,,46,,,,,,1,,,,,,,,,,,,,1,1,,,,
,,28,cushion,1,,,,38,,,,2,,,,,,,,3,,,5,,,,,,,,,
,,29,cushion,,,,,17,,,,2,,1,,,1,,,,,,6,,,,1,1,,,,
,,30,cushion,,1,1,,76,,,2,2,,2,,,3,,,,,,27,,,,1,,,,,
,,31,cushion,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,32,cushion,,,,,33,,1,,4,,,,,,,,,,,,,,,,,,,,
,,33,cushion,,,,,39,,,,1,,,,,,,,,,,,,,,,1,,,,
,,34,cushion,,,,,,,1,,,,1,,,,,,,,,9,,,,,,,,,
,,35,cushion,1,1,,,115,,3,2,5,1,2,,1,,,,,1,,6,,,2,,1,1,,,
,,36,cushion,,,,,64,,4,17,4,,1,,,,1,,,3,,3,,1,,,1,,,,1
,,37,cushion,,,,,21,,,,,,,,,,,,,,,,,,,,1,,,,
,,38,cushion,,,,,53,,,1,4,,,,,2,,,,,,1,,,,3,,,,,
,,39,cushion,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
,,40,cushion,,,,,97,,3,4,5,,3,,,,,,,9,,,,,,4,,3,,,
,,41,cushion,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,
,,42,cushion,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
,,43,cushion,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,44,cushion,,,,,14,,,,3,,,,,,,,,,,6,,,,1,,,,,
,,45,cushion,,,,,37,,,,6,,,,,,,,,,,2,,,,1,,,,,
,,46,cushion,1,,,,,,,,4,,1,,,,1,,,,,3,,,,1,,,,,
,,47,cushion,,1,,,,,5,2,2,,,,,,,,,3,,28,,,,,1,,,,
,,48,cushion,,,,,16,,2,3,12,,1,,,,1,,,,,,,,,2,1,,,,
,,49,cushion,,,,,,,1,6,4,,,,,,,,,,,,,,,1,1,4,,,
,,50,cushion,,,,,3,,1,,,,,,,,,,,,,,,,,2,,11,,,
,,51,cushion,,,,,17,,,,1,,1,,,,,,,,,,,1,,,,,,,
,,52,cushion,,,,,24,,,,2,,,,,,,,,,,,,1,,,,,,,
,,53,cushion,,,,,33,,,2,2,,1,,,,,,,4,,,,1,,1,,,,,
,,54,cushion,,,,,23,,1,6,2,,,,,,,,,,,,,2,,2,,1,,,
,,55,cushion,,,,,31,,,8,2,,1,,,,,,,,,1,,3,,,,,,,
