Site060,Azorella_madreporica,sample,cushion.open,Adesmia_echinus,Adesmia_sp1,Adesmia_subterranea,Azorella_madreporica,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Cerastium_arvense,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,BrasUnk_sp,Erigeron_andicola,Gayophytum_micranthum,Hordeum_comosum,Jarava_chrysophylla,Kurzamra_pulchella,Menonvillea_sp,Montiopsis_copiapina,Nassauvia_cumingii,Olsynium_junceum,Oxalis_sp,Phacelia_secunda,Poa_holciformis,Senecio_sp,Trisetum_oreophilum,Viola_montagnei,Viola_philippii
,,1,cushion,,1,,,,3,,,,,,1,,1,,,,,3,,,,1,,1,,
,,2,cushion,,,,,,,,,,,1,,,1,,,,,2,,,,,,1,,
,,3,cushion,,,,,,,,,,,,,,,,,,,1,,,,,,3,,
,,4,cushion,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,
,,5,cushion,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,7,cushion,,,,,,,,,,,,,,,,,,,3,,,,,,,,
,,8,cushion,,,,,,1,,,,,,,,,,,,,2,,,,4,,,,
,,9,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,,,,,,,2,1,,,,,,,,,,,3,,,,
,,11,cushion,,,,,,,,,,2,,,,,,,,,,,,,1,,,,
,,12,cushion,,,1,,,,,,,,1,,,1,,,,,,,,,4,,,,
,,13,cushion,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,14,cushion,1,1,1,,,,,,,,4,1,,1,,,,,,,,,4,,,,
,,15,cushion,,,1,,,,,,,,3,,,,,,,,,,,,1,,,,
,,16,cushion,,,,,,,,,,,,,,1,,,,,,,,,3,,,,
,,17,cushion,,,,,,,,,,,3,,,,,1,,,,,,,3,,,,
,,18,cushion,,,,,,,,,,,3,,,,,,,,,,,,2,,,,
,,19,cushion,,,,,,,,,,5,1,,,,,,,,,,,,2,,,,
,,20,cushion,,,,,,2,,,,,,1,,1,,,,,,,,,3,,,,
,,21,cushion,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,22,cushion,,,1,,,1,,,,,,,,,,,,,,,,,3,,,,
,,23,cushion,,,,,,,1,,,,,,,,,,,,,,,,2,,,,
,,24,cushion,,,,,,,1,2,,,,,,1,,1,,,,,,,4,,,,
,,25,cushion,,,,,,,,,,,,,,,,1,,,,,,,3,,,,
,,26,cushion,,,,,1,,,,,,,3,,,,1,,,4,,,,3,,,,
,,27,cushion,1,,,,1,1,1,,,,1,3,,1,,1,,,3,,,,1,,,,
,,28,cushion,,,,,,,2,,,,1,,,,,,,,,,,,,,,,
,,29,cushion,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,
,,30,cushion,1,,,,,,5,,,,1,,,1,,,,,1,,,,1,,,,
,,31,cushion,,1,,,,,,2,,,,,,,,1,,,,,,,,,,,
,,32,cushion,,,,,,,,,,,,,,,,,,,1,,,,,,3,,
,,33,cushion,,,,,,1,,,,,,,,1,,,,,4,,,,,,4,,
,,34,cushion,,,,,,,,,,,1,,,,,,,,2,,,,,,,,
,,35,cushion,,,,,,,,3,,,,1,,,,,,,,,,,,,,,
,,36,cushion,,,,,,,1,1,,,,4,,1,,1,,,3,,,,2,,,,
,,37,cushion,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,38,cushion,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,39,cushion,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
,,40,cushion,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
,,41,cushion,,,1,,,,,,,,1,,,1,,1,,,,,,,7,,,,
,,42,cushion,,,,,,2,,,,,,,,1,,,,,,,,,2,,,,
,,43,cushion,,,1,,,,,,,,2,,,,,,,,,,,,,,,,
,,44,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,46,cushion,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
,,47,cushion,,,,,,,,,,8,,1,,1,,,,,,,,,2,,,,
,,48,cushion,,,1,,,,1,,,,1,,,,,,,,,,,,2,,,,
,,49,cushion,,,,,,,,,,,1,,,,,,,,,,,,4,,,,
,,50,cushion,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,51,cushion,,,1,,,,,,,,,,,,,,,,,,,,2,,,,
,,52,cushion,,,,,,,,,,,2,,,,,,,,,,,,5,,1,,
,,53,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,54,cushion,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,55,cushion,,,,,,1,,,,,,,,1,,,,,,,,,3,,,,
,,56,cushion,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,57,cushion,,,,,,,1,,,,,,,,,1,,,,,,,3,,,,
,,58,cushion,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,,
,,59,cushion,,,,,,,2,,,,1,3,,,,,,,,,,,2,,,,
,,60,cushion,,,,,,,,,,,,,,,,,,,2,,,,1,,,,
,,61,cushion,,,,,,,,,,,2,1,,,,,,,,,,,3,,,,
,,62,cushion,,,,,,,,,,2,,,,,,,,,,,,,1,,,,
,,63,cushion,,,1,,,,,,,,1,,,1,,,,,,,,,4,,,,
,,64,cushion,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,65,cushion,,,1,,,1,,,,,4,1,,1,,,,,,,,,4,,,,
,,66,cushion,,,1,,,,,,,,3,,,,,,,,,,,,1,,,,
,,67,cushion,,,,,,,,,,,,,,1,,,,,,,,,3,,,,
,,68,cushion,,,,,,,,,,,3,,,,,1,,,,,,,3,,,,
,,69,cushion,,,,,,,,,,,3,,,,,,,,,,,,2,,,,
,,70,cushion,,,,,,,,,,5,1,,,,,,,,,,,,2,,,,
,,71,cushion,,,,,,,,,,,,1,,1,,,,,,,,,3,,,,
,,72,cushion,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,73,cushion,,,1,,,,,,,,,,,,,,,,,,,,3,,,,
,,74,cushion,,,,,,,1,,,,,,,,,,,,,,,,2,,,,
