Site061,Laretia_acaulis,sample,cushion.open,Acaena_leptacantha,Acaena_pinnatifida,Adesmia_sp3,Barneoudia_major,Bromus_catharticus,Bromus_setifolius,Calandrinia_affinis,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Carex_sp1,Cerastium_arvense,Chaetanthera_apiculata,Chaetanthera_euphrasioides,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,Chaetanthera_planiseta,Chaetanthera_pusilla,Draba_sp,Erigeron_andicola,Festuca_magellanica,Galium_gilliesii,Gayophytum_humile,Geranium_sessiliflorum,Haplopappus_scrobiculatus,Hordeum_comosum,Hypochaeris_tenuifolia,Jaborosa_caulescens,Junellia_uniflora,Loasa_sigmoidea,Microsteris_gracilis,Montiopsis_potentilloides,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oreopolus_glacialis,Oxalis_compacta,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Poa_pratensis,Pozoa_coriacea,Quinchamalium_chilense,Rhodophiala_uniflora,Rytidosperma_violaceum,Sanicula_graveolens,Senecio_bustillosianus,Senecio_looseri,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Tropaeolum_polyphyllum,Viola_philippii
,,1,cushion,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,5,5,,,,4,,,,4,,2,,,,,1,,,3,,1,1,,,
,,2,cushion,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
,,3,cushion,1,,,,,,,,,,,,,,,,,,,,2,,,,,1,3,,,,2,,,,,1,,,,3,,,,,,,,,,,,1,2,,,
,,4,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,1,,
,,6,cushion,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,cushion,,,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
,,8,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,2,,,,,,,,,,,,,,1,,
,,9,cushion,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,,,,,,,,4,,,,,,,,2,4,,,,,,,,,,6,3,,,1,2,,,,3,,,,,,,,,,,,2,2,1,,
,,11,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,
,,12,cushion,,,,,,,,,,,,13,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,2,,
,,13,cushion,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,15,cushion,,,,,,,,,,,,21,,,,,,,,3,,,,,,2,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,
,,16,cushion,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,1,1,1,,
,,17,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,
