Site064,Azorella_monantha,sample,cushion.open,Acaena_sp,Acaena_sp1,Adesmia_sp5,AstUnk2_sp,Azorella_licopodioidis,Calceolarea_sp,Empetrum_sp,Epilobium_sp,Erigeron_sp3,Festuca_sp3,Haplopappus_sp,Lathyrus_sp,Lotus_sp,Luzula_sp3,Nassauvia_sp,Nassauvia_sp1,Nassauvia_sp2,Oxalis_sp1,Perezia_sp,Saxifraga_sp3,Saxifraga_sp4,Senecio_sp5,Thlaspi_sp,Trisetum_sp1
,,1,cushion,,,,,1,,,,,2,,,,2,,,,,,,,1,,
,,2,cushion,4,,,,1,4,,,1,,,,,4,1,,,1,4,,,1,,
,,3,cushion,3,,,,,,1,,30,2,,,,,,,,,,,,,,2
,,4,cushion,3,,,,,1,,,1,9,,,,,2,,,2,3,,,,,
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,7,cushion,5,,,,,,,,,2,,,,,,,,1,2,,,,,
,,8,cushion,2,,,,,,1,,,1,,1,,,1,,,2,9,,,,,1
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,10,cushion,,,,,1,,,,,,,,,,,,,,,,,,,
,,11,cushion,1,,,,1,,,,,1,,,,,5,,,4,,,,,,2
,,12,cushion,,,,,,,,,,1,,,,,,,,3,6,,,,,
,,13,cushion,1,,,,,,,,,,,,1,,,,,1,2,,,,,
,,14,cushion,,,,,,,,,1,1,,,,,,,,2,10,,,,,
,,15,cushion,,,,,,,,,,,,,,,,,,5,,,,,,
,,16,cushion,,,,,,,,,,2,,,,,,1,,,,,,,3,
,,17,cushion,,,,,,,,,,3,,,1,,,,2,,,,,,,1
,,18,cushion,,,,,,3,,,,,,13,,,,,,,1,,,,,4
,,19,cushion,1,,,,,,,,,,,,,,,,,,3,,,,,
,,20,cushion,,,,,,,,,,1,,,,,,,1,,,,,,,
,,21,cushion,8,,,,,,,,,4,,,,,,1,6,,2,,,1,,1
,,22,cushion,,,,,,3,,,,3,,,,,,,,,7,,,,,4
,,23,cushion,3,,,,,5,,,,5,,,,,,,,3,,,,,,
,,24,cushion,,,,,,,,,,1,,,,,,1,,1,2,,,,,5
,,25,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,27,cushion,,,,,,,,,,,,1,,,1,,,,,,,,,
,,28,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,29,cushion,,,,,,,,,,,,,,,,,,1,,,,,,
,,30,cushion,,,,,,,,,1,,,,,,,,,1,1,,,,,
,,31,cushion,2,,,,,,,,1,4,,,,,,5,1,5,2,,,,,1
,,32,cushion,3,,,,,,,,,3,,,,3,,,2,1,5,,,,,
