Site067,Silene_acaulis,sample,cushion.open,Anenome_occidentalis,Antennaria_alpina,Bistorta_vivipara,Carex_sp7,Draba_oligosperma,PoaUnk3_sp,Lupinus_arcticus,Pedicularis_sp,Phyllodoce_sp,Polemonium_sp,Potentilla_sp,Salix_cascadensis,Salix_sp,Saxifraga_nelsoniana,Saxifraga_nivalis,Saxifraga_serpyllifolia,Sedum_sp
,,1,cushion,,,,5,,24,1,3,,,,,1,,,,
,,2,cushion,1,,,,,7,,,1,,1,,1,,,,
,,3,cushion,,,,,,8,,,,,4,,9,,,,
,,4,cushion,2,,,1,,11,,,1,,2,,,,,,
,,5,cushion,,,,,,10,,,2,,10,,,,,,
,,6,cushion,,,,9,,6,,,1,,4,,,,,,
,,7,cushion,,,,2,,7,,,1,,1,,,,,,
,,8,cushion,,,,,,1,,,1,,5,,,,,,
,,9,cushion,,,,3,1,6,,,,,1,,,,,,
,,10,cushion,1,,,3,,5,,,2,,2,,,,,,
,,11,cushion,,,,3,3,5,,,1,,,,,,,1,
,,12,cushion,,1,,4,,8,,,1,1,,,,,,,
,,13,cushion,,,,,1,19,,,,4,3,,,,,,
,,14,cushion,,,1,,,2,,,1,,1,,6,,,,
,,15,cushion,,,,2,,5,,,5,,4,,10,,,,
,,16,cushion,,,,,,3,,,5,1,2,,7,,,1,
,,17,cushion,1,,,,,4,,,,15,2,,,,,,
,,18,cushion,,,4,,,9,,,,7,,,,,,,1
,,19,cushion,,,8,,,10,,,,3,2,,4,,,,
,,20,cushion,,,,10,,4,,,,,8,,8,,,,
,,21,cushion,,,5,,,14,,,3,,3,,,,,,
,,22,cushion,,,2,,,7,,,1,,1,,,,,,
,,23,cushion,,,,12,,5,,,,5,,,,,,,
,,24,cushion,,,,3,,20,,,,,,,,,,,
,,25,cushion,2,,,,,,,,2,4,,,6,,1,,
,,26,cushion,,,,2,,7,,,,,1,,,,,,
,,27,cushion,,,,1,,10,,,,,,,,,,,
,,28,cushion,,,2,,,5,,,3,,,,,,,,
,,29,cushion,,,,10,,11,,,3,,5,,3,,3,,
,,30,cushion,3,,,4,,10,,,,4,,,,,1,,
,,31,cushion,,,,4,,5,,,4,,3,,,,,,
,,32,cushion,,1,6,,,7,,,,,1,,,,,,
,,33,cushion,,,,4,,3,,,3,,3,,15,,,,
,,34,cushion,,,,,,6,,,,,,,,,,,
,,35,cushion,,,1,4,,2,,,,1,2,,,,,,
,,36,cushion,,,,2,,4,,,,,2,,3,,,1,
,,37,cushion,,,,,,4,,,,,,,,,,,
,,38,cushion,,1,,,,5,,,,,3,,10,,,,
,,39,cushion,,,,8,,5,,,,,2,,,,,,
,,40,cushion,,,,,,1,,,,,,,,,,,
,,41,cushion,,,,,,3,,,5,,5,,10,,,,
,,42,cushion,,,,,,1,,,,,3,,1,,,,
,,43,cushion,,,,,,,,,10,,4,,8,,,,
,,44,cushion,,,,8,,5,,,,,1,,,,,,
,,45,cushion,,,,8,,10,,,,,5,,,,,,
,,46,cushion,,,,4,,20,,,,5,1,,2,,,,
,,47,cushion,,,,,3,,,,,1,,,,,,,
,,48,cushion,,,,,,10,,,,,2,,10,,,,
,,49,cushion,,,,5,,10,,,,6,1,,10,,,,
,,50,cushion,,,,,,8,,,,5,2,,10,,1,,
,,51,cushion,,,1,,2,30,,,2,7,8,5,3,,,,
,,52,cushion,,,5,,,13,,,2,5,2,,,,,,
,,53,cushion,,,,,1,4,,,3,8,,1,7,,,,
,,54,cushion,,1,,2,,13,,,,9,5,,23,,,,
,,55,cushion,,,,,,6,,,,2,2,,25,,,,
,,56,cushion,,,,,,9,,,1,,,,27,,,,
,,57,cushion,,3,,,,8,,,,,1,,6,,,,
,,58,cushion,,1,,,,7,,,,,2,2,9,,,,
,,59,cushion,,,,,2,6,,,,,1,,,,,,
,,60,cushion,,8,,,1,17,,,2,,,2,,,,,
,,61,cushion,,,,,3,18,,,4,,6,,,1,1,,
,,62,cushion,,3,,,1,7,,,7,6,,,5,,,,
,,63,cushion,,,,,,8,,,2,2,1,,5,,,,
,,64,cushion,,5,,4,,25,,,,1,8,,5,,,,
,,65,cushion,,3,8,,4,23,,,1,12,,,,,,,
,,66,cushion,,,1,,1,14,,,3,6,2,,,,,,
,,67,cushion,2,3,8,,,22,,,4,2,2,,3,,,,
,,68,cushion,,2,,,,21,,,3,6,5,,7,,,,
,,69,cushion,,2,,5,,6,,,,,3,,,,,,
,,70,cushion,,,,4,1,9,,,,,3,,21,,,,
,,71,cushion,,1,,6,,2,,4,1,,4,,1,,,,
,,72,cushion,,,1,3,,4,,3,,,6,,9,,,,
,,73,cushion,,,,3,,23,,7,7,,11,,,,,1,
,,74,cushion,,,,,4,16,,5,,,2,,,,,,
,,75,cushion,1,2,,,,6,,12,,,,,,,,,
,,76,cushion,,2,,,,6,,5,,,,,22,,,,
,,77,cushion,,,,,,4,,,3,,2,,23,,,,
,,78,cushion,,,,,1,3,,,1,,2,,9,,,,
,,79,cushion,,,,,,5,,1,,,2,,14,,,,
,,80,cushion,,,,,,9,,,3,,5,,,,,,
,,1,open,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,
,,6,open,,,,3,2,,,,,,4,,,,,,
,,7,open,3,,,9,,2,,,5,,,,,,,,
,,8,open,1,,,7,1,,,,5,1,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,
,,11,open,,,,,6,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,
,,13,open,,,,6,,,,,4,,7,,5,,,,
,,14,open,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,
,,16,open,,,,4,,,,,,,,,,,,,
,,17,open,,,1,6,,8,,,,1,,,15,1,,1,
,,18,open,,,,2,,3,,,5,,,,15,,,,
,,19,open,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,
,,24,open,,1,,5,,5,,,,1,5,,,,,,
,,25,open,,,,,2,2,,,,,,,,4,,,
,,26,open,,1,,10,,,,,,1,1,,,,,,
,,27,open,,,,,,3,,,,4,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,1
,,29,open,,,,,,,,,,,,,,,,,
,,30,open,,,,2,,10,,,,,,,1,,,,
,,31,open,,,,,,,,,,,,,,,,,
