Site068,Silene_acaulis,sample,cushion.open,Antennaria_alpina,Bistorta_vivipara,Ranunculus_sp1,Carex_sp7,Draba_oligosperma,Dryas_octopetala,PoaUnk3_sp,Phyllodoce_sp,Polemonium_sp,Potentilla_sp,Gentiana_sp,Salix_sp,Salix_cascadensis,Saxifraga_nelsoniana,Saxifraga_nivalis,Saxifraga_oppositifolia,Gentiana_sp1
,,1,cushion,,1,,5,,,9,,2,3,,,,,,,
,,2,cushion,,,,2,,,,,,,,,,,,,
,,3,cushion,,,,,,,,2,,,,,,,,,
,,4,cushion,,,,4,,,4,,,,,,,,,,
,,5,cushion,,,,5,,,,,,,,,,,,,
,,6,cushion,,,,,,,1,,,1,,,,,,,
,,7,cushion,,1,,,,,7,,,,,15,,,,,
,,8,cushion,,,,,,,8,,,,,10,,,,,
,,9,cushion,,,,,,,15,,,3,,30,,,,,
,,10,cushion,,,,,,,10,,,,,,,,,,
,,11,cushion,,1,,,,,8,5,,,,7,,,,,
,,12,cushion,,2,,4,,,10,,,,,,,,,,
,,13,cushion,,1,,5,,,8,,,3,,,,,,,
,,14,cushion,,1,,4,,,10,,,8,5,,,,,,
,,15,cushion,,,,,,,10,,,,,8,,,,,
,,16,cushion,,,,,,,,,,,,8,,,,,
,,17,cushion,,,,,,,7,,,,5,10,,,,,
,,18,cushion,,,,,,,7,,,,1,2,,,,,
,,19,cushion,,,,,,,,,,,,5,,,,,
,,20,cushion,,,,,,,15,,,,,,,,,,
,,21,cushion,,,,7,,,8,,,,,6,,,,,
,,22,cushion,,,,,,,,,,,4,,,,,1,
,,23,cushion,,3,,,,,,,,,,5,,,,,
,,24,cushion,,,,2,,,5,,,,2,20,,,,,
,,25,cushion,,,,,,,20,,4,1,,,,,,,
,,26,cushion,,,,2,,,10,3,,,,,,,,,
,,27,cushion,1,,,,,,10,5,,,,,,,,,
,,28,cushion,,,,3,,,2,5,,,,,,,,,
,,29,cushion,,,,2,,,,,,,,10,,,,,
,,30,cushion,,,,,,,10,,,2,,5,,,,,
,,31,cushion,,,,10,,,9,,,1,,32,,,,,
,,32,cushion,,,,3,,,5,,,,,55,,,,,
,,33,cushion,,,,8,,,22,,,,1,55,,,,,
,,34,cushion,,2,,3,,,3,,,,,14,,,,,
,,35,cushion,,,,,,,4,4,,,,12,,,,,
,,36,cushion,,5,,,,,30,3,,1,,,,,,,
,,37,cushion,,,,2,,,14,,,,,,,,,,1
,,38,cushion,,,,,,,11,,,,,7,,,,,
,,39,cushion,,,,,2,,23,,,,,32,,,,,
,,40,cushion,,,,3,1,,16,1,,,,25,,,,,12
,,41,cushion,,,,,,,23,,,,,45,,,,,
,,42,cushion,,,,,,5,13,,,,,25,,,,,
,,43,cushion,,,,,,,3,,,,,2,,,,,
,,44,cushion,,2,,,,,12,1,,,,,,,,,5
,,45,cushion,,,,1,,,6,,,2,,14,,,1,,
,,46,cushion,,2,,,1,,12,4,,1,,20,,,2,,
,,47,cushion,,,,,1,,2,,,3,,8,,,,,
,,1,open,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,
,,3,open,,,,1,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,2,,,,,,,,,
,,6,open,,2,,,,,6,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,10,,,,,,,,,,
,,11,open,,,,,,,10,,,3,,5,,,,,
,,12,open,,,,,,,5,,,,,,,1,,,
,,13,open,1,,,,,,5,,,,,10,,,,,
,,14,open,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,5,,,,,5,,,,,
,,17,open,,,,4,,,8,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,
,,20,open,,,,15,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,5,,,,,5,,,,,
,,24,open,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,2,1,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,,,
,,34,open,,,,,,,,,,,,,,,,,
,,35,open,,,,,,,3,,,,,,,,,,
,,36,open,,,,,,,,,,,,,,,,,
,,37,open,,,,,,,,,,,,,,,,,
,,38,open,,,,,,,3,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,,,,
,,40,open,,,,,,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,30,,,,,
,,42,open,,,,,,,6,4,,,,20,,,,,
,,43,open,,,,,,,3,,,,,8,,,,,
,,44,open,,,,,1,,3,,,1,,11,,,,,
,,45,open,,,,,,,7,,,,,23,,,,,
,,46,open,,1,,,1,,5,3,,1,,30,,,,,
,,47,open,,,,,,,1,1,,,,2,,,,,
