"Site073","Saponaria_caespitosa","sample","cushion.open","Agrostis_sp1","Alchemilla_sp","Anthyllis_sp","Arenaria_sp1","Carex_sp8","Carex_sp9","CaryUnk3_sp","Cerastium_sp2","Cirsium_sp2","Crepis_sp","Daphne_sp","Draba_sp1","Dryas_octopetala","Erigeron_sp5","Erigeron_sp6","Festuca_sp4","Gentiana_sp2","Gentiana_sp3","Gentiana_sp4","Globularia_sp","Helianthemum_sp","Hieracium_sp","Hieracium_sp1","Koeleria_sp2","LamUnk_sp","Leontodon_sp2","Leucanthemum_sp","Linaria_sp1","Oreochloa_sp","Polygala_sp","Saxifraga_sp5","Saxifraga_sp6","Saxifraga_oppositifolia","Teucrium_sp","Veronica_sp"
,,1,"cushion",,,,,47,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
,,2,"cushion",,,,,21,,2,,,,6,,,,,1,,,,,,,,,,,,,10,,,,,,
,,3,"cushion",,,1,,3,,,,,,5,,,,,,,,,,,,,,,,,,16,,,,,,
,,4,"cushion",,,1,,11,,,,,,,,1,,,,,,,,4,,,,,,,3,5,,,,,,
,,5,"cushion",,,3,,22,,,,,,,,,,,,,,,,8,,,,,,,,7,,,,,,
,,6,"cushion",,,3,,34,,,,,,,,,,,,1,,,1,10,1,,,,,,,9,,,,,,
,,7,"cushion",,,2,,30,,,,,,,,,,,,,,,3,7,,,,,,,,16,,,,,,
,,8,"cushion",,,,,12,,,,,,,,,,,1,,1,,,4,2,,,,,,,6,,,,,,
,,9,"cushion",,,1,,37,,,,,,,,,,,,,,,,11,,,,,,,,8,,,,,,
,,10,"cushion",,,4,,26,,,,,,,,,,,4,1,,,,6,,,,,,,,12,,,,,,
,,11,"cushion",,,2,,30,1,,,,,,,,,,,,,,1,5,,,,,,,,6,,,,,,
,,12,"cushion",,,5,,40,1,,,,,,,,,,,,,,,12,,,2,,,,11,6,,,,,,1
,,13,"cushion",,,5,,33,,,,,,,1,,,,,,,,,11,1,,,,,,,4,,,,,,
,,14,"cushion",,,2,,10,1,1,,,,,1,,,,,,,,,4,,,1,,,,,22,,1,,,,
,,15,"cushion",,,2,,8,,,,,,,,,,,,,,,3,6,,,,,,,1,6,,2,,,,
,,16,"cushion",,,1,,11,,,,,,,,,,,,,,,,5,,3,,,,,2,4,,,1,,,
,,17,"cushion",,,,,14,,,,,,,,,,,,,,,2,2,,,1,,,,,10,,,,,,
,,18,"cushion",,,2,,31,,,,,,,,,1,,,1,,,3,11,1,1,,,,,6,48,,,,,,
,,19,"cushion",,,,,11,2,,,,,1,,,,1,,,,,,5,,,,,,,2,,,,,,,
,,20,"cushion",,,2,,28,,,,,,4,,,1,1,,,,,,6,,1,,,,,,15,,,,,,
,,21,"cushion",,,2,,24,,,,,,1,1,,2,1,,,,,1,5,,,1,,,,3,5,,,,,,
,,22,"cushion",,1,4,,21,3,,,,,3,,,,,,,,,2,4,,1,,,,,,5,,,,,,
,,23,"cushion",,,2,,6,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,
,,24,"cushion",,,3,,15,,,,,,,,,,8,2,,,,,5,,,1,,,,,24,,,,,,
,,25,"cushion",,,1,,21,,,,,,,,,,,,,,,,5,1,,1,,,,8,44,,,,,,
,,26,"cushion",,,1,,8,,,,,,,,,,,,,,,,4,,,,,,,18,11,,,,,,
,,27,"cushion",,,1,,28,4,,,,,,,,,,,,,,,3,,,1,,,,7,3,,,1,,,
,,28,"cushion",,,1,,29,,,,,,,0,,,,,,,,,5,,,,,,,,5,,,,,,
,,29,"cushion",,,0,,11,,,,,,,0,,,,,,,,,11,,,,,,,,9,,,,,,
,,30,"cushion",,,0,,21,,,,,,,2,,,,,,,,,8,,,,,,,,15,,,,,,
,,31,"cushion",,,0,,32,,,,,,,,,,,,5,,,,9,,,,,,,,13,,,,,,
,,32,"cushion",,,1,,34,,,,,,,,,,,,2,,,,7,,,,,,,,5,,,,,,
,,33,"cushion",,,13,,37,,,,,,6,,,,,7,22,,,,11,,,,,,,,35,,,,,,
,,34,"cushion",,,6,,70,,,,,,,,,7,,6,0,,,,11,,,,,,,,11,,,,,,
,,35,"cushion",,,7,,26,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,
,,36,"cushion",,,9,,34,,,,,,,,,,,,,,,,6,,,,,,,,8,,,,,,
,,37,"cushion",,,0,,40,,,,,,,,,1,,,,,,,9,,,,,,,,2,,,,,,
,,38,"cushion",,,6,,26,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,
,,39,"cushion",,,2,,9,,,,,,,,,,,,,,,,3,,,,,,,,18,,,,,,
,,40,"cushion",,,5,,33,,,,,,,,,,,,,,,1,4,,,,,,,1,27,,,,,,
,,41,"cushion",,,0,,7,,,,,,,,,,,,,,,,3,,,,,,,,0,,,,,,
,,42,"cushion",,,5,,46,,,,,,4,,,4,,,,,,,5,,,,,,,,13,,,,,,
,,43,"cushion",,,3,,32,,,,,,,,,,,,,,,1,2,1,,2,,,,,6,,,,,,
,,44,"cushion",,,3,,20,,,,,,,,,,,3,,,,2,2,2,,,,,,,0,,,,,,
,,45,"cushion",,,0,,12,,,,,,,,,,,,,,,1,1,,,,,,,,8,,,,,,
,,46,"cushion",,,0,,9,,,,,,,,,,,,,,,,2,,,,,,,1,8,,,,,,
,,47,"cushion",,,4,,26,,,,1,,1,,,,,1,,,,,7,,,,,,,,16,,,,,,
,,48,"cushion",,,6,,15,,,,,,,,,,,,,,,1,2,,,,,,,2,0,,,,,,
,,49,"cushion",,,2,,58,,,,,,3,,,,,5,,,,,3,,,,,,,7,5,,,,,,
,,50,"cushion",,,6,,29,,,,,,2,,,,,,,,,2,6,,,2,,,,2,0,,,,,,
,,51,"cushion",,,8,,23,,,,,,,,,,,,,,,2,6,,,,,,,8,1,,,,,,
,,52,"cushion",,,18,,34,,,,,,,,,3,,,,,,,3,,,,,,,,1,,,,,,
,,53,"cushion",,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,,,,,,
,,54,"cushion",,,2,,45,,,,,,,,,,,2,4,,,1,19,,,,,,,,18,,3,,,,
,,55,"cushion",,,2,,46,,,,1,1,,,,,,,,,,3,7,,,,,,,,8,,,,,,17
,,56,"cushion",,,,,22,,1,,,,,,,,,,1,,,,18,,,,,,,,6,,,,,,
,,57,"cushion",,,2,,13,,,,,,,,,2,,,,,,,6,1,,,,,,,2,,,,1,,
,,58,"cushion",,,,,11,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,59,"cushion",,,6,,20,,,,2,,,,,,,,,,,1,10,,,1,,,,1,6,,5,,,,
,,60,"cushion",,,1,,16,,,,,,,,,,,,,,,,6,1,,,,,,1,2,,,,1,,
,,61,"cushion",,,,,40,,,,,,,,,,,,,,,4,9,,,,,,,1,,,,,,,1
,,62,"cushion",,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,1,,2,
,,63,"cushion",,,,,12,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,1,2,
,,64,"cushion",4,,1,,,,,,1,,1,,,,,,,,,,4,,,,,,,5,,,1,,,,
,,65,"cushion",,,5,,,4,,,,,,,,,,,,,,,,,,1,,,,4,5,,,,,,
,,66,"cushion",,,2,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,,,2,,
,,67,"cushion",,,,,,,,,,,,,,1,,,,,,,2,,,,,,,2,,,,1,,,
,,68,"cushion",,,1,,16,,1,1,,,,,,,,,,,,,10,1,,,,,,,1,,,,,,1
,,69,"cushion",,,1,,4,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,
,,70,"cushion",1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
,,71,"cushion",,,5,,17,,,,,,,,,1,,,,,,,6,,,2,,,,7,6,,,,,,
,,72,"cushion",,,3,,12,,,,1,,4,,,8,,,,,,,4,,,5,,,,,10,,,,,,
,,73,"cushion",10,,3,1,9,,,,,,,,,2,,,,,,,7,,,,,,,1,1,,,,,,
,,74,"cushion",,,1,,16,,7,,,,,,,,,,,,,1,9,,,1,,,,3,11,,,,,,
,,75,"cushion",,,3,,17,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,
,,76,"cushion",,,2,,32,,,,,,,,,,,,,,,,16,,,,,,,,2,,,,,,6
,,77,"cushion",,,,,19,,,,,,,,,,,,,,,,7,2,,,,,,3,1,,,,,,
,,78,"cushion",,,2,,5,,,,,,,1,,,,,,,,,3,,,,,,,,1,,,,,,
,,79,"cushion",,,1,,28,,,,,,,,,,,,,,,,10,,,,,,,,5,,,,,,
,,80,"cushion",,,,,4,,1,,,,,,,,,,,,,,2,,,1,,,,,1,,,,,,
,,81,"cushion",,,1,,5,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,
,,82,"cushion",,,1,,22,,,,,,,,,,,,,,,2,5,,,2,1,,,,4,,,,,,
,,83,"cushion",,,,,15,,,,,,6,,,,,,1,,,,,,,2,1,,,5,4,,,,,,
,,84,"cushion",,,2,,15,,,,,,,,,,,,,,,,7,,,,,,,1,3,,,,,,
,,85,"cushion",,,1,,11,,,,,,,,,1,,,,,,1,1,,,,,,,,3,,,,,,
,,86,"cushion",,,2,,5,,2,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,
,,87,"cushion",,,3,,5,,1,,,,,,,2,,,,,,,8,,,1,1,,,,10,,,,,,
,,88,"cushion",,,1,,7,,2,,,,,,,,,,,,,1,9,,,1,,,,,,,,,,,
,,89,"cushion",,,6,,15,,1,,,,,1,,4,,,,,,,12,,,1,,,,2,2,,3,,,,
,,90,"cushion",,,6,,14,,,,,,,,,2,,,,,,,13,1,,1,,,,,6,,,,,5,
,,91,"cushion",,,2,,14,,2,,,1,,,,2,,,,,,,5,,,3,1,,,,2,,,,,,
