Site074,Silene_acaulis,sample,cushion.open,Agrostis_sp,Alchemilla_sp,Anthyllis_sp,Arenaria_sp1,Carex_sp8,Carex_sp9,CaryUnk3_sp,Cerastium_sp2,Cirsium_sp2,Daphne_sp,Draba_sp1,Erigeron_sp5,Festuca_sp4,Gentiana_sp2,Gentiana_sp3,Gentiana_sp4,Globularia_sp,Gnaphalium_sp,Gregoria_vitaliana,Helianthemum_sp,Hieracium_sp,Hieracium_sp1,Koeleria_sp2,LamUnk_sp,Leontodon_sp2,Linaria_sp1,Oreochloa_sp,Oxytropis_sp,Plantago_sp1,Poa_sp2,Potentilla_sp1,Pritzelago_alpina,Saponaria_caespitosa,Saxifraga_sp5,Saxifraga_sp6,Sedum_sp1,Stellaria_sp,Taraxacum_sp,Teucrium_sp
,,1,cushion,,,1,,6,,,,,,,,,,,,,,,5,,,,,,,17,,,,,,,1,,,,,
,,2,cushion,,,1,,13,,,,,,,3,,,,,3,,,9,,3,,,,,20,,,,,,,,,,,,
,,3,cushion,,,2,,22,,,,,,,,,,,,,,,11,6,,1,,,,,,,,,,,,,,,,
,,4,cushion,,,1,,6,,,,,,,,,1,,,,,,2,,,,,,,5,,,,,,1,,,,,,
,,5,cushion,,,1,,15,,,,1,1,,1,,,,,1,,,4,,,,,,,4,,,,,,,,,,,,
,,6,cushion,,,2,,12,,,,,,,,,1,,,1,,,3,,,,,,,,,,,,,,1,,,,,
,,7,cushion,,,4,,12,,,,,,1,2,1,,,,,2,1,16,3,8,,,1,,35,1,,,,,,,,,,,
,,8,cushion,,,1,,16,,,,,,,,1,,,,,,,8,,,,,,,26,,,,,,,,,,,,
,,9,cushion,,,1,,41,,1,,,,2,,,,,,,,,,,,,,,,12,,,,,1,,,,,,,
,,10,cushion,,,2,,11,,,,,,,,,,,,,,,3,1,,,,,,13,,,,,,1,,,,,,
,,11,cushion,,,3,,17,,,,,,,,,,,,,,,11,6,,,,,,8,,,,,,1,,,,,,
,,12,cushion,,,3,,3,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,
,,13,cushion,,,4,,18,,,,,,1,,,2,,,3,,,3,,,,,,,3,,,,,,,,,,,,
,,14,cushion,,,6,,52,,,,,,,,,,,,,,,,,,1,2,,,10,,,,,,,,,,,,
,,15,cushion,,,3,,21,,,,,,,1,1,,1,,1,,,7,,,,,,,12,1,,,,,,,,,,,
,,16,cushion,,,2,,9,1,,,,,1,6,1,,,,,,,3,,,,,,,7,,,,,,,1,,,,,
,,17,cushion,,,6,,30,,,,,,,1,,,,,,,,7,2,,,1,,,20,4,,,,,,,,,,,
,,18,cushion,,,5,,18,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,,,,,,
,,19,cushion,,,0,,0,,,,,,,,,,,,1,,,0,,,,,,,0,,,,,,,,,,,,
,,20,cushion,,,1,,0,,,,,,,2,,,,,,,,4,,,,,,,10,,,,,,,,,,,,
,,21,cushion,,,2,,16,,,,,,,,,,,,,,,3,,,,,,,0,,,,,,,,,,,,
,,22,cushion,,,3,,24,,,,,,,,,,,,,3,,6,,,,,,,5,,1,,,,,,,,,,
,,23,cushion,,,0,,17,,1,,,,,2,,,4,,,,,17,,,,,,,0,6,2,,,,,,,,,,
,,24,cushion,,,0,,23,,,,,,,,,,1,,,,,12,,,,,,,0,4,,,,,,,,,,,
,,25,cushion,,,0,,66,,,,,,,,,,,,,,,9,,,,,,,0,10,,,,,,,,,,,
,,26,cushion,,,3,,27,,,,,,,1,,,,,,,,0,11,,,,,,1,1,12,6,,,,,,,,,
,,27,cushion,,,4,,33,,,,,,,,,2,,,2,,,4,3,,,,,,23,,,,,,,,,,,,
,,28,cushion,,,0,,,,3,,,,,,,,,,1,,,3,,,,,,,,,,,0,,,,,,,,
