Site075,Silene_acaulis,sample,cushion.open,Achillea_sp,Agrostis_sp2,Antennaria_alpina,Antennaria_sp,Arnica_sp,Carex_nardina,Carex_sp10,Carex_sp11,CaryUnk4_sp,Doronicum_sp,Draba_sp2,Erigeron_sp7,Festuca_sp5,Festuca_sp6,Koeleria_sp3,Luetkea_sp,Luzula_sp4,Luzula_glabra,Penstemon_sp,Phlox_sp1,Phyllodoce_glandulosa,Poa_alpina,Potentilla_heptaphylla,Potentilla_villosa,Sibbaldia_sp,Solidago_sp1,Saxifraga_bronchialis,Taraxacum_sp1
,,1,cushion,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,
,,2,cushion,,,,,11,,,,,,,,3,,,,,,,,,,,,,,,
,,3,cushion,,,,,3,,2,,,,,,5,,3,,,,,,,,,,,15,,
,,4,cushion,,,,,6,,1,,,,,,5,,2,,,,,,,,,,,18,,
,,5,cushion,,,,,1,,,,,,,,2,,4,,,,,,,,,,,6,,
,,6,cushion,,,,,7,,1,,,,,,1,,,,,,,,,,,,,3,,
,,7,cushion,,,,,1,,1,,,,,,2,,1,,,,,,,1,,,,14,,
,,8,cushion,,5,,,8,,4,,,,,,5,,,,,,,,,,,,5,30,,
,,9,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,10,cushion,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,
,,11,cushion,,,,,6,,,,,,,,4,,1,,,,,,,,,,1,,,
,,12,cushion,,3,2,,15,2,,,,,,,2,,,,,,,,3,,,,3,,,
,,13,cushion,,1,,,5,,,,,,,,6,,,,,,,,,,,,2,2,,
,,14,cushion,,,,,5,,,,,,,,2,,2,,,,,,,,4,,,4,,
,,15,cushion,,,,,,,,,,,,,2,,3,,,,,,,,2,,,8,3,
,,16,cushion,,,,,20,,,,,,,,5,,3,,,,,,,,,,1,,,
,,17,cushion,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,
,,18,cushion,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,
,,19,cushion,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
,,20,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,21,cushion,,3,4,,35,,5,,,,,,35,,4,,2,,,,1,,3,,2,80,,
,,22,cushion,,,5,,8,,,,,,,,5,,,,,,,,,,,,1,20,,
,,23,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,
,,24,cushion,,,,,2,,,,,,,,,,,,,,,,1,,,,,3,,
,,25,cushion,,,,,8,,,,,,,,5,,,,,,,,,,,,1,5,,
,,26,cushion,,,,,7,,1,,,,,,3,,1,,,,,,,,,,,,1,
,,27,cushion,,,,,12,,2,,,,,,7,,,,,,,,,,,,,3,2,
,,28,cushion,,,,,,,,,,,,,3,,2,,,,,,,,,,1,13,,
,,29,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,cushion,,,,,4,,,,,,,,1,,,,,,,,,,,,,3,,
,,31,cushion,,,,,8,,1,,,,,,3,,,,,,,,,,,,3,,,
,,32,cushion,,,,,10,,1,,,,,,3,,,,,,,,,,,,,,1,
,,33,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,cushion,,,,,4,3,,,,,,,1,,,,,,,,,,,,,,,
,,36,cushion,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,
,,37,cushion,,,,,,,,3,,,,,2,,,,,,,,,,,,,5,,
