Site077,Arenaria_tetraquetra_amabilis,sample,cushion.open,Agrostis_nevadensis,Alyssum_nevadense,Asperula_aristata,Biscutella_glacialis,Cytisus_galianoi,Erigeron_frigidus,Erophila_verna,Eryngium_glaciale,Euphorbia_nevadensis,Euphrasia_willkommii,Festuca_indigesta,Galium_pyrenaicum,Herniaria_boissieri,Jasione_amethystina,Jurinea_humilis,Leontodon_boryi,Leucanthemopsis_pectinata,Linaria_aeruginea,Nevadensia_purpurea,Pilosella_sp,Poa_ligulata,Ranunculus_acetosellifolius,Rumex_angiocarpus,Senecio_boissieri,Thymus_serpylloides
,,1,cushion,,,,,,,,,1,,2,2,,,,3,,,,,,,,,
,,2,cushion,,,,,,,,,2,,,,,3,,,,,,,1,,,,
,,3,cushion,3,,,,,,,,,,,,,,,,,,,,1,,,,
,,4,cushion,,,,,,,,2,1,,3,,,,,1,,,2,,,,,,
,,5,cushion,,,,,,,,,1,,3,,,,,,,,,,,,,,
,,6,cushion,5,,,,1,,,,2,,,,,,,,,,1,,,,,,
,,7,cushion,,,,,1,,,,1,,1,,,1,,,,,,,,,,,
,,8,cushion,3,,,,1,,,,1,,,,,1,,,,,1,,,,,,
,,9,cushion,3,,,,,,,,4,,2,,,,,,,,3,,1,,,,
,,10,cushion,9,,,,,,,,4,,,,,1,1,,,,5,,,,,,
,,11,cushion,7,,,,,,,,2,,1,,,,,,,,3,1,,,,,
,,12,cushion,2,,,,,,,1,2,,3,,,1,,,,,2,,2,,,,
,,13,cushion,7,,,,,,,,3,,,,,,,1,,,1,,2,,,,
,,14,cushion,,,,,1,,,,,,4,,,,1,,,,,,2,,,,
,,15,cushion,,,,,1,,,,1,,8,,,,,1,,,,,,,,,
,,16,cushion,,,,,,,,,2,,2,,,4,,,,,,,,,,,
,,17,cushion,,,,,,,,,,,2,,,1,,,,,,,,,,,
,,18,cushion,1,,,,1,,,,4,,3,,,,,,,,,,2,,,,
,,19,cushion,2,,,,,,,,1,,1,,,,,,,,,,,,,,
,,20,cushion,1,,,,,,,,,,2,,,3,,7,,,1,,2,,,,
,,21,cushion,3,,,1,,,,,,,,,,,,,,,3,,2,,,,
,,22,cushion,,,,,,,,,1,,2,,,3,,,,,,,,,,,
,,23,cushion,4,,,,,,,,1,,3,,,12,,,,,,,2,,,,
,,24,cushion,2,,,,1,,,,1,,1,,,3,,,,,5,,,,,,
,,25,cushion,2,,,,,,,1,2,,1,,,,,,,,2,,,,,,
,,26,cushion,,,,,,,,,5,,,,,2,,,,,1,,,,,,
,,27,cushion,,,,,,,,,2,,4,,,,,,,,1,,1,,,,
,,28,cushion,,,,,,,,,2,,8,,,,,2,,,2,,,,,,
,,29,cushion,,,,,,,,,2,,1,,,,,,,,,,,,,,
,,30,cushion,1,,,,,,,,2,,1,,,,,,,,,,5,,,,
,,31,cushion,,,,,,,,,3,,2,,,3,,1,,,1,,,,,,
,,32,cushion,,,,,,,,1,5,,,,,1,,4,,,1,,,,,,
,,33,cushion,,,,,1,,,,2,,,,,,,,,,,,4,,,,
,,34,cushion,,,,,,,,,,,8,,,,,,,,,,1,,,,
,,35,cushion,,,,,1,,,,,,1,,,,,1,,,,,,,,,
,,36,cushion,,,,,,,,,2,,3,,,,,1,,,,,2,,,,
,,37,cushion,4,,,,,,,,3,,,,,,,,,,,,,,,,
,,38,cushion,,,,,,,,,,,3,,,2,,1,,,,,1,,,,
,,39,cushion,,,,,,,,,1,,6,,,1,,,,,,,,,,,
,,40,cushion,6,,,,,,,,2,,,,,2,,,,,2,,2,,,,
,,41,cushion,6,,,,,,1,,,,,,,,10,,,,,,7,,,,
,,42,cushion,1,,,,,,,,,,,,,,1,,,,,,2,,,,
,,43,cushion,,,,,2,,,,,,,,,,,,,,,,1,,,,
,,44,cushion,2,,,,1,,,,,,1,,,1,,,,,,2,3,,1,,
,,45,cushion,2,,,,,,,,,,,,,,,,,,,,2,,,,
,,46,cushion,8,,,,,,,,,,,,,,1,4,,,,1,1,,,,
,,47,cushion,3,,,,,,,,,,,,,,15,,,,,,,,,,
,,48,cushion,9,,,,,,1,,4,,1,,,,1,6,,,,,3,,,,
,,49,cushion,4,,,,,,,,5,,,,,,2,7,,,,,2,,,,
,,50,cushion,2,,2,,,,,,1,,,,,,,,,,,,2,,,,
,,51,cushion,6,,,,,,,,,,1,,,,,,,,,,3,,,,
,,52,cushion,3,,,,,,,,,,2,,,,,3,,,,,1,,,,
,,53,cushion,1,,,,1,,,,,,1,,,,,1,,,,,2,,,,
,,54,cushion,1,,,,,,,,,,,,,,,,,,,,4,,,,
,,55,cushion,,,,,1,,,,,,5,,,,,1,,,,,1,,,,
,,56,cushion,1,,,,,,,,,,,,,,,2,,,,,2,,,,
,,57,cushion,1,,,,,,,,2,,,,,2,,5,,,1,,,,,,
,,58,cushion,3,,,,1,,,,2,,,,,,,2,,,,,1,,,,
,,59,cushion,,,,,,,,,,,,,,,,2,,,,,,,,,
,,60,cushion,1,,,,1,,,,,,,,,,,8,,,,,3,,,,
,,61,cushion,,,,,,,,,,,1,,,,,4,,,,,,,,,
,,62,cushion,,,,,,,,,,,,,,,,,,,,,3,,,,
,,63,cushion,,,,,1,,,,2,,,,,1,,2,,,,,1,,,,
,,64,cushion,1,,,,,,,,2,,1,,,,,1,,,,,4,,,,
,,65,cushion,4,,,,,,,,,,,,,,,4,,,,,2,,,,
,,66,cushion,7,,,,,,,,,,,,,,,,,,,,7,,,,
,,67,cushion,11,,,,,,,,,,,,,,,,,,,,1,,8,,
,,68,cushion,3,,,,,,,,,,2,,,,,,,,,,13,,,,
,,69,cushion,10,,,,,,,,,,,,,,,,,,,,6,,,,
,,70,cushion,6,,,,1,,,,,,3,,,,,,,,,,2,,,,
,,71,cushion,7,,,,,,,,,,,,,,,,,,,6,1,,,,
,,72,cushion,4,,,,,,,,,,,,,,,,,,,,2,,,,
,,73,cushion,11,,,,2,,,,,,,,,,,,,,,,8,,,,
,,74,cushion,12,,,,1,,,,,,,,,,,,,,,,1,,,,
,,75,cushion,,,,,,,,,,,2,,,,,,,,,,4,,,,
,,76,cushion,2,,,,,,,,,,3,,,,,,,,,2,9,,,,
,,77,cushion,,,,,,,,,,,,,,,,,,,,,5,,,,
,,78,cushion,5,,,,1,,,,,,5,,,,,,,,,,11,,,,1
,,79,cushion,,,,,,,,,,,3,,,,,,,,,3,1,,,,
,,80,cushion,13,,,,1,,,,,,3,,,,,,,,,,5,,,,
,,81,cushion,,,,,,,1,,,,1,,,,,,,,,,5,,,,
,,82,cushion,1,,,,,,,,,,2,,,,,,,,,8,2,,,,
,,83,cushion,1,,,,,,,,,,2,,,,,,,,,,3,,,,
,,84,cushion,2,,,,,,,,,,2,,,,,,,,,,7,,,,
,,85,cushion,2,,,,,,,,,,1,,,,,,,,,,4,,,,
,,86,cushion,1,,,,,,,,,,1,,,,,,,,,,7,,,,
,,87,cushion,3,,,,1,,,,,,,,,,,,,,,,9,,,,
,,88,cushion,1,,,,1,,,,,,2,,,,,,,,,,,,,,
,,89,cushion,1,,,,,,,,,,1,,,,,,,,,,2,,,,
,,90,cushion,3,,,,,,,,,,,,,,,,,,,,4,,,,
,,91,cushion,4,,,,,,,,,,1,,,,,,,,,,1,,,,
,,92,cushion,8,,,,,,,,,,2,,,,,,,,,,5,,,,
,,93,cushion,5,,,,,,,,,,2,,,,,1,,,,,5,,,,
,,94,cushion,,,,,,,,,,,1,,,,,,,,,,7,,,,
,,95,cushion,3,,,,,,,,,,4,,,,,,,,,,4,,,,
,,96,cushion,12,,,,1,,,,,,,,,,1,,,,,,4,,,,
,,97,cushion,8,,,,,,,,,,1,,,,,,,,,,2,,,,
,,98,cushion,,,,,,,,,,,1,,,,,,1,,,,4,,,,
,,99,cushion,7,,,,,,,,,,1,,,,,1,,,,,4,,,,
,,100,cushion,10,,,,,,,,,,3,,,,,5,,,,,8,,,,
,,1,open,,,,,,,,,2,,,4,,,,,,,1,,2,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,4,,2,,
,,3,open,1,,,,,,6,,1,,,,,,,,,2,,,4,,,,
,,4,open,1,,,,,,,,1,,,,,,,,,,,,2,,,,
,,5,open,,,,,,,2,,1,,1,,,,,,,,,,2,,,,
,,6,open,1,,,,,1,,,1,,,,,,,,,,,,1,,,,
,,7,open,,,,,1,,2,,1,,2,,,,,,,,,,5,,,,
,,8,open,1,,,,,,2,,,,2,,,,,,,,,,4,,,,
,,9,open,,,,,,,,,4,,1,,,,,,,,,,4,,,,
,,10,open,2,,,,,,,,3,,1,,,,,,,,,,,,,1,
