Site078,Arenaria_tetraquetra_amabilis,sample,cushion.open,Alyssum_nevadense,Anthyllis_vulneraria,Deschampsia_flexuosa,Cytisus_galianoi,Erigeron_frigidus,Eryngium_glaciale,Galium_pyrenaicum,Hormathophylla_spinosa,Jasione_amethystina,Leontodon_boryi,Leucanthemopsis_pectinata,Lotus_corniculatus,Nevadensia_purpurea,Ranunculus_demissus,Sideritis_glacialis,Thymus_serpylloides,Vaccinium_uliginosum,Viola_crassiuscula
,,1,cushion,,,,,,,8,,2,,,,6,,,,,
,,2,cushion,,,,,,,,,,,,,13,,,,,
,,3,cushion,,,,,,,1,,,,,,7,,,,,
,,4,cushion,,,,,,,,,1,,,,1,,,5,,
,,5,cushion,,,,,,,9,,8,,,,2,,,,,
,,6,cushion,,,,,,,13,,11,,,,6,,,,,
,,7,cushion,,,,,,,14,,2,,,,2,,,,,
,,8,cushion,,,,,,,10,,4,,,,9,,,,,2
,,9,cushion,,,,,,,7,,7,,,,1,,,,,
,,10,cushion,,,,,,,12,,12,,,,1,,,,,
,,11,cushion,,,,,,,,,,,,,3,,1,,,
,,12,cushion,,,,,,,7,,,,,,,,,,,
,,13,cushion,,,,,,,16,,5,,,,,,,,,
,,14,cushion,,,,,,1,,,1,,,,15,,,1,,
,,15,cushion,,,,,,,9,,7,,,,6,,,,,
,,16,cushion,,,,,,,,,7,,,,7,,,,,
,,17,cushion,,,,,,,12,,4,,,,10,,,,,
,,18,cushion,,,,,,,1,,3,,,,4,,,,,
,,19,cushion,,,,,,,,,8,,,,5,,1,,,
,,20,cushion,,,,,,,,,5,26,,,3,,,,,
,,21,cushion,,,,,,,,,,,,,4,,,,,
,,22,cushion,,,,,,,4,,,,,,5,,,,,
,,23,cushion,,,,,,,,,4,,,,5,,,,,2
,,24,cushion,,,,,,,8,,9,,,,6,,1,,,
,,25,cushion,,,,,,,7,,,,,,3,,,2,,
,,26,cushion,,,,,,,1,,4,,,,4,,1,,,
,,27,cushion,,,,,,,13,,3,,,,6,,,,,
,,28,cushion,,,,,,,3,,5,,,,7,,,,,
,,29,cushion,,,,,,,11,,,,,,9,,,,,
,,30,cushion,,,,,,,,,3,,,,8,,,,,
,,31,cushion,,,,,,,,,,,,,6,,,,,
,,32,cushion,,,,,,2,14,2,4,,,,5,,,,,
,,33,cushion,,,,,,,,,,,,,8,,,,,
,,34,cushion,,,,,,,,4,,,,,3,1,,,,
,,35,cushion,,,,,,,18,,4,,,,11,,,,,
,,36,cushion,,,,,,,9,,2,,,,15,,,,,
,,37,cushion,,,,,,,10,,4,,,,6,,,,,
,,38,cushion,,,,,,,10,,2,,,,10,,,,,
,,39,cushion,,,,,,,,,,,,,3,,,,,
,,40,cushion,,,,,,,,,,,,,2,,,,,
,,41,cushion,,,,,,,,1,1,,,,5,,,,,
,,42,cushion,,,,,,,3,1,5,,,,11,,,3,,
,,43,cushion,,,,,,,,,,,,,,,,,,
,,44,cushion,,,,,,,,,8,,,,1,,,,,
,,45,cushion,,,,,,,,2,,,,7,,,,1,,
,,46,cushion,,,,,,,,1,6,,,17,,,,,,
,,47,cushion,,,,,,,8,1,4,,,,2,,,,,
,,48,cushion,,,,,,,,,,,,,1,,,,,
,,49,cushion,,,,,,,32,,7,,,,1,,,,,
,,50,cushion,,,,,,,,,,,,,6,,,4,,
,,51,cushion,,,,,,,11,1,,,,,4,,,,,
,,52,cushion,,,,,,,,3,3,,,,4,,,,13,
,,53,cushion,,,,,,,8,,,,,,2,,,,,
,,54,cushion,,,,,,,7,,5,,,,14,,,,,3
,,55,cushion,,,,,,,,,11,,,,20,,,,,
,,56,cushion,,,,,,,16,,5,,,,1,,,,,
,,57,cushion,,,,,,,3,1,5,,,,4,,,,,
,,58,cushion,,,,,,,1,,1,,,,3,,,,,
,,59,cushion,,1,,,,,3,,,,,,8,,,,,
,,60,cushion,,,,,,,30,,5,,,,14,,,,,
,,61,cushion,,,,,,,11,,,,,,1,,,,,
,,62,cushion,,,,,,,17,1,3,,,,5,,3,,,
,,63,cushion,,,,,,,,,,,,,3,,,1,,
,,64,cushion,,,,,,,,,1,,,,4,,,,,
,,65,cushion,,,,,8,,3,,,,,,4,,1,,,
,,66,cushion,,,,,,,9,,12,,,,4,,,,,
,,67,cushion,,,,,,,4,,3,,,,5,,,,4,
,,68,cushion,,,,,,,11,,4,,,,1,,,,,
,,69,cushion,,,,,,,29,,3,,,,8,,,,,
,,70,cushion,,,,,,,12,,,,,,3,,,,,
,,71,cushion,,,,,,,5,,,,,,9,,,,,
,,72,cushion,,,,,,,1,,,,,,,,,1,,
,,73,cushion,,,,,,,,,3,,,,5,,,1,,
,,74,cushion,,,,,,,10,,,,,,,,,,,
,,75,cushion,,,,,,1,,,2,,,,4,,,,,
,,76,cushion,,,,,,,,,,,,,3,,,,,
,,77,cushion,,,,,,,,,,,,,2,,,,,
,,78,cushion,,,,,,,,1,3,,,,3,,1,,,
,,79,cushion,,,18,,,,,,8,,,,,,,,,
,,80,cushion,,,,,,,,,3,,,,2,,,,,
,,81,cushion,,,23,,,,,1,6,,,,5,,,,,
,,82,cushion,,,4,,,,,,2,,,,4,,,,,
,,83,cushion,,,2,,,,,,,5,,,,,,,,
,,84,cushion,,,22,,,,10,1,,,,,,2,,,,
,,85,cushion,,,,,,,,,3,,,,12,1,,,,1
,,86,cushion,,,34,,,1,22,6,5,,,,4,,,,,
,,87,cushion,,,,,,,,,14,,,,8,,,,,
,,88,cushion,,,,,,,11,,6,,,,2,,,,,
,,89,cushion,,,,,,,,3,,,,11,,5,,,,
,,90,cushion,,,,,,,,,,,,,,,,,,
,,91,cushion,,,,,,,,2,,,,,,,,,,
,,92,cushion,,,,,,,,6,,,,,,,,,,
,,93,cushion,,,,,,,,2,,,1,,1,9,,,,
,,94,cushion,,,8,,,,,3,,,,,3,12,,1,,
,,95,cushion,,,19,,3,,,2,,,,,,3,,,,
,,96,cushion,,,,,,,3,,,,,,17,,,,,
,,97,cushion,,,,,,,2,2,,,,,7,,,,,
,,98,cushion,,,,,,,1,,7,,,,4,,,,,
