Site079,Arenaria_tetraquetra_amabilis,sample,cushion.open,Anthyllis_vulneraria,Biscutella_glacialis,Dactylis_glomerata,Dianthus_brachyanthus,Erigeron_frigidus,Eryngium_glaciale,Euphorbia_nevadensis,Euphrasia_willkommii,Festuca_clementei,Festuca_indigesta,Galium_pyrenaicum,Jasione_amethystina,Leontodon_boryi,Leucanthemopsis_pectinata,Linaria_aeruginea,Lotus_corniculatus,Nevadensia_purpurea,Pilosella_sp,Plantago_holosteum,Poa_ligulata,Rumex_angiocarpus,Sedum_amplexicaule,Senecio_boissieri,Sideritis_glacialis,Silene_boryi,Thymus_serpylloides,Trisetum_glaciale
,,1,cushion,,,,,,,,,,,,11,,,,,,,1,,,7,,,,,
,,2,cushion,,,,,,,,,,1,,3,,,,,2,,,2,,,,,,,
,,3,cushion,,,,,,,,,,1,,2,,,,,,,,2,,,,,,,
,,4,cushion,,,,,,,,2,,1,,,,,,13,,,,,,,,,,,1
,,5,cushion,,,,,,,,1,,1,,2,,,,,,,,,,1,,,,,
,,6,cushion,,,,,,,,,,1,,3,,,,,,,1,1,,1,,,,,1
,,7,cushion,,,,,,,1,1,,,,2,,,,,,,,2,,5,,,,,
,,8,cushion,,,,,,,1,,4,,,,,,,,,,,,,1,,,,,
,,9,cushion,,,,,,,,,,,,,,,1,,1,,1,1,,10,,,,,
,,10,cushion,1,,,,,,,,5,,,3,,,,,,,,5,,5,,,,,
,,11,cushion,1,,,,,,,,,,,,,,,,,,1,2,,3,,,,,
,,12,cushion,,,,,,,,,,,,,,,,,,,,3,,2,,,,,
,,13,cushion,,,,,,,,,,,,12,,,,4,,,,2,,5,,,,,
,,14,cushion,,,,,,,1,,1,2,1,,,,,43,,,1,2,,4,,,,,
,,15,cushion,,,,,,,,,,1,,2,,,,1,,,,1,,,,,,,
,,16,cushion,,,,,,,,,3,,1,1,,,,,,,,2,,,,,,1,
,,17,cushion,,,,,,,,,,1,,3,,,,,,,,,,,,,,,
,,18,cushion,1,,,,,,,,,1,8,,,,,,,,,,,,,,,,
,,19,cushion,,,,,,,,,,1,,1,,,,,,,,3,,,,,,,
,,20,cushion,3,,,,,,,,3,,,4,,,,3,,,,,,4,,,,,1
,,21,cushion,,1,,,,,,,1,1,1,5,,,,2,,,,1,,,,,,1,
,,22,cushion,1,,,,,,,,,,,1,,,,,,,1,2,,,,,,,
