Site080,Arenaria_tetraquetra_amabilis,sample,cushion.open,Biscutella_glacialis,Chaenorhinum_glareosum,Erigeron_frigidus,Eryngium_glaciale,Euphrasia_willkommii,Festuca_clementei,Galium_pyrenaicum,Herniaria_boissieri,Hormathophylla_spinosa,Jasione_amethystina,Leontodon_boryi,Nevadensia_purpurea,Trisetum_glaciale
,,1,cushion,,,,,,,,,,1,,,
,,2,cushion,,,,,,,,,,,,,
,,3,cushion,,,,,,,,,,3,,,
,,4,cushion,,,,1,,,,,,,,1,
,,5,cushion,,,,1,,,,,,,,,8
,,6,cushion,,,1,3,,4,8,2,,16,,,20
,,7,cushion,,,,,,,,,,,,5,15
,,8,cushion,,,,,,,,,,2,,3,12
,,9,cushion,,,,5,,,7,,,2,,,
,,10,cushion,,,,,,,,,,,2,,15
,,11,cushion,,,,,,,,,,,10,1,7
,,12,cushion,,,,1,,,,,,3,1,,5
,,13,cushion,,,,1,,,16,,,1,,1,
,,14,cushion,,,,1,,,,,,6,,3,
,,15,cushion,,,,4,,1,4,,1,7,,,18
,,16,cushion,,,,2,,1,,,,1,,,
,,17,cushion,,,1,,,,,,,4,,,
,,18,cushion,,,,1,,,,,,,,,
,,19,cushion,,,,,,2,16,,,,,,17
,,20,cushion,,,,,,,,,,,,,1
,,21,cushion,,,,,,,,,,,,,
,,22,cushion,,,,,,,43,,,,,,
,,23,cushion,,,,,,,,,,,,,
,,24,cushion,,,,,,,4,,,4,,,
,,25,cushion,,,,,,,5,,,,,,
,,26,cushion,,,,,,,2,,,,,,
,,27,cushion,,,,,,,10,,,,,,
,,28,cushion,,,,,,,,,,,,,
,,29,cushion,,3,,,,,,,,,10,,
,,30,cushion,,,,,,,,,,,,,
,,31,cushion,,,,,,,15,,,5,,4,
,,32,cushion,,,,,,,,,,,,,
,,33,cushion,,,,,,,,,,4,,3,
,,34,cushion,,,,,,,,,,1,,,8
,,35,cushion,,,,,,,,,,,,,
,,36,cushion,,,,,,,,,,2,,,
,,37,cushion,,,,1,,,,,,4,,,
,,38,cushion,,,,,,,,,,2,,,
,,39,cushion,,,,,,,,,,,,,
,,40,cushion,,,,,,,,,,,,,
,,41,cushion,,,,,,,,,,,,,
,,42,cushion,,,,,,,19,,,1,,,7
,,43,cushion,,,,,,,33,,,,,,
,,44,cushion,,,,,,,4,,,,,1,
,,45,cushion,,,,,,,,,,,,,
,,46,cushion,,,,,,,11,,,1,,,
,,47,cushion,,,,,,,,,,,,,1
,,48,cushion,,,,,,,,,,2,,,8
,,49,cushion,,2,,,,,4,,,6,,,
,,50,cushion,,,,,,,,,,1,,,
,,51,cushion,,,,,,,,,,2,,,
,,52,cushion,,,,,,,,,,5,,,
,,53,cushion,,,,,,,5,,,4,,,
,,54,cushion,,,,,,,,,,6,,,
,,55,cushion,,,,,,,,,,,,,
,,56,cushion,,,,,,,,,,,,3,
,,57,cushion,,,,,,,,,,,,1,
,,58,cushion,,,,,,,8,,,,,,
,,59,cushion,,,,,,,,,,,,,
,,60,cushion,,,,,,,,,,2,,,
,,61,cushion,,,,,,,,,,1,,,
,,62,cushion,,,,,,,,,,,,,
,,63,cushion,,,,,,,3,,,1,,,
,,64,cushion,,,,,,,7,,,1,,,
,,65,cushion,,,,,,,,,,1,,4,
,,66,cushion,,,,,,,,,,5,,,
,,67,cushion,,,,,,,,,,1,,,
,,68,cushion,1,,,,,,,,,2,,,
,,69,cushion,3,,,,,,,1,,,,,
,,70,cushion,,1,,,,,14,,,2,,,6
,,71,cushion,,,,,,,,,,,,,
,,72,cushion,,,,,,,,,,,,,
,,73,cushion,,,,,,,,,,,,,
,,74,cushion,,,,,,,20,,,,,,
,,75,cushion,,,,,,,11,,,6,,1,
,,76,cushion,,,,,,,16,,,1,,,
,,77,cushion,,,,,,,12,,,,,,
,,78,cushion,,,,,,,,,,2,,,
,,79,cushion,,,,,,,,,,2,,,
,,80,cushion,,,,,,,,,,,,,
,,81,cushion,,1,,,,,,,,6,,,
,,82,cushion,,,,,,,,,,9,,,
,,83,cushion,,,,,,,,,,,,,
,,84,cushion,,,,,,2,,,,,,,
,,85,cushion,,,,,,,,,,,,,
,,86,cushion,,,,,,,,,,,,,
,,87,cushion,,,,,,,,,,3,,,
,,88,cushion,,,,,,,,,,9,,,
,,89,cushion,,,,,,,,,,1,,,
,,90,cushion,,,,,,,,,,,,,
,,91,cushion,,,,,,,,,,1,,,
,,92,cushion,,,,,,3,9,,,3,,,
,,93,cushion,,,,,,,,,,6,,,
,,94,cushion,,,,,,,,,,10,,,
,,95,cushion,,,,,,,,,,,,,
,,96,cushion,,1,,,,,,,,1,,,
,,97,cushion,,,,,,1,,,,,,,
,,98,cushion,1,,,,,,,,,2,,,
,,99,cushion,,,,,,,1,,,9,,,
,,100,cushion,,,,,,,,,,7,,,
,,1,open,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,2,
,,4,open,,,,,,,,,,,,,
,,5,open,,,,1,,,,,,,,,
,,6,open,,2,,,,,,,,,,,
,,7,open,,,,,,,,,,,,1,5
,,8,open,,,,,,,,,,1,,,11
,,9,open,,,,,,,,,,,,,
,,10,open,,,,1,,,1,,,,,,
,,11,open,,,,,,,,,,,,,1
,,12,open,,,,,,,,,,,,,
,,13,open,,,,3,,,16,,,,,,4
,,14,open,,,,,,,,,,6,,,
,,15,open,,,,,,,,,,1,,,
