Site084,Rhodiola_juparensis,sample,cushion.open,Androsace_tapete,Aster_alpinus,Astragalus_suleatus,Barbarea_orthoceras,Capsella_bursa_pastoris,Carex_stenophylloides,Comastoma_pulmonarium,Elymus_nutans,Festuca_ovina,Leontopodium_nanum,Pedicularis_pilostachya,Poa_pratensis,Potentilla_sericea,Saussurea_gnaphalodes
,,1,cushion,,7,,,,,,4,,7,,,,5
,,2,cushion,,13,,2,,,,,,6,,,,10
,,3,cushion,,17,,7,,,,6,,,,,1,
,,4,cushion,,13,,24,,,,3,,7,,1,,17
,,5,cushion,,14,,3,,,,,,2,,1,,5
,,6,cushion,,10,,7,,,,,,,,,,
,,7,cushion,,2,,30,,,,7,,9,,,1,5
,,8,cushion,,8,,15,,,,,,,,,,16
,,9,cushion,,20,,11,,,,,,,,,,
,,10,cushion,,1,,18,,,,,,7,,4,2,11
,,11,cushion,1,,,40,,,,4,,5,,1,1,8
,,12,cushion,1,,,13,3,,,,,,,1,,7
,,13,cushion,,,,14,,,,7,,,,1,,2
,,14,cushion,2,,,17,,,,,,,,2,,10
,,15,cushion,1,,,41,,,,,,,,3,,2
,,16,cushion,,,,5,,,,,,,,3,1,4
,,17,cushion,,7,,63,,,,,,,,,,2
,,18,cushion,,,,11,,,,2,,,,,,10
,,19,cushion,,,,2,,,,,,2,,1,,10
,,20,cushion,,,,12,,,,,,19,2,,,21
,,21,cushion,,,,17,,,,,,,,6,,47
,,22,cushion,1,15,,3,,,,,,,,,,2
,,23,cushion,,14,,5,,,,,,,,2,,11
,,24,cushion,,3,1,6,,,,,,22,,2,1,1
,,25,cushion,,15,,7,,,,,,6,,,,
,,26,cushion,,,,5,,,,,,34,,,,5
,,27,cushion,,,,,,,,8,,7,,4,3,7
,,28,cushion,,,,1,,,,16,,,,,,1
,,29,cushion,,,,14,,,,,,6,,,3,10
,,30,cushion,,,1,,,,,1,,,,2,2,6
,,31,cushion,,,,3,,,,,,13,,,4,13
,,32,cushion,1,,,12,,,,,,,,2,1,16
,,33,cushion,,,,5,,,,,,8,,3,2,4
,,34,cushion,,,1,23,1,,,8,,23,,6,1,13
,,35,cushion,,,,2,,,,,,3,,2,,5
,,36,cushion,,,,,,,,,,5,,1,1,21
,,37,cushion,,,1,8,,,,,,40,,5,2,2
,,38,cushion,,,,3,,,,,,,,3,,16
,,39,cushion,1,3,,,,,,,,8,,2,2,4
,,40,cushion,,2,,3,1,,,,,55,,2,,3
,,41,cushion,1,,,5,2,,,,,,,,,55
,,42,cushion,,,,47,,,,,,70,,2,,79
,,43,cushion,1,,,6,,,,,,4,,2,,53
,,44,cushion,1,,,2,,,,,,,,,,29
,,45,cushion,2,,,6,,,,,,,,,,9
,,46,cushion,,,,5,,,,5,,,,,,22
,,47,cushion,,,,11,,,,,,,,,2,20
,,48,cushion,,,,11,,,,,,,,,2,20
,,49,cushion,,,,15,,,,7,,,,2,5,
,,50,cushion,,,1,10,,,,,,,,3,4,20
,,51,cushion,1,1,,7,,,,3,,,,,5,7
,,52,cushion,1,3,,3,,,,,,,,2,,41
,,53,cushion,,3,,1,,,,,,,,,,37
,,54,cushion,,38,,10,4,,,,,,,,,36
,,55,cushion,,1,,,,,1,,,9,3,,,25
,,56,cushion,,,,5,,,,,,10,,3,1,60
,,57,cushion,1,,,7,,,,,,12,,,4,46
,,58,cushion,,,,,,,,2,,,,,,35
,,59,cushion,3,,1,7,,,,,,,,,,36
,,60,cushion,,,2,7,,,1,,,,,1,1,18
,,61,cushion,1,,,5,,,,1,,,,,,25
,,62,cushion,,2,,6,,,,,,,1,4,,11
,,63,cushion,,,2,7,,,,,,37,,,,4
,,64,cushion,,,,12,1,,,,,,,1,,8
,,65,cushion,,,,13,,,,3,,,,3,,12
,,66,cushion,,,,1,2,,,,,,,1,1,12
,,67,cushion,,,1,3,,,,,,8,,1,,19
,,68,cushion,,,,4,1,,,,,,,5,,5
,,69,cushion,1,2,,4,,17,,2,,9,,4,,19
,,70,cushion,2,,,2,,,,,2,,,2,5,26
,,1,open,,6,,12,,,,,,,,,,12
,,2,open,,11,,3,,,,,,,,,,13
,,3,open,,2,,8,,,,,,,,,,14
,,4,open,,33,,15,,,,,,,,1,,2
,,5,open,,6,,14,,,,,,,,1,,25
,,6,open,,11,,3,,,,,,,,9,,4
,,7,open,,3,,17,,,,,,,,,,
,,8,open,,,,1,1,,,,,,,,,4
,,9,open,,,,3,,,,,,,,,,10
,,10,open,1,,,19,,,,,,,,,,10
,,11,open,,,,17,,,,,,,,,,13
,,12,open,,,,8,,,,,,,,1,,1
,,13,open,2,,,12,,,,,,,,,,2
