Site085,Astragalus_sp,sample,cushion.open,Acronema_sp,Anaphalis_contorta,Androsace_sermentosa,Arasaema_jaqmontii,Artemisia_gmelinii,Aster_himailacus,Avena_fatua,Bistorta_vivipara,Calamagrostis_pseudophragmites,Carex_sp13,Cortia_depressa,Cyananthus_himalaicus,Cyananthus_microphyllus,Cyperus_sp,Deyeuxia_scabrescens,Dubyaea_hispida,Elsholtzia_eriostachya,Epilobium_cylindricum,Eritrichium_nanum,Euphorbia_stracheyi,Gentiana_depressa,Gentiana_ornata,Gentianella_falcata,Geranium_donianum,Gerbera_nivea,Herminium_macrophyllum,Juncus_thomsonii,Leontopodium_jocacianum,Morina_nepalensis,Neottianthe_calcicola,Nepeta_lamiopsis,Parnassia_nubicola,Pedicularis_roylei,Pedicularis_siphonantha,Polygonatum_sp,Potentilla_microphylla,Potentilla_multifida,Potentilla_sp2,Rhodiola_fastigiata,Saxifraga_brachypoda,Saxifraga_moorcroftiana,Sedum_sp2,Silene_gonosperma,Stellaria_patens,Swertia_ciliata,Thalictrum_alpinum,Themeda_trianda,Veronica_ciliata,Veronica_himalaica,Veronica_sp1,Viola_biflora
,,1,cushion,,24,3,,,,,1,25,,,7,,17,35,,,,11,,12,,12,3,,,,14,,,,11,,,,,9,,,,23,,,,,,,,2,,
,,2,cushion,,81,,,,,,,28,,,10,,129,18,2,,,6,,,,10,,1,,,29,,,,22,,,,,15,,,8,35,,,,2,3,,,,,
,,3,cushion,,,,,,,15,,20,,,10,,70,7,,,,,,62,,,25,,,,35,,3,,,,,,,12,,,40,,,,,,5,,,,,
,,4,cushion,,58,,,,,7,,102,,,,,35,17,9,,,,,,,,,5,,,12,,,,,,,,,,,,,5,13,,,,,,,,,
,,5,cushion,,21,15,,,,,,,,,,,95,50,,,,4,,23,,,,5,10,12,21,,,,45,,10,,,15,,,,20,7,5,,,,,,5,,
,,6,cushion,,80,,,,,8,,15,,,15,,18,10,,,,,,,,,,3,1,,8,,,,,,,,,,,,5,35,5,,,,,,,,,
,,7,cushion,,20,12,,,,,,85,,,,,16,26,6,,,,,,,,,,2,,6,,,,,,,,,4,,,,14,,,,,,,1,,,
,,8,cushion,,24,,,,,12,,48,,,22,,67,89,7,,,,,19,,,,5,,,,,8,,28,,,1,,7,,,,27,3,,,,,40,8,,,
,,9,cushion,,4,5,,,,1,,21,,,14,,35,,,,,,,16,,,,,,,,,,,7,,,,20,3,,,1,9,,5,,,,,,,,25
,,10,cushion,,15,11,,,,,4,85,,,6,,16,,,,,,,,,3,,3,,,18,,,,2,,,,,8,,,,3,,,,,,,3,,,
,,11,cushion,,18,,,,,7,,75,,,2,,29,7,,,,,,,,5,,18,,,9,,1,,,,6,,,12,,,,25,,3,,,,32,4,6,,1
,,12,cushion,,109,,,,,5,,20,,,8,,28,36,,,,,,25,,,,1,2,,29,,,,8,,1,,,,,,7,19,1,,,,,,2,,,
,,13,cushion,,7,,,,,6,,20,,,6,,13,29,,,,,,,,4,,2,,2,26,,,,3,,3,1,,2,,,,8,5,,,,,,6,,,
,,14,cushion,,11,,,,,3,,,,,5,,23,17,,,,,,18,,4,1,4,2,,,,,,7,,,,,4,,,,6,3,2,,,,,5,,,
,,15,cushion,,16,,,,,2,,21,,,2,,5,25,4,,,,,22,,,,1,,,12,,,,,,,,,1,,,,,2,,,,,,,,,5
,,16,cushion,,4,,,,,1,,,,,3,,15,35,5,,,,,23,,,,3,6,,,,,,2,,,,,,,,,5,,,,,,8,5,,,
,,17,cushion,,2,24,,,,,,10,,,12,,28,21,10,,,,,15,,,4,4,,63,17,,1,25,,2,,,,6,,,,5,9,,,,1,,6,4,,
,,18,cushion,,19,,,,,,5,25,,,14,,12,6,,,,,,,,,,1,,,,,,,,,,,,5,1,,,3,,,,,3,5,,1,,
,,19,cushion,,,,,,,7,,15,,,,,25,29,,,,,,22,,13,,,,,15,,1,,7,,,,,7,,,,15,4,1,,,2,,3,,,9
,,20,cushion,,12,,,,,,,25,,,18,,31,42,,,,,,32,,,4,2,,,,,,,,,,,,6,,,,13,,3,,,16,12,1,,2,
,,21,cushion,,7,22,,,4,,1,21,,,17,,35,5,2,,,,,11,,,,,,,,,4,,3,1,1,,,9,,,,7,2,1,,,2,,1,,,
,,22,cushion,,,9,,,,1,5,40,,,,,31,29,7,,,,,18,,1,3,1,,,5,1,,,9,,,,,,,,,9,,,,,,7,,1,,
,,23,cushion,,25,3,,,,2,,95,,,18,,10,18,,,,,,,,,,,,2,33,,,,,,,,,7,,,,13,,,,2,,7,3,,,
,,24,cushion,,,23,,,,17,,10,,,11,,33,18,,,,,,,,3,,,13,2,6,,,,13,,,,,,,,,15,,,,4,,,,,,
,,25,cushion,,,11,,,,3,,48,,,,,16,39,,,,,,28,,,,6,7,,28,,3,,,,,,,5,,,,,,,,,,,,,,
,,26,cushion,,21,,,,,4,,25,,,,,18,21,,,,,,98,,,,1,,,,,,,5,,,,,7,,,,28,4,,,,,,,,,
,,27,cushion,,32,9,,,20,,,42,1,,,,7,49,,,,,,40,,,,3,,,5,,,,,8,,,,3,,,,21,,,,,,,,,,
,,28,cushion,2,25,25,,2,6,5,,25,17,,,,29,59,3,,,,,,,,,,,,,,,,,1,,,,,,,,11,,,,,,,2,,,
,,29,cushion,,70,11,,,,,,95,,,,,21,10,,,,2,,30,,,,,5,,,,1,,,3,1,,,,,,,10,,2,,,2,17,,,,
,,30,cushion,4,24,36,,,,9,,45,,,,,13,41,,,,,,175,,,,,,,,,,,,,,3,,2,,,,21,,2,,,,8,,,,
,,31,cushion,,7,65,,,,12,,45,,,,,,46,,,,,,,,,,2,,5,,,,,,,,,,,,,,19,,,,,,,,,,
,,32,cushion,,51,19,,,5,13,,17,,,,,47,41,,,,,,,,,,2,,,30,,,,,,,,,1,,,,,1,,,,,13,,,,
,,33,cushion,,66,66,,,12,4,,92,5,,,,11,41,,,,7,,5,,,,,,,9,,,,,,,,,,,,,15,,,,2,,23,,3,,
,,34,cushion,1,15,6,,,,1,,25,1,,,,12,37,,9,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,10,,,,
,,35,cushion,,31,11,,,2,,,15,25,,2,,22,29,,,,3,,,,,,3,,,,,,,,11,,,,,,,,11,,2,,,,30,,,,
,,36,cushion,,31,10,,,,,,12,,,,,2,55,,,,,,22,,,,,,,,,,,,2,,,,,,,23,2,,1,,4,,,,,,
,,37,cushion,5,,,,,,,,25,,,,,,7,,,,,,,,,,,,,,,,,,,,,,4,,,,6,,,,3,,18,,,,
,,38,cushion,,16,12,,,,,,30,,,6,,3,3,,,,3,,,,,,,,,,,,,,1,,,,,,,,5,1,,,1,,,,1,,
,,39,cushion,,26,13,,,,,,51,,,,,,35,,,,5,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,
,,40,cushion,,45,57,,,,,,26,,,,2,9,16,,,,4,,,,,,2,,,6,,,,,5,,,,1,,,2,16,,,11,,,,,1,,
,,41,cushion,,18,19,,,,,,26,,,7,8,5,4,,,,12,,,,,,,7,,,,,,,3,,,,,,,,5,1,,,,,3,,,,
,,42,cushion,,,29,,,,,,20,,,,19,23,8,,,,,,,,,,1,,,21,,,,3,,,,,,,,4,12,,,,,,9,,1,,
,,43,cushion,3,3,14,,3,,,,10,,,,,7,24,,38,,27,,,,,,,,,,,,,,,,,,,,10,,19,5,2,,,,5,,,,
,,44,cushion,,13,21,,,3,,,35,,,,,42,12,,,,,,45,,,,2,,,,,,,,,,,,3,,,,6,4,2,26,,,17,1,2,,
,,45,cushion,,,15,,,3,,,21,,,3,,5,18,,,,,,3,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,
,,46,cushion,,16,,,,11,,,3,,,,,8,13,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,6,,,,
,,47,cushion,,3,21,,,5,,,28,,,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,48,cushion,,106,39,,,,,,22,,,,,9,16,14,,,,,,,,,2,,,,,,,,,,,,,,,,9,,3,,,,8,4,,,
,,49,cushion,,15,7,,,,,,27,,,,2,21,9,,,,4,,,,,,,,,25,,,,2,2,,,,,,,2,7,,1,,2,,4,2,,,
,,50,cushion,2,26,6,,,1,2,,25,,,,10,13,36,,,,,,,,,,,,1,,,,,5,,,,,1,,,6,14,,1,,,,1,5,,,
