Site087,Silene_acaulis,sample,cushion.open,Agoseris_glauca,Androsace_chamaejasme,Antennaria_lanata,Arenaria_rossii,Astragalus_alpinus,Carex_geyeri,Cerastium_arvense,Claytonia_megarhiza,Erigeron_canus,Erigeron_compositus,Festuca_idahoensis,Geum_rossii,Hulsea_algida,Oxytropis_campestris,Phacelia_sericea,Polemonium_viscosum,Potentilla_nivea,Saxifraga_bronchialis,Saxifraga_oppositifolia,Sedum_lanceolatum,Sedum_roseum,Smelowskia_calycina,Solidago_multiradiata,Stellaria_americana
,,1,cushion,,,,,,,,,,2,,3,,,,,,,,,,6,,
,,2,cushion,,,3,,,3,,,,4,,,,,,,1,,,,,6,,1
,,3,cushion,,,1,,,3,,,,5,1,,,,,,,,,,,9,,
,,4,cushion,,,1,,,2,,,,1,1,1,,1,,,,,,,,4,,
,,5,cushion,,1,1,,,2,,,,1,,1,,,,,1,,,,,3,,
,,6,cushion,,,,,,,,,,1,2,1,,,,1,,,,,,1,,
,,7,cushion,,1,,,,,,,,2,,2,,,,,,,,,,,,
,,8,cushion,,,,,,2,,,,5,,,,,,,,,,,,10,,
,,9,cushion,,,,,,3,,,,10,3,,,,,,3,,,,,10,,
,,10,cushion,,,1,,,,,,,1,2,,,,,,1,,1,,,2,,
,,11,cushion,2,,4,,,3,,,,5,,1,,,,1,3,,,,,11,,
,,12,cushion,,,,1,,,,,,1,1,1,,,,,1,,,,,8,,
,,13,cushion,,,,1,,1,,,,1,,1,,,,,1,,1,,,,,
,,14,cushion,,,,,,,,,,1,,,,,,,,,,,,1,,
,,15,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,16,cushion,,,,,,1,,,,2,1,,,,,,1,,,,,,,
,,17,cushion,,,1,,,1,,,,1,,,,,,2,,,,,,,,
,,18,cushion,,,2,,,,,,,1,,,,,,,,,,,,2,,
,,19,cushion,,,4,,,1,,,,1,,,,,,,,,,,,,,3
,,20,cushion,,,2,,,2,,,,5,,,,,,,,,,,,3,,
,,21,cushion,,,1,,,,,,,,,,,,,,2,,,,4,,,
